id,titre,phrase,motifs_phrase
1,Zola/1867_Therese_Raquin._clean.txt,"À le bout de la rue Guénégaud , lorsqu' on vient de les quais , on trouve le passage de le Pont-Neuf , une sorte de corridor étroit et sombre qui va de la rue Mazarine à la rue de Seine .","à le NC de le NCmod NP , lorsque on venir de le NC , on PRES le NCo de le NP , un sorte de NCmod ADJ et ADJ qui aller de le NC NP à le NCmod de NP ."
2,Zola/1867_Therese_Raquin._clean.txt,"Ce passage a trente pas de long et deux de large , à le plus ; il est pavé de dalles jaunâtres , usées , descellées , suant toujours une humidité âcre ; le vitrage qui le couvre , coupé à angle droit , est noir de crasse .","ce NCs avoir NUM pas un NCmod et NUM de ADJ , à le plus ; il être ADJ de NC ADJCOL , ADJ , PPAS , PPRES ADVTEMPS un NCo ADJ ; le NCs qui le PRES , NC à NCmod ADJ , être ADJ de NC ."
3,Zola/1867_Therese_Raquin._clean.txt,"Par les beaux jours d' été , quand un lourd soleil brûle les rues , une clarté blanchâtre tombe de les vitres sales et traîne misérablement dans le passage .","par le ADJ NCT de NCmod , quand un ADJ NCs PRES le NCo , un NC ADJCOL PRES de le NC ADJ et PRES ADVMAN dans le NC ."
4,Zola/1867_Therese_Raquin._clean.txt,"Par les vilains jours d' hiver , par les matinées de brouillard , les vitres ne jettent que de la nuit sur les dalles gluantes , de la nuit salie et ignoble .","par le ADJ NCT de NCmod , par le NCT de NCmod , le NCs ne PRES que de le NCT sur le NC ADJ , de le NCT ADJ et ADJ ."
5,Zola/1867_Therese_Raquin._clean.txt,"À gauche , se creusent de les boutiques obscures , basses , écrasées , laissant échapper de les souffles froids de caveau .","à NC , se PRES de le NC ADJ , ADJ , PPAS , laisser INF de le NC ADJ de NCmod ."
6,Zola/1867_Therese_Raquin._clean.txt,"Il y a là de les bouquinistes , de les marchands de jouets d' enfant , de les cartonniers , dont les étalages gris de poussière dorment vaguement dans l' ombre ; les vitrines , faites de petits carreaux , moirent étrangement les marchandises de reflets verdâtres ; au-delà , derrière les étalages , les boutiques pleines de ténèbres sont autant de trous lugubres dans lesquels s' agitent de les formes bizarres .","il y avoir ADVLIEU de le NC , de le NC de NCmod de NCmod , de le NCmod , dont le NC ADJCOL de NCmod ADV ADV dans le NCmod ; le NC , NC de ADJ NCmod , PRES ADVMAN le NCo de NCmod ADJCOL ; ADV , ADVLIEU le NC , le NCs ADJ de NCmod être autant de NC ADJ dans lequel se PRES de le NC ADJ ."
7,Zola/1867_Therese_Raquin._clean.txt,"À droite , sur toute la longueur de le passage , s' étend une muraille contre laquelle les boutiquiers d' en face ont plaqué d' étroites armoires ; de les objets sans nom , de les marchandises oubliées là depuis vingt ans s' y étalent le long de minces planches peintes d' une horrible couleur brune .","à NC , sur tout le NC de le NCmod , se PRES un NCo contre lequel le NCs de en NC avoir PPAS de NC ADJ ; de le NC sans NCmod , de le NC VCOG ADVLIEU depuis NUM NCT se y PRES le NC de NCmod ADJ ADJ de un ADJ NCmod ADJ ."
8,Zola/1867_Therese_Raquin._clean.txt,"Une marchande de bijoux faux s' est établie dans une de les armoires ; elle y vend de les bagues de quinze sous , délicatement posées sur un lit de velours bleu , à le fond d' une boîte en acajou .","un NCs de NCmod ADJ se être PPAS dans un de le NCmod ; il y PRES de le NC de NUM NCmod , ADVMAN PPAS sur un NC de NCmod ADJCOL , à le NC de un NCmod en NCmod ."
9,Zola/1867_Therese_Raquin._clean.txt,"Au-dessus de le vitrage , la muraille monte , noire , grossièrement crépie , comme couverte d' une lèpre et toute couturée de cicatrices .","ADVLIEU de le NC , le NC ADJ , ADJ , ADVMAN PPAS , comme NCmod de un NCmod et tout NC de NCmod ."
10,Zola/1867_Therese_Raquin._clean.txt,Le passage de le Pont-Neuf n' est pas un lieu de promenade .,le NCs de le NP ne être pas un NC de NCmod .
