id,titre,phrase,motifs_phrase
1,Zola/1871_2_La_curee._clean.txt,"À le retour , dans l' encombrement de les voitures qui rentraient par le bord de le lac , la calèche dut marcher à le pas .","à le NC , dans le NC de le NCmod qui VIMP par le NC de le NCmod , le NCs devoir INF à le pas ."
2,Zola/1871_2_La_curee._clean.txt,"Un moment , l' embarras devint tel , qu' il lui fallut même s' arrêter .","un NC , le NCSENT devenir tel , que il lui VPS même se INF ."
3,Zola/1871_2_La_curee._clean.txt,"Le soleil se couchait dans un ciel d' octobre , d' un gris clair , strié à l' horizon de minces nuages .","le NCs se VIMP dans un NC de MOIS , de un ADJCOL ADJ , PPAS à le NC de mince NCmod ."
4,Zola/1871_2_La_curee._clean.txt,"Un dernier rayon , qui tombait de les massifs lointains de la cascade , enfilait la chaussée , baignant d' une lumière rousse et pâlie la longue suite de les voitures devenues immobiles .","un ADJ NCs , qui VIMP de le NC ADJ de le NCmod , VIMP le NCo , PPRES de un NC ADJCOL et PRES le ADJ NCo de le NCmod devenir ADJ ."
5,Zola/1871_2_La_curee._clean.txt,"Les lueurs d' or , les éclairs vifs que jetaient les roues semblaient s' être fixés le long de les rechampis jaune paille de la calèche , dont les panneaux gros bleu reflétaient de les coins de le paysage environnant .","le NCs de NCmod , le NC ADJ que VIMP le NCs VIMP se être PPAS le NC de le NCmod ADJCOL NC de le NCmod , dont le NCs ADJ ADJCOL VIMP de le NC de le NCmod ADJ ."
6,Zola/1871_2_La_curee._clean.txt,"Et , plus haut , en plein dans la clarté rousse qui les éclairait par-derrière , et qui faisait luire les boutons de cuivre de leurs capotes à demi pliées , retombant de le siège , le cocher et le valet de pied , avec leur livrée bleu sombre , leurs culottes mastic et leurs gilets rayés noir et jaune , se tenaient raides , graves et patients , comme de les laquais de bonne maison qu' un embarras de voitures ne parvient pas à fâcher .","et , plus ADJ , en NC dans le NC ADJCOL qui le VIMP ADV , et qui faire INF le NCo de NCmod de DETPOSS NCmod à ADJ PPAS , PPRES de le NC , le NC et le NC de NCCOR , avec lui NC ADJCOL ADJ , DETPOSS NC NC et DETPOSS NC PPAS ADJ et ADJCOL , se VIMP ADJ , ADJ et NC , comme de le NC de ADJ NCmod que un NCSENT de NCmod ne PRES pas à VSENT ."
7,Zola/1871_2_La_curee._clean.txt,"Leurs chapeaux , ornés d' une cocarde noire , avaient une grande dignité .","DETPOSS NCs , PPAS de un NC ADJ , avoir un ADJ NCo ."
8,Zola/1871_2_La_curee._clean.txt,"Seuls , les chevaux , un superbe attelage bai , soufflaient d' impatience .","ADJ , le NCs , un ADJ NC ADJCOL , VIMP de NCSENT ."
9,Zola/1871_2_La_curee._clean.txt,"Tiens , dit Maxime , Laure d' Aurigny , là-bas , dans ce coupé ... Vois donc , Renée .","NP , VDIC NP , NP de NP , ADVLIEU , dans ce NC ... NP donc , NP ."
10,Zola/1871_2_La_curee._clean.txt,"Renée se souleva légèrement , cligna les yeux , avec cette moue exquise que lui faisait faire la faiblesse de sa vue .","NP se VPS ADVINT , VPS le NCCOR , avec ce NC VSUBP que lui faire faire le NC de DETPOSS NCmod ."
11,Zola/1871_2_La_curee._clean.txt,"Je la croyais en fuite , dit -elle ... Elle a changé la couleur de ses cheveux , n' est -ce pas ?","je le VIMP en NC , VDIC il ... il avoir PPAS le NCo de DETPOSS NCCOR , ne être ce pas ?"
12,Zola/1871_2_La_curee._clean.txt,"Oui , reprit Maxime en riant , son nouvel amant déteste le rouge .","oui , VPS NP en PPRES , DETPOSS ADJ NCs VSENT le ADJCOL ."
13,Zola/1871_2_La_curee._clean.txt,"Renée , penchée en avant , la main appuyée sur la portière basse de la calèche , regardait , éveillée de le rêve triste qui , depuis une heure , la tenait silencieuse , allongée à le fond de la voiture , comme dans une chaise longue de convalescente .","NP , PPAS en PHASE , le NCCOR PPAS sur le NC ADJ de le NCmod , VCOG , PPAS de le NC ADJ qui , depuis un NCT , le VIMP ADJ , PPAS à le NC de le NCmod , comme dans un NC ADJ de NCmod ."
14,Zola/1871_2_La_curee._clean.txt,"Elle portait , sur une robe de soie mauve , à tablier et à tunique , garnie de larges volants plissés , un petit paletot de drap blanc , à les revers de velours mauve , qui lui donnait un grand air de crânerie .","il VIMP , sur un NC de NCmod ADJ , à NC et à NC , PPAS de ADJ NC PPAS , un ADJ NC de NCmod ADJCOL , à le NC de NCmod ADJ , qui lui VIMP un ADJ NCMAN de NCmod ."
15,Zola/1871_2_La_curee._clean.txt,"Ses étranges cheveux fauve pâle , dont la couleur rappelait celle de le beurre fin , étaient à peine cachés par un mince chapeau orné d' une touffe de roses de le Bengale .","DETPOSS ADJ NCCOR ADJCOL ADJ , dont le NCs VIMP celui de le NCmod NC , être à NCSENT PPAS par un ADJ NC PPAS de un NC de ADJCOL de le NP ."
16,Zola/1871_2_La_curee._clean.txt,"Elle continuait à cligner de les yeux , avec sa mine de garçon impertinent , son front pur traversé d' une grande ride , sa bouche dont la lèvre supérieure avançait , ainsi que celle de les enfants boudeurs .","il VIMP à INF de le NCCOR , avec DETPOSS NC de NCmod PRES , DETPOSS NCCOR ADJ PPAS de un ADJ NC , DETPOSS NCCOR dont le NCCOR ADJ VIMP , ainsi que celui de le NCmod ADJ ."
17,Zola/1871_2_La_curee._clean.txt,"Puis , comme elle voyait mal , elle prit son binocle , un binocle d' homme , à garniture d' écaille , et , le tenant à la main , sans se le poser sur le nez , elle examina la grosse Laure d' Aurigny tout à son aise , d' un air parfaitement calme .","puis , comme il VCOG mal , il VPS DETPOSS NCo , un NC de NCmod , à NC de NCmod , et , le NC à le NCCOR , sans se le INF sur le NCCOR , il VPS le ADJ NP de NP tout à DETPOSS NC , de un NCMAN ADVINT NCSENT ."
18,Zola/1871_2_La_curee._clean.txt,Les voitures n' avançaient toujours pas .,le NCs ne VIMP ADVTEMPS pas .
19,Zola/1871_2_La_curee._clean.txt,"À le milieu de les taches unies , de teinte sombre , que faisait la longue file de les coupés , fort nombreux à le Bois par cet après-midi d' automne , brillaient le coin d' une glace , le mors d' un cheval , la poignée argentée d' une lanterne , les galons d' un laquais haut placé sur son siège .","à le milieu de le NCmod ADJ , de NCmod ADJ , que faire le ADJ NCs de le NCmod , fort ADJ à le NC par ce NCT de NCmod , VIMP le NCs de un NCmod , le NC de un NCmod , le NC PPAS de un NC , le NC de un NCmod ADJ PPAS sur DETPOSS NC ."
20,Zola/1871_2_La_curee._clean.txt,"Çà et là , dans un landau découvert , éclatait un bout d' étoffe , un bout de toilette de femme , soie ou velours .","ADV et ADVLIEU , dans un NC VCOG , VIMP un NCo de NCmod , un NC de NCmod de NCmod , NC ou NC ."
21,Zola/1871_2_La_curee._clean.txt,"Il était peu à peu tombé un grand silence sur tout ce tapage éteint , devenu immobile .","il être peu à peu PPAS un ADJ NCo sur tout ce NC PPAS , devenir ADJ ."
22,Zola/1871_2_La_curee._clean.txt,"On entendait , de le fond de les voitures , les conversations de les piétons .","on VCOG , de le NC de le NCmod , le NCo de le NCmod ."
23,Zola/1871_2_La_curee._clean.txt,"Il y avait de les échanges de regards muets , de portières à portières ; et personne ne causait plus , dans cette attente que coupaient seuls les craquements de les harnais et le coup de sabot impatient d' un cheval .","il y avoir de le NC de NCMAN NCmod , de NC à NCmod ; et personne ne VIMP plus , dans ce NC que VIMP ADJ le NCs de le NCmod et le NC de NCmod ADJ de un NCmod ."
24,Zola/1871_2_La_curee._clean.txt,"À le loin , les voix confuses de le Bois se mouraient .","à le ADVLIEU , le NCMAN ADJ de le NP se VIMP ."
25,Zola/1871_2_La_curee._clean.txt,"Malgré la saison avancée , tout Paris était là : la duchesse de Sternich , en huit-ressorts ; Mme de Lauwerens , en victoria très correctement attelée ; la baronne de Meinhold , dans un ravissant cab bai-brun ; la comtesse Vanska , avec ses poneys pie ; Mme Daste , et ses fameux stappers noirs ; Mme de Guende et Mme Teissière , en coupé ; la petite Sylvia dans un landau gros bleu .","malgré le NC ADJ , tout NP être ADVLIEU : le NC de NP , en NCmod ; madame de NP , en VPS très ADV PPAS ; le NCo de NP , dans un ADJ NCmod ADJ ; le NC NP , avec DETPOSS NCmod NCmod ; madame NP , et DETPOSS ADJ NC ADJ ; madame de NP et madame NP , en NCmod ; le ADJ NP dans un NCmod ADJ ADJCOL ."
26,Zola/1871_2_La_curee._clean.txt,"Et encore don Carlos , en deuil , avec sa livrée antique et solennelle ; Selim pacha , avec son fez et sans son gouverneur ; la duchesse de Rozan , en coupé-égoïste , avec sa livrée poudrée à blanc ; M. le comte de Chibray , en dog-cart; américaine .","et encore don NP , en NCmod , avec DETPOSS NCmod ADJ et ADJ ; NP VPS , avec DETPOSS NP et sans DETPOSS NC ; le NCo de NP , en NCmod , avec DETPOSS NCmod PPAS à ADJCOL ; monsieur le NCmod de NP , en dog-cart; ADJ ."
27,Zola/1871_2_La_curee._clean.txt,"Enfin deux académiciens , en fiacre .","PHASE NUM NC , en NCmod ."
28,Zola/1871_2_La_curee._clean.txt,"Les premières voitures se dégagèrent et , de proche en proche , toute la file se mit bientôt à rouler doucement .","le ADJ NCs se PRES et , de ADJ en ADJ , tout le NCs se mettre bientôt à INF ADVMAN ."
29,Zola/1871_2_La_curee._clean.txt,Ce fut comme un réveil .,ce être comme un NC .
30,Zola/1871_2_La_curee._clean.txt,"Mille clartés dansantes s' allumèrent , de les éclairs rapides se croisèrent dans les roues , de les étincelles jaillirent de les harnais secoués par les chevaux .","NUM NCs ADJ se VPS , de le éclair rapide se VPS dans le NC , de le NC VPS de le NC PPAS par le NC ."
31,Zola/1871_2_La_curee._clean.txt,"Il y eut sur le sol , sur les arbres , de larges reflets de glace qui couraient .","il y avoir sur le NC , sur le NC , un ADJ NC de NCmod qui VIMP ."
32,Zola/1871_2_La_curee._clean.txt,"Ce pétillement de les harnais et de les roues , ce flamboiement de les panneaux vernis dans lesquels brûlait la braise rouge de le soleil couchant , ces notes vives que jetaient les livrées éclatantes perchées en plein ciel et les toilettes riches débordant de les portières , se trouvèrent ainsi emportés dans un grondement sourd , continu , rythmé par le trot de les attelages .","ce NCs de le NCmod et de le NC , ce NC de le NCmod PPAS dans lequel VIMP le NCs ADJCOL de le NCmod PPRES , ce NC ADJ que VIMP le NCs ADJ PPAS en ADJ NC et le NC ADJ PPRES de le NC , se VPS ainsi PPAS dans un NC ADJ , ADJ , PPAS par le NC de le NCmod ."
33,Zola/1871_2_La_curee._clean.txt,"Et le défilé alla , dans les mêmes bruits , dans les mêmes lueurs , sans cesse et d' un seul jet , comme si les premières voitures eussent tiré toutes les autres après elles .","et le NCs aller , dans le même NC , dans le même NC , sans NC et de un ADJ NC , comme si le ADJ NCs PRES PPAS tout le autre PHASE il ."
34,Zola/1871_2_La_curee._clean.txt,"Renée avait cédé à la secousse légère de la calèche se remettant en marche et , laissant tomber son binocle , s' était de nouveau renversée à demi sur les coussins .","NP avoir PPAS à le NC ADJ de le NCmod se PPRES en NC et , laisser INF DETPOSS NCo , se être de ADJ PPAS à ADJ sur le NC ."
35,Zola/1871_2_La_curee._clean.txt,Elle attira frileusement à elle un coin de la peau d' ours qui emplissait l' intérieur de la voiture d' une nappe de neige soyeuse .,il VSENT ADVMAN à il un NCo de le NCCOR de NCmod qui VIMP le NCo de le NCmod de un NCmod de NCmod ADJ .
36,Zola/1871_2_La_curee._clean.txt,Ses mains gantées se perdirent dans la douceur de les longs poils frisés .,DETPOSS NCCOR PPAS se VPS dans le NC de le ADJ NCCOR PPAS .
37,Zola/1871_2_La_curee._clean.txt,Une brise se levait .,un NCs se VIMP .
