id,titre,phrase,motifs_phrase
1,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,"La Teuse , en entrant , posa son balai et son plumeau contre l' autel .","le NP , en PPRES , VPS DETPOSS NCo et DETPOSS NC contre le NC ."
2,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,Elle s' était attardée à mettre en train la lessive de le semestre .,il se être PPAS à mettre en NC le NCo de le NCmod .
3,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,"Elle traversa l' église , pour sonner l' Angélus , boitant davantage dans sa hâte , bousculant les bancs .","il VPS le NCo , pour INF le NP , PPRES davantage dans DETPOSS NC , PPRES le NCo ."
4,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,"La corde , près de le confessionnal , tombait de le plafond , nue , râpée , terminée par un gros nœud , que les mains avaient graissé ; et elle s' y pendit de toute sa masse , à coups réguliers , puis s' y abandonna , roulant dans ses jupes , le bonnet de travers , le sang crevant sa face large .","le NCs , ADVLIEU de le NC , VIMP de le NC , ADJ , PPAS , VASP par un ADJ NC , que le NCCOR avoir PPAS ; et il se y VPS de tout DETPOSS NC , à NC ADJ , puis si y VPS , PPRES dans DETPOSS NC , le NC de travers , le NCCOR PPRES DETPOSS NCo ADJ ."
5,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,"Après avoir ramené son bonnet d' une légère tape , essoufflée , la Teuse revint donner un coup de balai devant l' autel .","PHASE avoir PPAS DETPOSS NCo de un ADJ NCmod , PPAS , le NP VPS INF un NCo de NCmod ADVLIEU le NC ."
6,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,"La poussière s' obstinait là , chaque jour , entre les planches mal jointes de l' estrade .","le NCs se VIMP ADVLIEU , chaque NCT , entre le NC mal ADJ de le NCmod ."
7,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,Le balai fouillait les coins avec un grondement irrité .,le NCs VIMP le NCo avec un NC NC .
8,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,"Elle enleva ensuite le tapis de la table , et se fâcha , en constatant que la grande nappe supérieure , déjà reprisée en vingt endroits , avait un nouveau trou d' usure à le beau milieu ; on apercevait la seconde nappe , pliée en deux , si émincée , si claire elle-même , qu' elle laissait voir la pierre consacrée , encadrée dans l' autel de bois peint .","il PRES PHASE le NCo de le NCmod , et se VSENT , en PPRES que le ADJ NCs ADJ , déjà PPAS en NUM NC , avoir un ADJ NCo de NCmod à le ADJ milieu ; on VIMP le ADJ NCo , PPAS en NUM , si PPAS , si ADJ elle-même , que il laisser VCOG le NCo PPAS , PPAS dans le NC de NCmod PPAS ."
9,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,"Elle épousseta ces linges roussis par l' usage , promena vigoureusement le plumeau le long de le gradin , contre lequel elle releva les cartons liturgiques .","il VPS ce NCo PPAS par le NC , VPS ADVMAN le NCo le NCmod de le NCmod , contre lequel il VPS le NCo ADJ ."
10,Zola/1875_5_La_faute_de_l_abbe_Mouret._clean.txt,"Puis , montant sur une chaise , elle débarrassa la croix et deux de les chandeliers de leurs housses de cotonnade jaune .","puis , PPRES sur un NC , il VPS le NCo et NUM de le NCmod de DETPOSS NCmod de NCmod ADJCOL ."
