id,titre,phrase,motifs_phrase
1,1879_Claretie_Le-Drapeau_A.txt,"Jules Claretie Le Drapeau LE DRAPEAU I — Voyez-vous , disait souvent , le vieux capitaine Fougerel en frappant sur la table , vous ne savez pas , vous autres , ce que c' est que le drapeau .","NP NP le NP le NP NUM — NP , VDIC ADVTEMPS , le ADJ NCs NP en frapper sur le NC , vous ne VCOG pas , vous autre , ce que ce être que le NC ."
2,1879_Claretie_Le-Drapeau_A.txt,"Il faut avoir été soldat ; il faut avoir passé la frontière et marché sur de les chemins qui ne sont plus ceux de France ; il faut avoir été éloigné de le pays , sevré de toute parole de la langue qu' on a parlée depuis l' enfance ; il faut s' être dit , pendant les journées d' étapes et de fatigue , que tout ce qui reste de la patrie absente , c' est ce lambeau de soie à les trois couleurs françaises qui clapote , là-bas , à le centre de le bataillon ; il faut n' avoir eu , dans la fumée de le combat , d' autre point de ralliement que ce morceau d' étoffe déchirée pour comprendre , pour sentir tout ce que renferme dans ses plis cette chose sacrée qu' on appelle le drapeau .","il PRES avoir être NC ; il PRES avoir PPAS le NCo et NC sur de le NCmod qui ne être plus celui de NP ; il PRES avoir être PPAS de le NC , PPAS de tout NC de le NCCOR que on avoir PPAS depuis le NC ; il PRES se être VDIC , PHASE le NCT de NCmod et de NCSENT , que tout ce qui PRES de le NC ADJ , ce être ce NC de NCmod à le NUM NCmod ADJ qui NC , ADVLIEU , à le NC de le NCmod ; il PRES ne avoir avoir , dans le NC de le NCmod , de autre NC de NCmod que ce NCmod de NCmod PPAS pour VCOG , pour sentir tout ce que PRES dans DETPOSS NC ce chose ADJ que on PRES le NC ."
3,1879_Claretie_Le-Drapeau_A.txt,"Le drapeau , mes pauvres amis , mais , sachez -le bien , c' est , contenu dans un seul mot , rendu palpable dans un seul objet , tout ce qui fut , tout ce qui est la vie de chacun de nous : le foyer où l' on naquit , le coin de terre où l' on grandit , le premier sourire d' enfant , le premier amour de jeune homme , la mère qui vous berce , le père qui gronde , le premier ami , la première larme , les espoirs , les rêves , les chimères , les souvenirs ; c' est toutes ces joies à la fois , toutes enfermées dans un mot , dans un nom , le plus beau de tous : la patrie .","le NC , DETPOSS ADJ NC , mais , VCOG le bien , ce être , PPAS dans un ADJ NC , PPAS ADJ dans un ADJ NC , tout ce qui être , tout ce qui être le NC de chacun de nous : le NC où l' on VPS , le NC de NCmod où l' on VPS , le ADJ NCMAN de NCmod , le ADJ NCSENT de ADJ NCmod , le NC qui vous VSUBP , le NC qui PRES , le ADJ NC , le ADJ NC , le NCSENT , le NC , le NC , le NC ; ce être tout ce NCSENT à le fois , tout PPAS dans un NC , dans un NCmod , le plus ADJ de tout : le NC ."
4,1879_Claretie_Le-Drapeau_A.txt,"Oui , je vous le dis , le drapeau , c' est tout cela ; c' est l' honneur de le régiment , ses gloires et ses titres flamboyant en lettres d' or sur ses couleurs fanées qui portent de les noms de victoires ; c' est comme la conscience de les braves gens qui marchent à la mort sous ses plis ; c' est le devoir dans ce qu' il a de plus sévère et de plus fier , représenté par ce qu' il a de plus grand : une idée flottant dans un étendard .","oui , je vous le dis , le NC , ce être tout cela ; ce être le NCSENT de le NCmod , DETPOSS NC et DETPOSS NC PPRES en NC de NCmod sur DETPOSS NC PPAS qui PRES de le NC de NCmod ; ce être comme le NC de le ADJ NCmod qui PRES à le NC sous DETPOSS NCmod ; ce être le devoir dans ce que il avoir de plus ADJ et de plus ADJ , PPAS par ce que il avoir de plus ADJ : un NC PPRES dans un NC ."
5,1879_Claretie_Le-Drapeau_A.txt,"Aussi bien étonnez -vous qu' on l' aime , ce drapeau parfois en haillons , et qu' on se fasse , pour lui , trouer la poitrine ou broyer le crâne .","aussi bien VSENT vous que on le PRES , ce NC ADVTEMPS en NCmod , et que on se faire , pour lui , INF le NCo ou INF le NCo ."
6,1879_Claretie_Le-Drapeau_A.txt,Il semble que tous les cœurs de le régiment tiennent à sa hampe par de les fils invisibles .,il sembler que tout le NCs de le NCmod PRES à DETPOSS NC par un le NCmod ADJ .
7,1879_Claretie_Le-Drapeau_A.txt,"Le perdre , c' est la honte éternelle .","le NC , ce être le NCSENT ADJ ."
8,1879_Claretie_Le-Drapeau_A.txt,"Autant vaudrait souffleter un à un ces milliers d' hommes que de leur arracher , d' un seul coup , leur drapeau .","autant VCOND INF NUM à NUM ce NCo de NCmod que de lui INF , de un ADJ NCmod , lui NC ."
9,1879_Claretie_Le-Drapeau_A.txt,"Non , non , cent fois non , vous ne comprendrez jamais ce que peut souffrir un homme qui sait que son drapeau est demeuré , comme une partie intégrante de le pays , à les mains de l' ennemi .","non , non , NUM fois non , vous ne VCOG ADVTEMPS ce que pouvoir VSENT un NCs qui VCOG que DETPOSS NCspas être PPAS , comme un NC ADJ de le NCmod , à le NCCOR de le NCmod ."
10,1879_Claretie_Le-Drapeau_A.txt,C' est une idée fixe qui dès lors le torture et le déchire : « Le drapeau est là-bas !,"ce être un NC PRES qui dès lors le NC et le NC : "" le NCs être ADVLIEU !"
