id,titre,phrase,motifs_phrase
1,1882_Cladel_Ompdrailles_N.txt,Léon Cladel .,NP NP .
2,1882_Cladel_Ompdrailles_N.txt,"Ompdrailles le Tombeau-des-Lutteurs LBE Ompdrailles , carrier de son état , avait , la veille de ce jour -là seulement , quitté les pierrières de la Grésigne , sises auprès de Bruniquel , en Rouergue , son pays natal .","NP le NP NP NP , NC de DETPOSS NCmod , avoir , le NCo de ce NCT ADVLIEU seulement , PPAS le NCo de le NP , ADJ ADV de NP , en NP , DETPOSS NC ADJ ."
3,1882_Cladel_Ompdrailles_N.txt,"On annonçait depuis assez longtemps son arrivée à Mauhors , et les Maudurques , assemblés à les vieilles Arènes Latines qu' on venait de rouvrir , disaient de lui de les choses vraiment extraordinaires : - Il était fort autant que beau , doux comme un mouton , plus sobre qu' un âne et non moins neuf qu' une pucelle !","on VDIC depuis ADV longtemps DETPOSS NCo à NP , et le NP , PPAS à le NC NP NP que on venir de INF , VDIC de lui de le chose ADVINT ADJ : - il être fort autant que ADJ , ADJ comme un NC , plus ADJ que un NC et non moins ADJ que un NC !"
4,1882_Cladel_Ompdrailles_N.txt,"Aussi , dès qu' il apparut à le bord de la haute et vaste plate-forme qui domine le stade , n' y eut -il qu' un cri parmi les spectateurs attentifs : – Enfin , le voilà !","aussi , dès que il VPS à le NC de le ADJ et ADJ NCmod qui PRES le NCo , ne y avoir il que un NCs parmi le NCmod ADJ : – PHASE , le voilà !"
5,1882_Cladel_Ompdrailles_N.txt,"Puis un grand silence , à peine coupé par le souffle mal contenu d' un amas de poitrines ; un seul regard : vingt mille prunelles dardées sur le nouvel athlète .","puis un ADJ NC , à NCSENT PPAS par le NC mal PPAS de un NC de NCmod ; un ADJ NCMAN : NUM NUM NC PPAS sur le ADJ NC ."
6,1882_Cladel_Ompdrailles_N.txt,"Il descendait une à une les soixante marches de pierre et s' avançait , nu comme un marbre .","il VIMP un à un le ADJ NCmod de NCmod et se VIMP , PPAS comme un NC ."
7,1882_Cladel_Ompdrailles_N.txt,"Arrivé pas à pas à le milieu de la lice fraîche couverte de sable de rivière , il rougit et salua le peuple , entassé sur les gradins .","PPAS pas à pas à le milieu de le NCmod ADJ ADJ de NCmod de NCmod , il VPS et VPS le NCo , PPAS sur le NC ."
8,1882_Cladel_Ompdrailles_N.txt,"Encore enfant et déjà viril , de les muscles , pas de graisse ; un torse de héros , une ombre de duvet s' allongeant en droite ligne d' entre les mamelles vers le nombril et se perdant , plus touffue , sous les plis d' un caleçon couleur de feu ; de les reins bien creusés , irréprochablement assis sur de les hanches un peu rondes ; svelte , élancé sans être fluet ; mains et pieds exquis ; bras et jambes étalonnés à le compas ; un cou flexible et robuste arrosé de cheveux fluides tirant sur le roux , allant par mèches et vifs comme de les rayons de soleil ; l' air franc , de les pupilles bleu clair et profondes ainsi que de les coins d' azur , une bouche paisible et la narine en mouvement ; imberbe et la peau chaude de ton , de les traits hardiment modelés et vivant en très bonne harmonie ; un front presque carré , la face sereine et superbe d' un archange : il était , l' Ompdrailles , amoureusement et savamment étudié par les yeux avides de la foule , qui ne pouvait se rassasier de le voir .","encore NC et déjà ADJ , de le NC , pas de NC ; un NCCOR de NCmod , un NC de NCCOR se PPRES en ADJ NC de entre le NC vers le NCCOR et se PPRES , plus ADJ , sous le NC de un NCmod NC de NCmod ; de le NCCOR bien ADJ , ADV PPAS sur un le NCCOR un peu ADJ ; ADJ , PPAS sans être ADJ ; NCCOR et NCCOR ADJ ; NCCOR et NCCOR PPAS à le NC ; un NCCOR ADJ et ADJ PPAS de NCCOR ADJ PPRES sur le ADJCOL , aller par NC et NC comme de le NC de NCmod ; le NCMAN ADJ , de le NC ADJCOL ADJ et ADJ ainsi que de le NC de NCmod , un NCCOR ADJ et le NCCOR en NCmod ; PRES et le NCCOR ADJ de NCmod , de le NC ADVMAN PPAS et PPRES en très ADJ NC ; un NCCOR presque ADJ , le NC ADJ et ADJ de un NCmod : il être , le NP , ADVMAN et ADVMAN PPAS par le NCCOR ADJ de le NCmod , qui ne pouvoir se VSENT de le VCOG ."
9,1882_Cladel_Ompdrailles_N.txt,– Hé !,– Hé !
10,1882_Cladel_Ompdrailles_N.txt,"mugit -elle en dilatant ses innombrables poumons , ohé , toi , l' autre ?","VDIC il en PPRES DETPOSS ADJ NCCOR , PPAS , soi , le autre ?"
11,1882_Cladel_Ompdrailles_N.txt,"Alors , à cet appel , se dressa bruyamment , à le sommet de la rampe , Arribial , l' Ours-du-Nord , ainsi dénommé , quoique de le Midi , parce qu' il se balançait constamment à l' instar de le farouche mammifère plantigrade de les mers glaciales .","alors , à ce NC , se VPS ADVMAN , à le NC de le NCmod , NP , le NP , ainsi PPAS , quoique de le NC , parce que il se VIMP ADVTEMPS à le NC de le ADJ NCmod NC de le NCmod ADJ ."
12,1882_Cladel_Ompdrailles_N.txt,"Sous cette masse humaine qui pesait à le moins deux quintaux , la plate-forme gémit .","sous ce NC ADJ qui VIMP à le moins NUM NCo , le NC NCmod ."
13,1882_Cladel_Ompdrailles_N.txt,"Il s' ébranla tout d' une pièce , hargneux , inquiet , morose , rêche et poilu de pied en cap .","il se VPS tout de un NC , ADJ , NC , NC , NC et PPAS de NCCOR en NC ."
14,1882_Cladel_Ompdrailles_N.txt,"En dévalant l' escalier cyclopéen , il promenait de les regards indolents sur les pentes étagées de l' amphithéâtre ; et , retroussées par un sourire bestial , ses épaisses lèvres , qui semblaient saignantes , découvraient un double râtelier de dents aiguës et blanches ainsi que celles de les carnivores .","en PPRES le NCo ADJ , il VIMP de le NCMAN ADJ sur le NC PPAS de le NCmod ; et , PPAS par un NCMAN ADJ , DETPOSS NCs NCCOR , qui sembler ADJ , VCOG un ADJ NCo de NCCOR ADJ et ADJCOL ainsi que celui de le NCmod ."
15,1882_Cladel_Ompdrailles_N.txt,"À le bas de les degrés , il s' arrêta , bâilla , secoua sa tignasse noire aussi fournie et non moins crépue qu' une toison de bête ovine : ensuite , sans se hâter , en se dandinant , il mit avec prudence ses larges pieds dans la carrière .","à le NC de le NCmod , il se VPS , NCo , VPS DETPOSS NCo ADJ aussi PPAS et non moins ADJ que un NCs de ADJ NCmod : PHASE , sans se INF , en se PPRES , il mettre avec NC DETPOSS ADJ NCCOR dans le NC ."
16,1882_Cladel_Ompdrailles_N.txt,"On l' admirait presque en le voyant marcher : à chacun de ses pas , ses chairs bises et fauves oscillaient à le long de sa charpente , tandis que ses orteils se marquaient et craquaient sur le sol .","on le VIMP presque en le PPRES INF : à chacun de DETPOSS pas , DETPOSS NCCOR ADJCOL et ADJ VIMP à le NC de DETPOSS NCmod , PHASE que DETPOSS NCCOR se VIMP et VIMP sur le NC ."
17,1882_Cladel_Ompdrailles_N.txt,"Les pectoraux en relief , les membres arqués , les biceps rigides et s' arrondissant sous le derme comme de les boules , l' œil mi-clos et sardonique , l' encolure tassée entre les deux épaules , la griffe engainée , et la gueule toujours béante , il alla se camper en face de son adversaire , qui n' avait pas bougé d' une ligne , et le toisa de haut en bas .","le NC en NCmod , le NC PPAS , le NC ADJ et se PPRES sous le NC comme de le NC , le NC NC et ADJ , le NC PPAS entre le NUM NCCOR , le NC PPAS , et le NCCOR ADVTEMPS ADJ , il aller se INF en NC de DETPOSS NC , qui ne avoir pas PPAS de un NC , et le NC de NCmod en NC ."
18,1882_Cladel_Ompdrailles_N.txt,"Insolent et louche , il respirait la force et la ruse par tous ses pores : spontanément chacun l' applaudit .","ADJ et ADJ , il PRES le NCSENT et le NC par tout DETPOSS NC : ADVMAN chacun le PRES ."
19,1882_Cladel_Ompdrailles_N.txt,"– Tète d' or n' est pas mal forgé , mais notre brunâtre le doublera comme un jonc .","– NCspas de NCmod ne être pas mal PPAS , mais DETPOSS ADJCOL le VF comme un NC ."
20,1882_Cladel_Ompdrailles_N.txt,– Et sans suer encore !,– et sans INF encore !
21,1882_Cladel_Ompdrailles_N.txt,– Assez causé .,– ADV PPAS .
22,1882_Cladel_Ompdrailles_N.txt,– Silence !,– NC !
23,1882_Cladel_Ompdrailles_N.txt,– A la porte !,– à le NC !
24,1882_Cladel_Ompdrailles_N.txt,"ne troublez pas les acteurs , sang-Dieu !","ne IMP pas le NCo , NP !"
25,1882_Cladel_Ompdrailles_N.txt,– Chut !,– NP !
26,1882_Cladel_Ompdrailles_N.txt,"… Ayant soigneusement et très paresseusement frotté l' une contre l' autre ses mains qu' il avait à plusieurs reprises enfoncées dans le sable , et mâchonnant entre ses dents une paille qu' il avait ramassée à terre , - le rentrant se traînait , ambigu , pelotonné sur lui-même , vers - le débutant , qui , les bras croisés sur sa poitrine , se tenait droit comme une barre de fer et immobile comme une statue à le beau milieu de le champ .","… avoir ADV et très ADVMAN PPAS le un contre le autre DETPOSS NCCOR que il avoir à plusieurs NC PPAS dans le NC , et PPRES entre DETPOSS NCCOR un NC que il avoir PPAS à NC , - le NCs se VIMP , NC , PPAS sur soi-même , vers - le NC , qui , le NCCOR PPAS sur DETPOSS NC , se VIMP ADV comme un NC de NCmod et ADJ comme un NC à le ADJ milieu de le NCmod ."
