id,titre,phrase,motifs_phrase
1,1882_Verne_L-Ecole-des-Robinsons_A.txt,"I« Île à vendre , à le comptant , frais en sus , à le plus offrant et dernier enchérisseur !","NP NP à INF , à le NC , ADJ en NC , à le plus ADJ et ADJ NCo !"
2,1882_Verne_L-Ecole-des-Robinsons_A.txt,"» redisait coup sur coup , sans reprendre haleine , Dean Felporg , commissaire priseur de l' « auction » , où se débattaient les conditions de cette vente singulière .« Île à vendre !",""" VIMP NCo sur NCmod , sans INF NCo , NP NP , NC ADJ de le "" NCmod "" , où se VIMP le NCo de ce NCmod ADJ .« NP à INF !"
3,1882_Verne_L-Ecole-des-Robinsons_A.txt,île à vendre !,NCo à INF !
4,1882_Verne_L-Ecole-des-Robinsons_A.txt,"» répétait d' une voix plus éclatante encore le crieur Gingrass , qui allait et venait à le milieu d' une foule véritablement très excitée.Foule , en effet , qui se pressait dans la vaste salle de l' hôtel de les ventes , à le numéro 10 de la rue Sacramento .",""" VIMP de un NCMAN plus ADJ encore le NC NP , qui aller et venir à le milieu de un NCmod ADVINT très NP , en NC , qui se VIMP dans le ADJ NC de le NCmod de le NCmod , à le NCmod NUM de le NCmod NP ."
5,1882_Verne_L-Ecole-des-Robinsons_A.txt,"Il y avait là , non seulement un certain nombre d' Américains de les États de Californie , de l' Oregon , de l' Utah , mais aussi quelques -uns de ces Français qui forment un bon sixième de la population , de les Mexicains enveloppés de leur sarape , de les Chinois avec leur tunique à larges manches , leurs souliers pointus , leur bonnet en cône , de les Canaques de l' Océanie , même quelques Pieds-Noirs , Gros-Ventres ou Têtes-Plates , accourus de les bords de la rivière Trinité.Hâtons -nous d' ajouter que la scène se passait dans la capitale de l' État californien , à San Francisco , mais non à cette époque où l' exploitation de les nouveaux placers attirait les chercheurs d' or de les deux mondes – de 1849 à 1852 .","il y avoir ADVLIEU , non seulement un ADJ NCo de NCmod de le NP de NP , de le NP , de le NP , mais aussi quelque NC de ce NCmod qui PRES un NCo ADJ de le NCmod , de le NC PPAS de lui NC , de le NP avec lui NCmod à NCmod ADJ , DETPOSS NC ADJ , lui NC en NCmod , de le NP de le NP , même quelque NC , NP ou NP , PPAS de le NC de le NCmod NP nous de INF que le NCs se VIMP dans le NC de le NCmod ADJ , à NP NP , mais non à ce NC où le NCs de le ADJ NCmod VIMP le NCo de NCmod de le NUM NCmod – de NUM à NUM ."
6,1882_Verne_L-Ecole-des-Robinsons_A.txt,"San Francisco n' était plus ce qu' elle avait été à le début , un caravansérail , un débarcadère , une auberge , où couchaient pour une nuit les affairés qui se hâtaient vers les terrains aurifères de le versant occidental de la Sierra Nevada .","NP NP ne être plus ce que il avoir être à le NC , un NC , un NC , un NC , où VIMP pour un NCT le NCo qui se VIMP vers le NC ADJ de le NCmod ADJ de le NP NP ."
7,1882_Verne_L-Ecole-des-Robinsons_A.txt,"Non , depuis quelque vingt ans , l' ancienne et inconnue Yerba-Buena avait fait place à une ville unique en son genre , riche de cent mille habitants , bâtie à le revers de deux collines , la place lui ayant manqué sur la plage de le littoral , mais toute disposée à s' étendre jusqu' à les dernières hauteurs de l' arrière-plan – une cité , enfin , qui a détrôné Lima , Santiago , Valparaiso , toutes ses autres rivales de l' ouest , dont les Américains ont fait la reine de le Pacifique , la « gloire de la côte occidentale » !","non , depuis quelque NUM NCT , le ADJ et ADJ NP avoir faire NCo à un NC ADJ en DETPOSS NC , ADJ de NUM NUM NC , NC à le NCmod de NUM NCmod , le NC lui avoir PPAS sur le NC de le NCmod , mais tout PPAS à se INF jusque à le ADJ NC de le NCmod – un NC , PHASE , qui avoir PPAS NP , NP , NP , tout DETPOSS autre NC de le NCmod , dont le NCs avoir faire le NCo de le NP , le "" NCo de le NCmod ADJ "" !"
8,1882_Verne_L-Ecole-des-Robinsons_A.txt,"Ce jour -là – 15 mai – , il faisait encore froid .","ce NCT ADVLIEU – NUM MOIS – , il faire encore ADJ ."
9,1882_Verne_L-Ecole-des-Robinsons_A.txt,"En ce pays , soumis directement à l' action de les courants polaires , les premières semaines de ce mois rappellent plutôt les dernières semaines de mars dans l' Europe moyenne .","en ce NC , PPAS ADV à le NC de le NCmod ADJ , le ADJ NCs de ce NCT PRES plutôt le ADJ NCo de MOIS dans le NP ADJ ."
10,1882_Verne_L-Ecole-des-Robinsons_A.txt,"Pourtant on ne s' en serait pas aperçu , à le fond de cette salle d' encans publics .","pourtant on ne se en être pas PPAS , à le NC de ce NCmod de NCmod ADJ ."
11,1882_Verne_L-Ecole-des-Robinsons_A.txt,"La cloche , avec son branle incessant , y avait appelé un grand concours de populaire , et une température estivale faisait perler à le front de chacun de les gouttes de sueur que le froid de le dehors eût vite solidifiées .Ne pensez pas que tous ces empressés fussent venus à la salle de les « auctions » dans l' intention d' acquérir .","le NCs , avec DETPOSS NCmod ADJ , y avoir PPAS un ADJ NCo de ADJ , et un NCs ADJ faire INF à le NCCOR de chacun de le NCmod de NCmod que le NCspas de le NCmod avoir ADV PPAS NP VCOG pas que tout ce NCs VSUBP venir à le NC de le "" NCmod "" dans le NC de INF ."
12,1882_Verne_L-Ecole-des-Robinsons_A.txt,Je dirai même qu' il n' y avait là que de les curieux .,je VF même que il ne y avoir ADVLIEU que de le NC .
13,1882_Verne_L-Ecole-des-Robinsons_A.txt,"Qui aurait été assez fou , s' il eût été assez riche , pour acheter une île de le Pacifique , que le gouvernement avait la bizarre idée de mettre en vente ?","qui avoir être ADV ADJ , si il avoir être ADV ADJ , pour INF un NCo de le NP , que le NCs avoir le ADJ NCo de mettre en NC ?"
14,1882_Verne_L-Ecole-des-Robinsons_A.txt,"On se disait donc que la mise à prix ne serait pas couverte , qu' aucun amateur ne se laisserait entraîner à le feu de les enchères .","on se VDIC donc que le NCspas à NCmod ne être pas PPAS , que aucun NCs ne se laisser INF à le NC de le NCmod ."
15,1882_Verne_L-Ecole-des-Robinsons_A.txt,"Cependant ce n' était pas la faute à le crieur public , qui tentait d' allumer les chalands par ses exclamations , ses gestes et le débit de ses boniments enguirlandés de les plus séduisantes métaphores .","cependant ce ne être pas le NC à le NCmod ADJ , qui VIMP de INF le NCo par DETPOSS NC , DETPOSS NC et le NC de DETPOSS NCmod PPAS de le plus ADJ NC ."
16,1882_Verne_L-Ecole-des-Robinsons_A.txt,"On riait , mais on ne poussait pas .","on VIMP , mais on ne VIMP pas ."
17,1882_Verne_L-Ecole-des-Robinsons_A.txt,– Une île !,– un NC !
18,1882_Verne_L-Ecole-des-Robinsons_A.txt,une île à vendre !,un NCs à INF !
19,1882_Verne_L-Ecole-des-Robinsons_A.txt,répéta Gingrass .,VPS NP .
20,1882_Verne_L-Ecole-des-Robinsons_A.txt,"– Mais pas à acheter , répondit un Irlandais , dont la poche n' eût pas fourni de quoi en payer un seul galet .","– mais pas à INF , VDIC un NCo , dont le NCs ne avoir pas PPAS de quoi en INF un ADJ NCo ."
21,1882_Verne_L-Ecole-des-Robinsons_A.txt,"– Une île qui , sur la mise à prix , ne reviendrait pas à six dollars l' acre !","– un NCs qui , sur le NC à NCmod , ne VCOND pas à NUM NC le NCo !"
22,1882_Verne_L-Ecole-des-Robinsons_A.txt,cria le commissaire Dean Felporg .,VDIC le NCo NP NP .
23,1882_Verne_L-Ecole-des-Robinsons_A.txt,– Et qui ne rapporterait pas un demi-quart pour cent !,– et qui ne VCOND pas un NCo pour NUM !
24,1882_Verne_L-Ecole-des-Robinsons_A.txt,"riposta un gros fermier , très connaisseur en fait d' exploitations agricoles .","VPS un ADJ NCo , très NCmod en NCmod de NCmod ADJ ."
25,1882_Verne_L-Ecole-des-Robinsons_A.txt,– Une île qui ne mesure pas moins de soixante-quatre millesCent vingt kilomètres .,– un NC qui ne PRES pas moins de NUM ADV NUM NC .
26,1882_Verne_L-Ecole-des-Robinsons_A.txt,de tour et deux cent vingt-cinq mille acres de surfaceQuatre-vingt-dix mille hectares .,de NC et NUM NUM NUM NUM NC de NP NUM NC .
27,1882_Verne_L-Ecole-des-Robinsons_A.txt,!– Est -elle à le moins solide sur son fond ?,!– être il à le moins ADJ sur DETPOSS NC ?
