id,titre,phrase,motifs_phrase
1,1883_Lesueur_L'amant-de-Genevieve_A.txt,PREMIÈRE PARTIE Chapitre I .,NP NP NP NUM .
2,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Il y avait bien trois minutes que M. le maire avait achevé son discours , que , tout rouge dans son étroit faux-col , tout ému de sa propre éloquence , il s' était lentement rassis , et cependant les petites mains de les écoliers applaudissaient encore .","il y avoir bien NUM NCT que monsieur le NC avoir VASP DETPOSS NCo , que , tout ADJCOL dans DETPOSS ADJ NC , tout VSENT de DETPOSS ADJ NC , il se être ADV PPAS , et cependant le ADJ NCCOR de le NCmod VIMP encore ."
3,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Le bruit joyeux , que les habiles rendaient plus sonore en creusant légèrement leurs paumes , éclatait et remplissait la petite classe , décorée de feuillage pour ce grand jour de la distribution de les prix ; il s' échappait par les hautes croisées ouvertes sur la campagne et s' en allait se perdre dans l' air alourdi et dans les rayons de le mois d' août.Certes , il avait été très beau le discours de M. le maire ; il avait roulé sur les bienfaits de la science , sur les devoirs de le citoyen ; pas une phrase qui n' y présentât l' une ou l' autre de les figures de rhétorique les plus savantes et les plus compliquées .","le NCs ADJ , que le NCs VIMP plus ADJ en PPRES ADVINT DETPOSS NCo , VIMP et VIMP le ADJ NCo , PPAS de NC pour ce ADJ NCT de le NCmod de le NCmod ; il se VIMP par le NC PPAS PPAS sur le NC et se en aller se INF dans le NCMAN PPAS et dans le NC de le NCT de NP , il avoir être très ADJ le NC de monsieur le NC ; il avoir PPAS sur le NC de le NCmod , sur le devoir de le NCmod ; pas un NC qui ne y VSUBI le un ou le autre de le NCCOR de NCmod le plus ADJ et le plus ADJ ."
4,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Mais si l' on regardait son auditoire , tous ces bambins à les joues brunies dont l' aîné n' avait pas douze ans , on avait peine à se persuader que les hautes considérations seules eussent excité tant d' enthousiasme .","mais si l' on VCOG DETPOSS NCo , tout ce NC à le NCmod ADJ dont le NCs ne avoir pas NUM NCT , on avoir NCSENT à se INF que le ADJ NCs ADJ PRES VSENT tant de NC ."
5,1883_Lesueur_L'amant-de-Genevieve_A.txt,On aurait même pu supposer sans trop d' irrévérence que les bravos s' adressaient à le silence de le fonctionnaire plutôt qu' à sa parole ... Enfin tout avait donc été dit !,on avoir même pouvoir VCOG sans trop de NC que le NCs se VIMP à le NC de le NCmod plutôt que à DETPOSS NC ... PHASE tout avoir donc être VDIC !
6,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Les meilleurs élèves , debout sur l' estrade et très intimidés , avaient récité de les vers , et les autorités de le village , non moins embarrassées peut-être , avaient solennellement débité de la prose .","le meilleur NCs , ADV sur le NC et très ADJ , avoir PPAS de le NC , et le NC de le NCmod , non moins VSENT peut-être , avoir ADV NCo de le NCmod ."
7,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Maintenant , M. Forest , le maître d' école , prenait en main la liste de les noms ; le maire examinait avec intérêt les beaux livres bleus et roses dont quelques -uns avaient de les tranches dorées qui brillaient comme de les flammes .","ADVT , monsieur NP , le NC de NCmod , VIMP en NCCOR le NCo de le NCmod ; le NCs VIMP avec NCSENT le ADJ NCo ADJCOL et ADJCOL dont quelque -un avoir de le NC ADJCOL qui VIMP comme de le NC ."
8,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Un autre monsieur , qui souriait et cherchait à se rendre utile , s' occupait à démêler les couronnes ; les fils de fer s' accrochaient ; c' était une opération très délicate .","un autre monsieur , qui VIMP et VIMP à se INF ADJ , se VIMP à INF le NCo ; le NCs de NCmod se VIMP ; ce être un NC très ADJ ."
9,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Bien de les grands yeux ardents se fixaient sur ces couronnes de papier récalcitrantes , et sur ce monsieur , qui maniait tant de gloire avec un air tout naturel.M. Forest mit bien haut son papier , et toussa légèrement pour éclaircir sa voix .","bien de le ADJ NCCOR ADJ se VIMP sur ce NC de NCmod ADJ , et sur ce monsieur , qui VIMP tant de NC avec un NCMAN tout NP NP mettre bien ADJ DETPOSS NCo , et VPS ADVINT pour INF DETPOSS NCMAN ."
10,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Le maire se leva de nouveau ; il tenait un grand volume et une couronne d' or ; c' était le prix d' excellence.On savait bien qui allait être nommé et tous les yeux se tournaient déjà vers ce favorisé de le sort , quand soudain quelque chose d' extraordinaire les dirigea vers la porte.Il s' était fait de le bruit à le dehors ; une voiture s' était arrêtée devant la maison d' école .","le NCs se VPS de ADJ ; il VIMP un ADJ NCo et un NC de NCmod ; ce être le NCs de NP VCOG bien qui aller être PPAS et tout le NCCOR se VIMP déjà vers ce NC de le NCmod , quand soudain quelque chose de ADJ le VPS vers le NP se être faire de le NC à le NCmod ; un NCs se être PPAS ADVLIEU le NC de NCmod ."
11,1883_Lesueur_L'amant-de-Genevieve_A.txt,"On entendait les chevaux qui secouaient leur mors , le claquement d' une portière qui se refermait .","on VCOG le NCo qui VIMP lui NCo , le NC de un NCmod qui se VIMP ."
12,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Presque aussitôt , sur le seuil de la salle , dans le reflet blanc de la route , un homme parut qui tenait une petite fille par la main .","presque aussitôt , sur le NC de le NCmod , dans le NC ADJCOL de le NCmod , un NC ADJ qui VIMP un ADJ NCo par le NCCOR ."
13,1883_Lesueur_L'amant-de-Genevieve_A.txt,"C' était le marquis de Peyralès et Geneviève , son unique enfant .","ce être le NC de NP et NP , DETPOSS ADJ NC ."
14,1883_Lesueur_L'amant-de-Genevieve_A.txt,"A cause de son nom et de sa position dans le pays , surtout par principe et par conviction , le marquis avait cru de son devoir d' assister à la distribution de les prix de l' école de le village.Il gravit l' estrade , serra la main de le maire et celle de le maître d' école , et s' excusa de venir un peu tard .","à NC de DETPOSS NCmod et de DETPOSS NC dans le NCmod , surtout par NCmod et par NC , le NCs avoir PPAS de DETPOSS devoir de INF à le NC de le NCmod de le NCmod de le NP VPS le NCo , VF le NCCOR de le NCmod et celui de le NCmod de NCmod , et se VPS de venir un peu tard ."
15,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Puis il se tourna vers les enfants qui , désappointés , s' apprêtèrent à essuyer un autre discours .","puis il se VPS vers le NC qui , VSENT , se PRES à INF un autre NCo ."
16,1883_Lesueur_L'amant-de-Genevieve_A.txt,Leurs craintes furent bientôt dissipées .,DETPOSS NCSENT être bientôt VSENT .
17,1883_Lesueur_L'amant-de-Genevieve_A.txt,"M. de Peyralès les fit rire en leur montrant qu' ils étaient compris ; il ajouta :— Mes enfants , je n' ai rien à vous dire .","monsieur de NP le faire INF en lui PPRES que il être VCOG ; il VPS :— DETPOSS NC , je ne avoir rien à vous VDIC ."
18,1883_Lesueur_L'amant-de-Genevieve_A.txt,Le véritable enseignement de cette journée n' est pas dans nos paroles : il est ici.Et son geste indiquait les livres et les couronnes.M. de Peyralès parlait d' un ton lent et froid .,le véritable NCs de ce NCT ne être pas dans DETPOSS NC : il être PRES DETPOSS NCo VIMP le NCo et le NP de NP VIMP de un NC ADJ et ADJ .
19,1883_Lesueur_L'amant-de-Genevieve_A.txt,"C' était un homme d' une quarantaine d' années , à le front dépouillé , à le regard court et incertain de le myope .","ce être un NC de un NCmod de NCT , à le NCCOR PPAS , à le NCMAN ADJ et ADJ de le NCmod ."
20,1883_Lesueur_L'amant-de-Genevieve_A.txt,Il avait de les favoris châtain clair qu' il portait taillés à la façon de les magistrats .,il avoir de le ADJ ADJCOL ADJ que il VIMP PPAS à le façon de le NCmod .
21,1883_Lesueur_L'amant-de-Genevieve_A.txt,Ses lèvres rasées se fermaient avec une expression d' amertume .,DETPOSS NCCOR PPAS se VIMP avec un NC de NCSENT .
22,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Il était en grand deuil , car il venait de laisser derrière lui , à Paris , dans le caveau de leur famille , le corps glacé de sa jeune femme .","il être en ADJ NC , car il venir de laisser ADVLIEU lui , à NP , dans le NC de lui NCmod , le NCCOR PPAS de DETPOSS ADJ NC ."
23,1883_Lesueur_L'amant-de-Genevieve_A.txt,Il avait aimé celle-ci pendant onze ans autant qu' il est possible d' aimer .,il avoir VSENT celui-ci PHASE NUM NCT autant que il être ADJ de VSENT .
24,1883_Lesueur_L'amant-de-Genevieve_A.txt,"L' enfant qui se pressait à son côté , et qui , depuis leur entrée , n' avait pas quitté la main de son père , était une petite créature adorable .","le NCs qui se VIMP à DETPOSS NC , et qui , depuis lui NC , ne avoir pas PPAS le NCCOR de DETPOSS NCmod , être un ADJ NC ADJ ."
25,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Elle avait le teint pâle et l' air un peu délicat ; de grands yeux bleus , assez enfoncés dans l' ombre de les sourcils ; le nez , la bouche , l' ovale de le visage très purs , et de les masses de cheveux brun foncé à reflets de cuivre .","il avoir le NC ADJ et le NCMAN un peu ADJ ; un ADJ NCCOR ADJCOL , ADV PPAS dans le NC de le NCCOR ; le NCCOR , le NCCOR , le NC de le NCCOR très ADJ , et de le NC de NCCOR ADJCOL ADJ à NCmod de NCmod ."
26,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Elle était vêtue , à la mode anglaise , d' une espèce de fourreau à larges plis , très court ; une ceinture entourait au-dessous de sa taille son corps gracieux , et un grand chapeau marin , placé très en arrière , laissait voir une frange épaisse de ses cheveux qui lui retombait sur le front .","il être PPAS , à le NC ADJ , de un espèce de NCmod à ADJ NCmod , très ADJ ; un NCs VIMP ADVLIEU de DETPOSS NC DETPOSS NCCOR ADJ , et un ADJ NC ADJ , PPAS très en NC , VIMP VCOG un ADJ NCo de DETPOSS NCCOR qui lui VIMP sur le NCCOR ."
27,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Ses vêtements étaient tellement garnis de crêpe que c' est à peine si l' on y distinguait une autre étoffe.Dans un coin de l' estrade se trouvait un fauteuil inoccupé , semblable à celui de le maire .","DETPOSS NCspas être ADVINT PPAS de NC que ce être à NCSENT si l' on y VCOG un autre étoffe.Dans un NCmod de le NCmod se VIMP un NCo ADJ , ADJ à celui de le NCmod ."
28,1883_Lesueur_L'amant-de-Genevieve_A.txt,"On avait bien espéré que M. de Peyralès daignerait assister à la cérémonie , et ce siège d' honneur lui était destiné .","on avoir bien VCOG que monsieur de NP VCOND INF à le NC , et ce NCs de NCSENT lui être PPAS ."
29,1883_Lesueur_L'amant-de-Genevieve_A.txt,"Il s' assit ; sa petite fille se plaça sur une chaise , tout près de lui.La distribution allait enfin commencer .","il se PRES ; DETPOSS ADJ NCs se VPS sur un NC , tout ADVLIEU de lui.La NC aller PHASE VASP ."
30,1883_Lesueur_L'amant-de-Genevieve_A.txt,"— Prix d' excellence , lut M. Forest , décerné , à l' élève qui , par sa conduite et son travail , s' est le plus distingué pendant tout le cours de l' année scolaire ... Philippe Sauval.Un jeune garçon d' une douzaine d' années se leva , et , passant devant ses camarades qui applaudissaient de toutes leurs forces , il monta sur l' estrade .","— NCs de NCmod , INTJ monsieur NP , PPAS , à le NC qui , par DETPOSS NC et DETPOSS NC , se être le plus VCOG PHASE tout le NC de le NCT ADJ ... NP NP ADJ NC de un NCmod de NCT se VPS , et , PPRES ADVLIEU DETPOSS NC qui VIMP de tout DETPOSS NCSENT , il VPS sur le NC ."
31,1883_Lesueur_L'amant-de-Genevieve_A.txt,— Tiens !,— NP !
32,1883_Lesueur_L'amant-de-Genevieve_A.txt,"dit Geneviève tout bas en se penchant vers son père , c' est Philippe .","VDIC NP tout ADJ en se PPRES vers DETPOSS NC , ce être NP ."
33,1883_Lesueur_L'amant-de-Genevieve_A.txt,Qu' il est grand !,que il être ADJ !
34,1883_Lesueur_L'amant-de-Genevieve_A.txt,Oh !,INTJ !
35,1883_Lesueur_L'amant-de-Genevieve_A.txt,"je suis contente qu' il ait le prix.Elle le regardait venir , et s' étonnait beaucoup .","je être PRES que il avoir le NCo le VCOG venir , et se VSENT beaucoup ."
36,1883_Lesueur_L'amant-de-Genevieve_A.txt,Le fils de le garde-chasse de son père ne ressemblait en rien à les autres petits paysans .,le NCs de le NCmod de DETPOSS NCmod ne VIMP en rien à le autre NC ADJ .
