id,titre,phrase,motifs_phrase
1,1883_Merouvel_Angele-Meraud_A.txt,"I Il y a quelques années , un samedi de 187 ... , vers onze heures et demie , un voyageur descendit de l' express venant de Paris et qui s' arrêtait dans une gare assez importante de la ligne de Granville .","NUM il y avoir quelque NCT , un ADVT de NUM ... , vers NUM NCT et NC , un NC ADJ de le NCmod PPRES de NP et qui se VIMP dans un NC ADV ADJ de le NCmod de NP ."
2,1883_Merouvel_Angele-Meraud_A.txt,"Cette grande gare se trouve dans une petite ville qui a emprunté , on ne sait pourquoi , à les temps les plus reculés , le nom de le roi de les airs .","ce ADJ NCs se PRES dans un ADJ NC qui avoir PPAS , on ne VCOG pourquoi , à le temps le plus PPAS , le NCo de le NCmod de le NCMAN ."
3,1883_Merouvel_Angele-Meraud_A.txt,"Cette petite ville n' est ni belle ni laide , remonte à les époques gauloises , et possède comme ornements supérieurs , une très curieuse tour d' église gothique et un château en décadence , élevé sur l' emplacement d' une forteresse et attribué à Mansard dont la gloire n' a rien à y gagner .","ce ADJ NCs ne être ni ADJ ni ADJ , VSENT à le NC ADJ , et PRES comme NC ADJ , un très ADJ NC de NCmod ADJ et un NC en NCmod , ADJ sur le NC de un NCmod et PPAS à NP dont le NCs ne avoir rien à y INF ."
4,1883_Merouvel_Angele-Meraud_A.txt,Ses cinq ou six mille habitants n' ont ni plus ni moins de défauts que les autres bipèdes qui fourmillent à la surface de le globe .,DETPOSS NCs ou NUM NUM NC ne avoir ni plus ni moins de NC que le autre NCs qui PRES à le NC de le NCmod .
5,1883_Merouvel_Angele-Meraud_A.txt,"Ainsi , ils se montrent aimables , hospitaliers et bienveillants .","ainsi , il se PRES ADJ , ADJ et ADJ ."
6,1883_Merouvel_Angele-Meraud_A.txt,C' est quelque chose .,ce être quelque chose .
7,1883_Merouvel_Angele-Meraud_A.txt,L' homme n' est pas parfait .,le NCs ne être pas ADJ .
8,1883_Merouvel_Angele-Meraud_A.txt,L' auteur de ces lignes moins que quiconque .,le NCs de ce NCmod moins que quiconque .
9,1883_Merouvel_Angele-Meraud_A.txt,"Le voyageur qui descendait de son wagon de première classe , était d' une taille moyenne , plutôt petite , fort bien prise .","le NCs qui VIMP de DETPOSS NC de ADJ NCmod , être de un NC ADJ , plutôt ADJ , fort bien PPAS ."
10,1883_Merouvel_Angele-Meraud_A.txt,"Sa figure un peu maigre , à le nez droit , à le teint blanc , offrait à l' examen d' un observateur , comme caractère principal , une vive intelligence , une grande finesse d' expression .","DETPOSS NCCOR un peu ADJ , à le NCCOR ADJ , à le NCmod ADJCOL , VIMP à le NC de un NCmod , comme NCmod ADJ , un ADJ NC , un ADJ NC de NCmod ."
11,1883_Merouvel_Angele-Meraud_A.txt,Ses yeux gris pétillaient d' esprit et de malice .,DETPOSS NCCOR ADJCOL VIMP de NC et de NC .
12,1883_Merouvel_Angele-Meraud_A.txt,Aucune trace de barbe n' ombrait ses lèvres minces .,aucun NCs de NCCOR ne VIMP DETPOSS NCCOR ADJ .
13,1883_Merouvel_Angele-Meraud_A.txt,Elles étaient aussi soigneusement rasées qu' une plaine de blé mûr où le feu a passé .,il être aussi ADV PPAS que un NCo de NCmod ADJ où le NCs avoir PPAS .
