id,titre,phrase,motifs_phrase
1,Zola/1884_12_La_joie_de_vivre._clean.txt,"Comme six heures sonnaient à le coucou de la salle à manger , Chanteau perdit tout espoir .","comme NUM NCT VIMP à le NC de le NCmod à INF , NP VPS tout NCSENT ."
2,Zola/1884_12_La_joie_de_vivre._clean.txt,"Il se leva péniblement de le fauteuil où il chauffait ses lourdes jambes de goutteux , devant un feu de coke .","il se PRES ADV de le NC où il PRES DETPOSS ADJ NCCOR de NCmod , ADVLIEU un NC de NCmod ."
3,Zola/1884_12_La_joie_de_vivre._clean.txt,"Depuis deux heures , il attendait madame Chanteau , qui , après une absence de cinq semaines , ramenait ce jour -là de Paris leur petite cousine Pauline Quenu , une orpheline de dix ans , dont le ménage avait accepté la tutelle .","depuis NUM NCT , il VIMP madame NP , qui , PHASE un NC de NUM NCmod , VIMP ce NCT ADVLIEU de NP lui ADJ NCo NP NP , un NC de NUM NCT , dont le NCs avoir PPAS le NCo ."
4,Zola/1884_12_La_joie_de_vivre._clean.txt,"C' est inconcevable , Véronique , dit -il en poussant la porte de la cuisine .","ce être ADJ , NP , VDIC il en PPRES le NCo de le NCmod ."
5,Zola/1884_12_La_joie_de_vivre._clean.txt,Il leur est arrivé un malheur .,il lui être PPAS un NCo .
6,Zola/1884_12_La_joie_de_vivre._clean.txt,"La bonne , une grande fille de trente-cinq ans , avec de les mains d' homme et une face de gendarme , était en train d' écarter de le feu un gigot qui allait être certainement trop cuit .","le NCs , un ADJ NC de NUM NCT , avec de le NCCOR de NCmod et un NC de NCmod , être en NC de INF de le NC un NC qui aller être ADVINT trop ADJ ."
7,Zola/1884_12_La_joie_de_vivre._clean.txt,"Elle ne grondait pas , mais une colère blêmissait la peau rude de ses joues .","il ne VIMP pas , mais un NCSENT VIMP le NCCOR ADJ de DETPOSS NCmod ."
8,Zola/1884_12_La_joie_de_vivre._clean.txt,"Madame sera restée à Paris , dit -elle sèchement .","madame être PPAS à NP , VDIC il ADVMAN ."
9,Zola/1884_12_La_joie_de_vivre._clean.txt,Avec toutes ces histoires qui n' en finissent plus et qui mettent la maison en l' air !,avec tout ce NC qui ne en VASP plus et qui mettre le NCo en le NCMAN !
10,Zola/1884_12_La_joie_de_vivre._clean.txt,"Non , non , expliqua Chanteau , la dépêche d' hier soir annonçait le règlement définitif de les affaires de la petite ... Madame a dû arriver ce matin à Caen , où elle s' est arrêtée pour passer chez Davoine .","non , non , VPS NP , le NCs de ADV INF VDIC le NCo ADJ de le NCmod de le ADJ ... madame avoir devoir INF ce NCT à NP , où il se être PPAS pour INF chez NP ."
11,Zola/1884_12_La_joie_de_vivre._clean.txt,"À une heure , elle reprenait le train ; à deux heures , elle descendait à Bayeux ; à trois heures , l' omnibus de le père Malivoire la déposait à Arromanches , et si même Malivoire n' a pas attelé tout de suite sa vieille berline , Madame aurait pu être ici vers quatre heures , quatre heures et demie à le plus tard ... Il n' y a guère que dix kilomètres d' Arromanches à Bonneville .","à un NCT , il VIMP le NCo ; à NUM NCT , il VIMP à NP ; à NUM NCT , le NCo de le NCmod NP le VIMP à NP , et si même NP ne avoir pas PPAS tout de NC DETPOSS ADJ NCo , madame avoir pouvoir être ADVLIEU vers NUM NCT , NUM NCT et PRES à le plus tard ... il ne y avoir guère que NUM NC de NP à NP ."
12,Zola/1884_12_La_joie_de_vivre._clean.txt,"La cuisinière , les yeux sur son gigot , écoutait tous ces calculs , en hochant la tête .","le NCs , le NCCOR sur DETPOSS NCmod , VIMP tout ce NCo , en PPRES le NCCOR ."
13,Zola/1884_12_La_joie_de_vivre._clean.txt,"Il ajouta , après une hésitation : Tu devrais aller voir à le coin de la route , Véronique .","il VPS , PHASE un NC : je VCOND aller VCOG à le NC de le NCmod , NP ."
14,Zola/1884_12_La_joie_de_vivre._clean.txt,"Elle le regarda , plus pâle encore de colère contenue .","il le VCOG , plus ADJ encore de NCSENT PPAS ."
15,Zola/1884_12_La_joie_de_vivre._clean.txt,Tiens !,tenir !
16,Zola/1884_12_La_joie_de_vivre._clean.txt,"pourquoi? ... Puisque monsieur Lazare est déjà dehors , à patauger à leur rencontre , ce n' est pas la peine que j' aille me crotter jusqu' à les reins .","pourquoi? ... ADV monsieur NP être déjà ADV , à INF à lui NC , ce ne être pas le NCSENT que je ailler me INF jusque à le NCCOR ."
17,Zola/1884_12_La_joie_de_vivre._clean.txt,"C' est que , murmura Chanteau doucement , je finis par être inquiet aussi de mon fils ... Lui non plus ne reparaît pas .","ce être que , VDIC NP ADVMAN , je VASP par être ADJ aussi de DETPOSS NC ... il non plus ne PRES pas ."
18,Zola/1884_12_La_joie_de_vivre._clean.txt,"Que peut -il faire sur la route , depuis une heure ?","que pouvoir il faire sur le NC , depuis un NCT ?"
19,Zola/1884_12_La_joie_de_vivre._clean.txt,"Alors , sans parler davantage , Véronique prit à un clou un vieux châle de laine noire , dont elle s' enveloppa la tête et les épaules .","alors , sans INF davantage , NP VPS à un NC un ADJ NCo de NCmod ADJ , dont il se VPS le NCCOR et le NCCOR ."
20,Zola/1884_12_La_joie_de_vivre._clean.txt,"Puis , comme son maître la suivait dans le corridor , elle lui dit brusquement : Retournez donc devant votre feu , si vous ne voulez pas gueuler demain toute la journée , avec vos douleurs .","puis , comme DETPOSS NC le VIMP dans le NC , il lui VDIC ADV : IMP donc ADVLIEU DETPOSS NC , si vous ne vouloir pas VDIC ADVT tout le NCT , avec DETPOSS NCSENT ."
21,Zola/1884_12_La_joie_de_vivre._clean.txt,"Et , sur le perron , après avoir refermé la porte à la volée , elle mit ses sabots et cria dans le vent : Ah !","et , sur le NC , PHASE avoir PPAS le NCo à le NC , il mettre DETPOSS NCo et VDIC dans le NC : INTJ !"
22,Zola/1884_12_La_joie_de_vivre._clean.txt,Dieu de Dieu !,NP de NP !
23,Zola/1884_12_La_joie_de_vivre._clean.txt,en voilà une morveuse qui peut se flatter de nous faire tourner en bourrique !,en voilà un NCo qui pouvoir se VSENT de nous faire INF en NC !
24,Zola/1884_12_La_joie_de_vivre._clean.txt,Chanteau resta paisible .,NP VPS ADJ .
25,Zola/1884_12_La_joie_de_vivre._clean.txt,"Il était accoutumé à les violences de cette fille , entrée chez lui à l' âge de quinze ans , l' année même de son mariage .","il être PPAS à le NC de ce NCmod , PPAS chez lui à le NC de NUM NCT , le NCT même de DETPOSS NCmod ."
26,Zola/1884_12_La_joie_de_vivre._clean.txt,"Lorsqu' il n' entendit plus le bruit de les sabots , il s' échappa comme un écolier en vacances et alla se planter , à l' autre bout de le couloir , devant une porte vitrée qui donnait sur la mer .","lorsque il ne VPS plus le NCo de le NCmod , il se VPS comme un NC en NCmod et aller se INF , à le autre NC de le NCmod , ADVLIEU un NC ADJ qui VIMP sur le NC ."
27,Zola/1884_12_La_joie_de_vivre._clean.txt,"Là , il s' oublia un instant , court et ventru , le teint coloré , regardant le ciel de ses gros yeux bleus à fleur de tête , sous la calotte neigeuse de ses cheveux coupés ras .","ADVLIEU , il se VCOG un NCo , ADJ et ADJ , le NC ADJ , VCOG le NCo de DETPOSS ADJ NCCOR ADJCOL à NC de NCCOR , sous le NC ADJ de DETPOSS NCCOR PPAS ADJ ."
28,Zola/1884_12_La_joie_de_vivre._clean.txt,Il était à peine âgé de cinquante-six ans ; mais les accès de goutte dont il souffrait l' avaient vieilli de bonne heure .,il être à NCSENT ADJ de NUM NCT ; mais le NCs de NCmod dont il VIMP le avoir PPAS de ADJ NCT .
29,Zola/1884_12_La_joie_de_vivre._clean.txt,"Distrait de son inquiétude , les regards perdus , il songeait que la petite Pauline finirait bien par faire la conquête de Véronique .","NC de DETPOSS NCSENT , le NCMAN PPAS , il VIMP que le ADJ NP VASP bien par faire le NCo de NP ."
30,Zola/1884_12_La_joie_de_vivre._clean.txt,"Puis , était -ce sa faute ?","puis , être ce DETPOSS NC ?"
31,Zola/1884_12_La_joie_de_vivre._clean.txt,"Quand ce notaire de Paris lui avait écrit que son cousin Quenu , veuf depuis six mois , venait de mourir à son tour en le chargeant par testament de la tutelle de sa fille , il ne s' était pas senti la force de refuser .","quand ce NCs de NP lui avoir PPAS que DETPOSS NCs NP , NC depuis NUM NCT , venir de INF à DETPOSS NC en le NC par NCmod de le NCmod de DETPOSS NCmod , il ne se être pas sentir le NCSENT de INF ."
