id,titre,phrase,motifs_phrase
1,1884_Rachilde_Monsieur-Venus_A.txt,RACHILDE MONSIEUR VÉNUS A Monsieur LÉO D' ORFER je dédie Monsieur Vénus .,NP monsieur NP NP monsieur NP NP NP je PRES monsieur NP .
2,1884_Rachilde_Monsieur-Venus_A.txt,RACHILDE .,NP .
3,1884_Rachilde_Monsieur-Venus_A.txt,MONSIEUR VÉNUS CHAPITRE I MADEMOISELLE de Vénérande cherchait à tâtons une porte dans l' étroit couloir indiqué par le concierge .,monsieur NP NP NUM NP de NP VIMP à PRES un NCo dans le ADJ NC PPAS par le NC .
4,1884_Rachilde_Monsieur-Venus_A.txt,"Ce septième étage n' était pas éclairé de le tout , et la peur lui venait de tomber brusquement à le milieu d' un taudis mal famé , quand elle pensa à son étui à cigarettes , qui contenait ce qu' il fallait pour avoir un peu de lumière .","ce ADJ NCs ne être pas PPAS de le tout , et le NCSENT lui venir de INF ADV à le milieu de un NCmod mal PPAS , quand il VCOG à DETPOSS NC à NCmod , qui VIMP ce que il VIMP pour avoir un peu de NCo ."
5,1884_Rachilde_Monsieur-Venus_A.txt,"A la lueur d' une allumette , elle découvrit le numéro 10 et lut cette pancarte : Marie Silvert , fleuriste , dessinateur .","à le NC de un NCmod , il VCOG le NCo NUM et VPS ce NCo : NP NP , NC , NC ."
6,1884_Rachilde_Monsieur-Venus_A.txt,"Puis , la clef étant sur la porte , elle entra; mais , sur le seuil , une odeur de pommes cuisant la prit à la gorge et l' arrêta net .","puis , le NCs être sur le NC , il entra; mais , sur le NC , un NC de NCmod PPRES le prendre à le NCCOR et le NC ADJ ."
7,1884_Rachilde_Monsieur-Venus_A.txt,Nulle odeur ne lui était plus odieuse que celle de les pommes; aussi fut -ce avec un frisson de dégoût qu' avant de révéler sa présence elle examina la mansarde .,ADJ NCs ne lui être plus ADJ que celui de le pommes; aussi être ce avec un NCSENT de NCSENT que PHASE de INF DETPOSS NCo il VPS le NCo .
8,1884_Rachilde_Monsieur-Venus_A.txt,"Assis à une table où fumait une lampe sur un poêlon graisseux , un homme , paraissant absorbé dans un travail très minutieux , tournait le dos à la porte .","PPAS à un NC où VIMP un NCs sur un NCmod ADJ , un NC , paraître PPAS dans un NC très ADJ , VIMP le NCCOR à le NC ."
9,1884_Rachilde_Monsieur-Venus_A.txt,"Autour de son torse , sur sa blouse flottante , courait en spirale une guirlande de roses , de les roses fort larges de satin chair velouté de grenat , qui lui passaient entre les jambes , filaient jusqu' à les épaules et venaient s' enrouler à le col .","ADV de DETPOSS NCCOR , sur DETPOSS NC ADJ , VIMP en NC un NCo de ADJCOL , de le ADJCOL fort ADJ de ADJ NCCOR PPAS de ADJCOL , qui lui VIMP entre le NCCOR , VIMP jusque à le NCCOR et venir se INF à le NC ."
10,1884_Rachilde_Monsieur-Venus_A.txt,"A sa droite se dressait une gerbe de giroflées de les murailles , et , à sa gauche , une touffe de violettes .","à DETPOSS NC se VIMP un NCs de NCmod de le NCmod , et , à DETPOSS NCmod , un NC de NCmod ."
11,1884_Rachilde_Monsieur-Venus_A.txt,"Sur un grabat en désordre , dans un coin de la pièce , de les lis en papier s' amoncelaient .","sur un NCs en NCmod , dans un NCmod de le NCmod , de le NCmod en NCmod se VIMP ."
12,1884_Rachilde_Monsieur-Venus_A.txt,"Quelques branches de fleurs gâchées et de les assiettes sales , surmontées d' un litre vide , traînaient entre deux chaises de paille crevées .","quelque NCs de NCmod ADJ et de le NC ADJ , PPAS de un NC ADJ , VIMP entre NUM NC de NCmod PPAS ."
13,1884_Rachilde_Monsieur-Venus_A.txt,"Un petit poêle fendu envoyait son tuyau dans la vitre d' une lucarne en tabatière et couvait les pommes étalées devant lui , d' un seul œil , rouge .","un ADJ NCs ADJ VIMP DETPOSS NCo dans le NC de un NCmod en NCmod et VIMP le NCo PPAS ADVLIEU lui , de un ADJ NCmod , ADJCOL ."
14,1884_Rachilde_Monsieur-Venus_A.txt,L' homme sentit le froid que laissait pénétrer la porte ouverte ; il releva l' abat-jour de la lampe et se retourna .,le NCs sentir le NCo que laisser INF le NCo ADJ ; il VPS le NCo de le NCmod et se VPS .
15,1884_Rachilde_Monsieur-Venus_A.txt,"- Est -ce que je me trompe , monsieur ?","- être ce que je me PRES , monsieur ?"
16,1884_Rachilde_Monsieur-Venus_A.txt,"interrogea la visiteuse , désagréablement impressionnée ; Marie Silvert , je vous prie .","VDIC le NCo , ADV PPAS ; NP NP , je vous PRES ."
17,1884_Rachilde_Monsieur-Venus_A.txt,"- C' est bien ici , madame , et , pour le moment , Marie Silvert , c' est moi .","- ce être bien ADVLIEU , madame , et , pour le NC , NP NP , ce être soi ."
18,1884_Rachilde_Monsieur-Venus_A.txt,"Raoule ne put s' empêcher de sourire : faite d' une voix à les sonorités mâles , cette réponse avait quelque chose de grotesque , que ne corrigeait pas la pose embarrassée de le garçon tenant ses roses à la main .","NP ne pouvoir se INF de INF : faire de un NCMAN à le NCmod ADJ , ce NCs avoir quelque chose de NCmod , que ne VIMP pas le NCo VSENT de le NCmod PPRES DETPOSS ADJCOL à le NCCOR ."
19,1884_Rachilde_Monsieur-Venus_A.txt,- Vous faites de les fleurs ?,- vous faire de le NC ?
20,1884_Rachilde_Monsieur-Venus_A.txt,Vous les faites comme une vraie fleuriste !,vous le faire comme un vrai NC !
21,1884_Rachilde_Monsieur-Venus_A.txt,"- Sans doute , il le faut bien .","- sans NCSENT , il le PRES bien ."
22,1884_Rachilde_Monsieur-Venus_A.txt,"J' ai ma sœur malade ; tenez , là , dans ce lit , elle dort ..... Pauvre fille !","je avoir DETPOSS NCo ADJ ; IMP , ADVLIEU , dans ce NC , il PRES ..... ADJ NCo !"
23,1884_Rachilde_Monsieur-Venus_A.txt,"Oui , très malade .","oui , très ADJ ."
24,1884_Rachilde_Monsieur-Venus_A.txt,Une grosse fièvre qui lui secoue les doigts .,un ADJ VSENT qui lui PRES le NCCOR .
25,1884_Rachilde_Monsieur-Venus_A.txt,"Elle ne peut rien fournir de bon ...; moi , je sais peindre , mais je me suis dit qu' en travaillant à sa place , je gagnerais mieux ma vie qu' à dessiner de les animaux ou copier de les photographies .","il ne pouvoir rien INF de ADJ ...; soi , je VCOG INF , mais je me être VDIC que en PPRES à DETPOSS NC , je VCOND mieux DETPOSS NCo que à INF de le NC ou NC de le NCmod ."
26,1884_Rachilde_Monsieur-Venus_A.txt,"Les commandes ne pleuvent guère , ajouta -t -il en matière de conclusion , mais je décroche le mois tout de même .","le NCs ne PRES guère , VPS t il en NC de NCmod , mais je PRES le NCT tout de même ."
27,1884_Rachilde_Monsieur-Venus_A.txt,Il eut un haussement de cou pour surveiller le sommeil de la malade .,il avoir un NCo de NCCOR pour INF le NCo de le NCmod .
28,1884_Rachilde_Monsieur-Venus_A.txt,Rien ne remuait sous les lis .,rien ne VIMP sous le NC .
29,1884_Rachilde_Monsieur-Venus_A.txt,Il offrit une de les chaises à la jeune femme .,il VPS un de le NCmod à le ADJ NCmod .
30,1884_Rachilde_Monsieur-Venus_A.txt,Raoule serra autour d' elle son pardessus de loutre et s' assit avec une grande répugnance ; elle ne souriait plus .,NP VF ADV de il DETPOSS NCo de ADV et se PRES avec un ADJ NCSENT ; il ne VIMP plus .
31,1884_Rachilde_Monsieur-Venus_A.txt,"- Madame désire ...? demanda le garçon , lâchant sa guirlande , pour fermer sa blouse , qui s' écartait beaucoup sur sa poitrine .","- madame ADJ ...? VPS le NCo , PPRES DETPOSS NCo , pour INF DETPOSS NCo , qui se VIMP beaucoup sur DETPOSS NC ."
32,1884_Rachilde_Monsieur-Venus_A.txt,"- On m' a donné , répondit Raoule , l' adresse de votre sœur en me la recommandant comme une véritable artiste .","- on lui avoir PPAS , VDIC NP , le NC de DETPOSS NCmod en me le PPRES comme un véritable NC ."
33,1884_Rachilde_Monsieur-Venus_A.txt,J' ai absolument besoin de m' entendre avec elle à le sujet d' une toilette de bal .,je avoir ADVINT NCo de lui VCOG avec il à le NC de un NC de NCmod .
34,1884_Rachilde_Monsieur-Venus_A.txt,Ne pouvez -vous la réveiller ?,ne pouvoir vous le INF ?
35,1884_Rachilde_Monsieur-Venus_A.txt,"- Une toilette de bal? oh! madame , soyez tranquille , inutile de la réveiller .","- un NC de bal? oh! madame , être ADJ , ADJ de le INF ."
36,1884_Rachilde_Monsieur-Venus_A.txt,"Je vous soignerai ça ... Voyons , que vous faut -il ?","je vous VF ça ... VCOG , que vous PRES il ?"
37,1884_Rachilde_Monsieur-Venus_A.txt,"de les piquets , de les cordons ou de les motifs détachés? ... Mal à l' aise , la jeune femme avait envie de s' en aller .","de le NC , de le NC ou de le NC détachés? ... mal à le NC , le ADJ NCs avoir PPAS de se en aller ."
38,1884_Rachilde_Monsieur-Venus_A.txt,"À le hasard , elle prit une rose et en examina le cœur , que le fleuriste avait mouillé d' une goutte de cristal : - Vous avez de le talent , beaucoup de talent , répéta -t -elle , tout en détirant les pétales de satin ... Cette odeur de pommes rissolées lui devenait insupportable .","à le NC , il VPS un ADJCOL et en VPS le NCo , que le NCs avoir PPAS de un NC de NCmod : - vous avoir de le NC , beaucoup de NC , VPS t il , tout en PPRES le NCo de NCmod ... ce NCs de NCmod ADJ lui devenir ADJ ."
39,1884_Rachilde_Monsieur-Venus_A.txt,"L' artiste se mit en face de sa nouvelle cliente et attira la lampe entre eux , à le bord de la table .","le NCs se mettre en NC de DETPOSS ADJ NC et VSENT le NCo entre eux , à le NC de le NCmod ."
40,1884_Rachilde_Monsieur-Venus_A.txt,"Ainsi placés , ils pouvaient se voir de les pieds à la tête .","ainsi ADJ , il pouvoir se VCOG de le NCCOR à le NCCOR ."
41,1884_Rachilde_Monsieur-Venus_A.txt,Leurs regards se croisèrent .,DETPOSS NCMAN se VPS .
42,1884_Rachilde_Monsieur-Venus_A.txt,"Raoule , comme éblouie , cligna de les paupières derrière sa voilette .","NP , comme NCmod , NC de le NCCOR ADVLIEU DETPOSS NCmod ."
43,1884_Rachilde_Monsieur-Venus_A.txt,"Le frère de Marie Silvert était un roux , un roux très foncé , presque fauve , un peu ramassé sur de les hanches saillantes , avec de les jambes droites , minces à les chevilles .","le NCs de NP NP être un ADJCOL , un ADJCOL très ADJ , presque NC , un peu PPAS NC un le NCCOR ADJ , avec de le NCCOR ADJ , ADJ à le NCCOR ."
44,1884_Rachilde_Monsieur-Venus_A.txt,"Ses cheveux , plantés bas , sans ondulations ni boucles , mais durs , épais , se devinaient rebelles à les morsures de le peigne .","DETPOSS NCCOR , PPAS ADJ , sans NC ni NC , mais ADJ , ADJ , se VIMP ADJ à le NC de le NCmod ."
45,1884_Rachilde_Monsieur-Venus_A.txt,"Sous son sourcil noir , assez délié , son œil était d' un sombre étrange , quoique d' une expression bête .","sous DETPOSS NCCOR ADJ , ADV PPAS , DETPOSS NCs être de un NC ADJ , quoique de un NC ADJ ."
46,1884_Rachilde_Monsieur-Venus_A.txt,"Il regardait , cet homme , comme implorent les chiens souffrants , avec une vague humidité sur les prunelles .","il VCOG , ce NCo , comme VPS le NCo ADJ , avec un NC NCmod sur le NCmod ."
47,1884_Rachilde_Monsieur-Venus_A.txt,Ces larmes d' animal poignent toujours d' une manière atroce .,ce NCs de NCmod PRES ADVTEMPS de un NC ADJ .
48,1884_Rachilde_Monsieur-Venus_A.txt,"Sa bouche avait le ferme contour de les bouches saines que la fumée , en les saturant de son parfum viril , n' a pas encore flétries .","DETPOSS NCCOR avoir le ADJ NCs de le NCCOR ADJ que le NC , en le PPRES de DETPOSS NC ADJ , ne avoir pas encore NC ."
49,1884_Rachilde_Monsieur-Venus_A.txt,"Par instant , ses dents s' y montraient si blanches à côté de ses lèvres si pourpres qu' on se demandait pourquoi ces gouttes de lait ne séchaient point entre ces deux tisons .","par NC , DETPOSS NCCOR se y VIMP si ADJCOL à NC de DETPOSS NCCOR si ADJCOL que on se VIMP pourquoi ce NCs de NCmod ne VIMP ADV entre ce NUM NC ."
50,1884_Rachilde_Monsieur-Venus_A.txt,"Le menton , à fossette , d' une chair unie et enfantine , était adorable .","le NCCOR , à NC , de un NCCOR ADJ et ADJ , être ADJ ."
51,1884_Rachilde_Monsieur-Venus_A.txt,"Le cou avait un petit pli , le pli de le nouveau -né qui engraisse .","le NCCOR avoir un ADJ NC , le NC de le ADJ NCmod qui PRES ."
52,1884_Rachilde_Monsieur-Venus_A.txt,"La main assez large , la voix boudeuse et les cheveux plantés drus étaient en lui les seuls indices révélateurs de le sexe .","le NCCOR ADV ADJ , le NCMAN ADJ et le NCCOR PPAS ADJ être en lui le ADJ NC ADJ de le NCmod ."
53,1884_Rachilde_Monsieur-Venus_A.txt,"Raoule oubliait sa commande ; une torpeur singulière s' emparait d' elle , engourdissant jusqu' à ses paroles .","NP VCOG DETPOSS NCo ; un NCs ADJ se VIMP de il , PPRES jusque à DETPOSS NC ."
54,1884_Rachilde_Monsieur-Venus_A.txt,"Cependant elle se trouvait mieux , les pommes avec leurs jets de vapeur chaude ne l' incommodaient plus ; et , de ces fleurs éparses dans les assiettes sales , il lui semblait même se dégager une certaine poésie .","cependant il se VIMP mieux , le NCs avec DETPOSS NCmod de NCmod ADJ ne le VIMP plus ; et , de ce NC ADJ dans le NC ADJ , il lui sembler même se INF un ADJ NCo ."
55,1884_Rachilde_Monsieur-Venus_A.txt,"L' accent ému , elle reprit: - Voici , monsieur , il s' agit d' un bal costumé et j' ai pour habitude de porter de les garnitures spécialement dessinées pour moi .","le NCs VSENT , il reprit: - voici , monsieur , il se PRES de un NC PPAS et je avoir pour NC de INF de le NC ADVINT PPAS pour soi ."
