id,titre,phrase,motifs_phrase
1,Zola/1886_14_L_oeuvre._clean.txt,"Claude passait devant l' Hôtel-de-Ville , et deux heures de le matin sonnaient à l' horloge , quand l' orage éclata .","NP VIMP ADVLIEU le NP , et NUM NCT de le NCT VIMP à le NC , quand le NCs VPS ."
2,Zola/1886_14_L_oeuvre._clean.txt,"Il s' était oublié à rôder dans les Halles , par cette nuit brûlante de juillet , en artiste flâneur , amoureux de le Paris nocturne .","il se être VCOG à INF dans le NP , par ce NCT ADJ de MOIS , en NC NCmod , NC de le NP ADJ ."
3,Zola/1886_14_L_oeuvre._clean.txt,"Brusquement , les gouttes tombèrent si larges , si drues , qu' il prit sa course , galopa dégingandé , éperdu , le long de le quai de la Grève .","ADV , le NCs VPS si ADJ , si ADJ , que il VPS DETPOSS NCo , VPS PPAS , PPAS , le NC de le NCmod de le NP ."
4,Zola/1886_14_L_oeuvre._clean.txt,"Mais , à le pont Louis-Philippe , une colère de son essoufflement l' arrêta : il trouvait imbécile cette peur de l' eau; et , dans les ténèbres épaisses , sous le cinglement de l' averse qui noyait les becs de gaz , il traversa lentement le pont , les mains ballantes .","mais , à le NC NP , un NCSENT de DETPOSS NCmod le VPS : il VIMP ADJ ce NCSENT de le eau; et , dans le NC ADJ , sous le NCmod de le NCmod qui VIMP le NCo de NCmod , il VPS ADV le NCo , le NCCOR ADJ ."
5,Zola/1886_14_L_oeuvre._clean.txt,"De le reste , Claude n' avait plus que quelques pas à faire .","de le NC , NP ne avoir plus que quelque pas à faire ."
6,Zola/1886_14_L_oeuvre._clean.txt,"Comme il tournait sur le quai de Bourbon , dans l' île Saint-Louis , un vif éclair illumina la ligne droite et plate de les vieux hôtels rangés devant la Seine , à le bord de l' étroite chaussée .","comme il VIMP sur le NC de NP , dans le NC NP , un ADJ NCs VPS le NCo ADJ et ADJ de le ADJ NCmod PPAS ADVLIEU le NP , à le NCmod de le NCmod PPAS ."
7,Zola/1886_14_L_oeuvre._clean.txt,"La réverbération alluma les vitres de les hautes fenêtres sans persiennes , on vit le grand air triste de les antiques façades , avec de les détails très nets , un balcon de pierre , une rampe de terrasse , la guirlande sculptée d' un fronton .","le NCs VPS le NCo de le ADJ NCmod sans NCmod , on VPS le ADJ NCMAN ADJ de le ADJ NCmod , avec de le NC très ADJ , un NC de NCmod , un NC de NCmod , le NC PPAS de un NC ."
8,Zola/1886_14_L_oeuvre._clean.txt,"C' était là que le peintre avait son atelier , dans les combles de l' ancien hôtel de le Martoy , à l' angle de la rue de la Femme-sans-Tête .","ce être ADVLIEU que le NCs avoir DETPOSS NCo , dans le NC de le ADJ NCmod de le NP , à le NC de le NCmod de le NP ."
9,Zola/1886_14_L_oeuvre._clean.txt,"Le quai entrevu était aussitôt retombé à les ténèbres , et un formidable coup de tonnerre avait ébranlé le quartier endormi .","le NCs PPAS être aussitôt PPAS à le NC , et un ADJ NCs de NCmod avoir PPAS le NCo ADJ ."
10,Zola/1886_14_L_oeuvre._clean.txt,"Arrivé devant sa porte , une vieille porte ronde et basse , bardée de fer , Claude , aveuglé par la pluie , tâtonna pour tirer le bouton de la sonnette ; et sa surprise fut extrême , il eut un tressaillement en rencontrant dans l' encoignure , collé contre le bois , un corps vivant .","PPAS ADVLIEU DETPOSS NC , un ADJ NCs ADJ et ADJ , PPAS de NC , NP , PPAS par le NC , VPS pour INF le NCo de le NCmod ; et DETPOSS NCSENT être ADJ , il avoir un NCo en PPRES dans le NC , PPAS contre le NC , un NCCOR ADJ ."
11,Zola/1886_14_L_oeuvre._clean.txt,"Puis , à la brusque lueur d' un second éclair , il aperçut une grande jeune fille , vêtue de noir , et déjà trempée , qui grelottait de peur .","puis , à le ADJ NC de un NCmod ADJ , il VPS un ADJ ADJ NCo , PPAS de NC , et déjà PPAS , qui VIMP de NCSENT ."
12,Zola/1886_14_L_oeuvre._clean.txt,"Lorsque le coup de tonnerre les eut secoués tous les deux , il s' écria : Ah bien !","lorsque le NCs de NCmod le avoir PPAS tout le NUM , il se VPS : INTJ bien !"
