id,titre,phrase,motifs_phrase
1,1886_Rosny_Nell-Horn_N.txt,"PREMIÈRE PARTIE À le fond de la pelouse , à la lisière d' un massif sombre , les « Totaliseurs de thé1 » tenaient un meeting .","NP NP à le NC de le NCmod , à le NC de un NCmod ADJ , le "" NP de NUM "" VIMP un NCo ."
2,1886_Rosny_Nell-Horn_N.txt,"Avec de les gestes vifs et larges , un gilet blanc prêchait l' abstinence de les liqueurs fortes .","avec de le NC ADJ et ADJ , un NCs ADJCOL VIMP le NCo de le NCmod fort ."
3,1886_Rosny_Nell-Horn_N.txt,"Il avait de l' humour , l' auditoire en plein vent riait par saccades , avec un bruit de marée .","il avoir de le NCo , le NC en ADJ NCmod VIMP par NC , avec un NC de NCmod ."
4,1886_Rosny_Nell-Horn_N.txt,"Plus près , sous les trois ormes qui poussent triomphalement , et que l' été encombrait de feuillée opulente , les Athées attaquaient les Religieux , les Sécularistes croisaient la langue avec les Conservateurs .","plus ADVLIEU , sous le NUM NC qui PRES ADV , et que le NCs VIMP de NC ADJ , le NP VIMP le NP , le NP VIMP le NCCOR avec le NP ."
5,1886_Rosny_Nell-Horn_N.txt,Un Malthusien2 raillait tous les systèmes .,un NP VIMP tout le NCo .
6,1886_Rosny_Nell-Horn_N.txt,"Un robuste Calviniste3 hurlait le dogme de la Prédestination , et un Socialiste polonais ne reculait pas devant trois adversaires .","un ADJ NP VDIC le NCo de le NCmod , et un NCs ADJ ne VIMP pas ADVLIEU NUM NC ."
7,1886_Rosny_Nell-Horn_N.txt,"À droite , par delà le monument de granit rose , ombragés par de splendides feuillages , les « Salutistes4 » chantaient .","à NC , par delà le NC de NCmod ADJCOL , PPAS par un ADJ NC , le "" NP "" VIMP ."
8,1886_Rosny_Nell-Horn_N.txt,La poésie était de leur côté .,le NCs être de lui NC .
9,1886_Rosny_Nell-Horn_N.txt,"Entre les ramures penchantes , le soleil leur arrivait très doux .","entre le NC ADJ , le NCs lui VIMP très ADJ ."
10,1886_Rosny_Nell-Horn_N.txt,L' herbe longue cachait leurs pieds .,le NCs ADJ VIMP DETPOSS NCCOR .
11,1886_Rosny_Nell-Horn_N.txt,Leurs faces se levaient à le ciel dans une extase .,DETPOSS NCs se VIMP à le NC dans un NCSENT .
12,1886_Rosny_Nell-Horn_N.txt,"À le centre , une femme faisait courir ses doigts sur un petit orgue plaintif .","à le NC , un NC faire INF DETPOSS NCCOR sur un ADJ NCmod ADJ ."
13,1886_Rosny_Nell-Horn_N.txt,Ils semblaient de les créatures d' un autre âge .,il VIMP de le NC de un autre NCmod .
14,1886_Rosny_Nell-Horn_N.txt,"L' hymne grave , psalmodié par cinquante voix , montait harmonieusement à les nids de les oiseaux , à les hautes branches , s' épandait dans le firmament bleu .","le NCs ADJ , PPAS par NUM NCMAN , VIMP ADV à le NC de le NCmod , à le ADJ NC , se VIMP dans le NC ADJCOL ."
15,1886_Rosny_Nell-Horn_N.txt,"Un artiste pouvait être surpris , ému par cette communion mélodique , dans ce beau cadre d' un parc anglais .","un NCs pouvoir être VSENT , VSENT par ce NC ADJ , dans ce ADJ NC de un NCmod ADJ ."
16,1886_Rosny_Nell-Horn_N.txt,"Une jeune fille arrivait vers la grande pelouse , par la sente qui croise le gymnase .","un ADJ NCs VIMP vers le ADJ NC , par le NC qui PRES le NCo ."
17,1886_Rosny_Nell-Horn_N.txt,"Elle était mince , enveloppée d' un long ulster5 jaune , et marchait nerveusement .","il être NC , PPAS de un ADJ NC ADJCOL , et VIMP ADVMAN ."
18,1886_Rosny_Nell-Horn_N.txt,"Dans sa figure pâle deux yeux sombres brillaient , pleins de tristesse .","dans DETPOSS NCCOR ADJ NUM NCCOR ADJ VIMP , ADV de NCSENT ."
19,1886_Rosny_Nell-Horn_N.txt,"Elle alla d' abord à le groupe disputeur , curieuse , attirée par l' aigreur de les cris .","il aller de NC à le NC ADJ , NC , VSENT par le NCSENT de le NCmod ."
20,1886_Rosny_Nell-Horn_N.txt,"Avec un rire sifflant , le Malthusien disait – Dans l' ensemble , et telle que la société est construite , un ivrogne vaut mieux qu' un homme sobre .","avec un NCMAN ADJ , le NP VDIC – dans le ensemble , et PRES que le NCspas être PPAS , un NC ADJ mieux que un NCmod ADJ ."
21,1886_Rosny_Nell-Horn_N.txt,"Je ne parle pas pour moi , je suis sobre , par égoïsme , pour vivre longtemps .","je ne PRES pas pour soi , je être NC , par NCmod , pour INF longtemps ."
