id,titre,phrase,motifs_phrase
1,1887_Bloy_Le-Desespere_A.txt,"I 1 Quandvousrecevrez cette lettre , mon cher ami , j' aurai achevé de tuer mon père .","NUM NUM IMP ce NCo , DETPOSS ADJ NC , je avoir VASP de INF DETPOSS NCo ."
2,1887_Bloy_Le-Desespere_A.txt,"Le pauvre homme agonise , et mourra , dit -on , avant le jour .","le ADJ NCs ADJ , et NC , VDIC on , PHASE le NCT ."
3,1887_Bloy_Le-Desespere_A.txt,Il est deux heures de le matin .,il être NUM NCT de le NCT .
4,1887_Bloy_Le-Desespere_A.txt,"Je suis seul dans une chambre voisine , la vieille femme qui le garde m' ayant fait entendre qu' il valait mieux que les yeux de le moribond ne me rencontrassent pas et qu' on m' avertirait_ quand il en serait temps .","je être ADJ dans un NC ADJ , le ADJ NC qui le PRES lui avoir faire VCOG que il VIMP mieux que le NCCOR de le NCmod ne me PRES pas et que on lui NP quand il en être temps ."
5,1887_Bloy_Le-Desespere_A.txt,"Je ne sens actuellement aucune douleur ni aucune impression morale nettement distincte d' une confuse mélancolie , d' une indécise peur de ce qui va venir .","je ne sentir ADVTEMPS aucun NCSENT ni aucun NC ADJ ADVINT ADJ de un NC PPAS , de un ADJ NCSENT de ce qui aller venir ."
6,1887_Bloy_Le-Desespere_A.txt,"J' ai déjà vu mourir et je sais que , demain , ce sera terrible .","je avoir déjà VCOG INF et je VCOG que , ADVT , ce être ADJ ."
7,1887_Bloy_Le-Desespere_A.txt,"Mais , en ce moment , rien ; les vagues de mon coeur sont immobiles .","mais , en ce NC , rien ; le NC de DETPOSS NCCOR être ADJ ."
8,1887_Bloy_Le-Desespere_A.txt,J' ai l' anesthésie d' un assommé .,je avoir le NCo de un NCmod .
9,1887_Bloy_Le-Desespere_A.txt,"Impossible de prier , impossible de pleurer , impossible de lire .","ADJ de NC , ADJ de INF , ADJ de INF ."
10,1887_Bloy_Le-Desespere_A.txt,"Je vous écris donc , puisqu' une âme livrée à son propre néant n' a d' autre ressource que l' imbécile gymnastique littéraire de le formuler .","je vous PRES donc , puisque un NCo PPAS à DETPOSS ADJ PPRES ne avoir un autre NCo que le NC ADJ ADJ de le NCmod ."
11,1887_Bloy_Le-Desespere_A.txt,"Je suis parricide , pourtant , telle est l' unique vision de mon esprit !","je être ADJ , pourtant , tel être le ADJ NC de DETPOSS NCmod !"
12,1887_Bloy_Le-Desespere_A.txt,"J' entends d' ici l' intolérable hoquet de cette agonie qui est véritablement mon oeuvre , — oeuvre de damné qui s' est imposée à moi avec le despotisme de le destin !","je VCOG de ADVLIEU le ADJ NC de ce NCmod qui être ADVINT DETPOSS NC , — NC de NCmod qui se être PPAS à soi avec le NC de le NCmod !"
13,1887_Bloy_Le-Desespere_A.txt,Ah !,INTJ !
14,1887_Bloy_Le-Desespere_A.txt,"le couteau eût mieux valu , sans doute , le rudimentaire couteau de le chourineur filial !","le NCs avoir mieux PPAS , sans NCSENT , le ADJ NCo de le NCmod ADJ !"
15,1887_Bloy_Le-Desespere_A.txt,"La mort , de le moins , eût été , pour mon père , sans préalables années de tortures , sans le renaissant espoir toujours déçu de mon retour à l' auge à cochons d' une sagesse bourgeoise ; je serais fixé sur la nature légalement ignominieuse d' une probable expiation ; enfin , je ne resterais pas avec cette hideuse incertitude d' avoir eu raison de passer sur le coeur de le malheureux homme pour me jeter à les réprobations et à les avanies démoniaques de la vie d' artiste .","le NC , de le moins , avoir être , pour DETPOSS NC , sans ADJ NCT de NCmod , sans le ADJ NCSENT ADVTEMPS VSENT de DETPOSS NC à le NCmod à NCmod de un NCmod NC ; je être PPAS sur le NC ADV ADJ de un ADJ NC ; PHASE , je ne VCOND pas avec ce ADJ NC de avoir avoir NCo de INF sur le NCCOR de le ADJ NCmod pour me INF à le NCSENT et à le NC ADJ de le NC de NCmod ."
