id,titre,phrase,motifs_phrase
1,Daudet/1888_Daudet_l'immortel_N.txt,"On lit dans le Dictionnaire de les Célébrités contemporaines , édition de , à l' article Astier-Réhu : « Astier , dit Astier-Réhu ( Pierre-Alexandre-Léonard ) , de l' Académie française , né en , à Sauvagnat ( Puy-de-Dôme ) chez d' humbles cultivateurs , montra dès son plus jeune âge de rares aptitudes pour l' histoire .","on PRES dans le NC de le NCmod ADJ , NC de , à le NCmod NP : "" NP , VDIC NP ( NP ) , de le NCmod ADJ , PPAS en , à NP ( NP ) chez un ADJ NC , VPS dès DETPOSS plus ADJ NC de ADJ NCmod pour le NCmod ."
2,Daudet/1888_Daudet_l'immortel_N.txt,"De solides études , comme on n' en fait plus maintenant , commencées à le collège de Riom , terminées à Louis-le-Grand où devait revenir plus tard professeur , lui ouvrirent toutes grandes les portes de l' École Normale supérieure .","un ADJ NC , comme on ne en faire plus ADVT , VASP à le NC de NP , VASP à NP où devoir INF plus tard NCo , lui VPS tout ADJ le NC de le NCmod ADJ ADJ ."
3,Daudet/1888_Daudet_l'immortel_N.txt,en sortit pour occuper la chaire d' histoire à le lycée de Mende ; c' est là que fut écrit l' Essai sur Marc-Aurèle ( couronné par l' Académie française ) .,en VPS pour INF le NCo de NCmod à le NC de NP ; ce être ADVLIEU que être PPAS le NP sur NP ( PPAS par le NC ADJ ) .
4,Daudet/1888_Daudet_l'immortel_N.txt,Appelé l' année suivante à Paris par .,PPAS le NCT ADJ à NP par .
5,Daudet/1888_Daudet_l'immortel_N.txt,"de Salvandy , le jeune et brillant professeur sut reconnaître l' intelligente faveur dont avait été l' objet en publiant coup sur coup : Les grands ministres de Louis ( couronné par l' Académie française ) , — Bonaparte et le Concordat ( couronné par l' Académie française ) , — et cette admirable Introduction à l' Histoire de la Maison d' Orléans , portique grandiose de l' œuvre à laquelle l' historien devait donner vingt ans de sa vie .","de NP , le ADJ et ADJ NCs PRES VCOG le ADJ NCo dont avoir être le NC en PPRES NCo sur NCmod : le ADJ NC de NP ( PPAS par le NC ADJ ) , — NP et le NP ( PPAS par le NC ADJ ) , — et ce ADJ NC à le NCmod de le NCmod de NP , ADJ NC de le NCmod à lequel le NCs devoir INF NUM NCT de DETPOSS NCmod ."
6,Daudet/1888_Daudet_l'immortel_N.txt,"Cette fois , l' Académie n' ayant plus de couronne à lui offrir , le fit asseoir parmi ses élus .","ce fois , le NC ne avoir plus de NC à lui INF , le faire INF parmi DETPOSS NC ."
7,Daudet/1888_Daudet_l'immortel_N.txt,"était déjà un peu de la maison , ayant épousé Mlle Réhu , fille de le regretté Paulin Réhu , le célèbre architecte , membre de l' Académie de les Inscriptions et Belles Lettres , petite-fille de le vénérable Jean Réhu , doyen de l' Académie française , l' élégant traducteur d' Ovide , l' auteur de les Lettres à Uranie , dont la verte vieillesse fait l' admiration de l' Institut .","être déjà un peu de le NC , avoir PPAS NP NP , NC de le NCmod NP NP , le ADJ NC , NC de le NCmod de le NCmod et ADJ NP , NC de le NCmod NP NP , NC de le NCmod ADJ , le PPRES NC de NP , le NC de le NP à NP , dont le ADJCOL NCs faire le NCSENT de le NCmod ."
8,Daudet/1888_Daudet_l'immortel_N.txt,"On sait avec quel noble désintéressement , appelé par .","on VCOG avec quel ADJ NC , PPAS par ."
9,Daudet/1888_Daudet_l'immortel_N.txt,"Thiers , son collègue et ami , à les fonctions d' archiviste de les Affaires étrangères , Léonard Astier-Réhu se démit de sa charge à le bout de quelques années ( ) , refusant de courber sa plume et l' impartialité de l' Histoire devant les exigences de nos gouvernants actuels .","NP , DETPOSS NC et NC , à le NC de NCmod de le NCmod ADJ , NP NP se VPS de DETPOSS NC à le NCmod de quelque NCT ( ) , PPRES de INF DETPOSS NCo et le NC de le NCmod ADVLIEU le NC de DETPOSS NCmod ADJ ."
10,Daudet/1888_Daudet_l'immortel_N.txt,"Mais , privé de ses chères archives , l' écrivain a su mettre ses loisirs à profit .","mais , ADJ de DETPOSS NC ADJ , le NCs avoir VCOG mettre DETPOSS NCo à NC ."
