id,titre,phrase,motifs_phrase
1,1890_Bourget_Un-Coeur-de-femme_A.txt,"À M. LE DOCTEUR ALBERT ROBIN MEMBRE DE L' ACADÉMIE DE MÉDECINE , comme un témoignage d' admiration pour le savant , de reconnaissance pour l' ami .","à monsieur NP NP NP NP NP de le NP NP NP , comme un NCmod de NCSENT pour le NCmod , de NC pour le NCmod ."
2,1890_Bourget_Un-Coeur-de-femme_A.txt,P. B. Juin 1890 .,NP NP NP NUM .
3,1890_Bourget_Un-Coeur-de-femme_A.txt,"I Par une bleue et claire après-midi de le mois de mars 1881 et vers les trois heures de relevée , une de les vingt « plus jolies femmes » de le Paris d' alors , — comme disent les journaux , — Mme la comtesse de Candale , fut la victime d' un accident aussi désagréable qu' il peut être dangereux et qu' il est vulgaire .","PPAS par un ADJCOL et ADJ NCT de le NCT de MOIS NUM et vers le NUM NCT de NCmod , un de le NUM "" plus ADJ NCmod "" de le NP de alors , — comme VDIC le NCo , — PRES le NCo de NP , être le NC de un NCmod aussi ADJ que il pouvoir être ADJ et que il être ADJ ."
4,1890_Bourget_Un-Coeur-de-femme_A.txt,"Comme son cocher tournait l' angle de l' avenue d' Antin pour gagner la descente de les Champs-Élysées , le cheval de le coupé prit peur , fit un écart et s' abattit en heurtant la voiture contre le trottoir si maladroitement que le brancard de gauche cassa net .","comme DETPOSS NCs VIMP le NCo de le NCmod de NP pour INF le NCo de le NP , le NC de le NCmod VPS NCSENT , faire un NCo et se VPS en VSENT le NCo contre le NCmod si ADV que le NC de ADJ NCmod ADJ ."
5,1890_Bourget_Un-Coeur-de-femme_A.txt,La comtesse en fut quitte pour une forte secousse et quelques secondes d' un subit saisissement nerveux .,le NCs en être ADJ pour un fort NC et quelque NCT de un NCmod NCSENT ADJ .
6,1890_Bourget_Un-Coeur-de-femme_A.txt,"Mais toutes les combinaisons de sa journée se trouvaient bousculées de le coup ; or la liste en était longue , à juger par l' ardoise blanche encadrée de cuir et placée sur le devant de la voiture avec la petite pendule et le portefeuille à les cartes de visite .","mais tout le NCs de DETPOSS NCT se VIMP NC de le NCmod ; NCs le NC en être ADJ , à INF par le NC ADJCOL PPAS de NC et PPAS sur le ADVLIEU de le NCmod avec le ADJ NC et le NC à le NCmod de NCmod ."
7,1890_Bourget_Un-Coeur-de-femme_A.txt,"Aussi le joli visage de la jeune femme , ce mince visage à les traits délicats , à le profil ténu , à les frais yeux bleus et qu' éclairait une si chaude nuance de cheveux blonds , exprimait -il une contrariété voisine de la colère tandis qu' elle descendait de son coupé à le milieu d' une foule déjà compacte .","aussi le ADJ NCCOR de le ADJ NCmod , ce NC NCCOR à le NCmod ADJ , à le NCmod ADJ , à le ADJ NCCOR ADJCOL et que VIMP un si ADJ NCs de NCCOR ADJCOL , VIMP il un NCSENT ADJ de le NCSENT PHASE que il VIMP de DETPOSS NC à le milieu de un NCmod déjà ADJ ."
8,1890_Bourget_Un-Coeur-de-femme_A.txt,"La curiosité générale dont elle se vit l' objet acheva de la mettre en méchante humeur , et ce fut avec une voix très dure , elle si juste d' ordinaire , si indulgente même pour ses gens , qu' elle dit à le valet de pied : — « François , aussitôt que le cheval sera debout , vous laisserez ce maladroit d' Aimé se débrouiller tout seul … Vous irez à le cercle de la rue Royale .","le NCSENT ADJ dont il se PRES le NCo VASP de le mettre en ADJ NC , et ce être avec un NCMAN très ADJ , il si ADV de NC , si ADJ même pour DETPOSS NC , que il VDIC à le NC de NCCOR : — "" NP , aussitôt que le NCs être ADV , vous laisser ce NCo de NP se INF tout ADJ … vous PRES à le NC de le NCmod ADJ ."
9,1890_Bourget_Un-Coeur-de-femme_A.txt,Il me faut une voiture avant une demi-heure chez Mme de Tillières .,il me PRES un NCo PHASE un NCmod chez madame de NP .
10,1890_Bourget_Un-Coeur-de-femme_A.txt,"» Et elle s' achemina , de son pied chaussé de bottines presque trop fines pour la moindre marche , vers la rue Matignon , où habitait l' amie dont elle venait de jeter le nom à le pauvre François .",""" et il se VPS , de DETPOSS NCCOR PPAS de NC presque trop ADJ pour le ADJ NC , vers le NC NP , où VIMP le NCs dont il venir de INF le NCo à le ADJ NP ."
11,1890_Bourget_Un-Coeur-de-femme_A.txt,"Ce dernier , un grand garçon tout penaud dans sa longue livrée brune , pâle encore de l' effroi que lui avait causé la chute de le cheval , n' avait pas fini de répondre : — « Oui , madame la comtesse , » que déjà son camarade , dégringolé de le siège et rouge , lui , d' humiliation , le gourmandait sur sa gaucherie à l' aider .","ce NC , un ADJ NCs tout PRES dans DETPOSS ADJ NC ADJ , ADJ encore de le NCmod que lui avoir PPAS le NCo de le NCmod , ne avoir pas PPAS de VDIC : — "" oui , NC le NC , "" que déjà DETPOSS NC , PPAS de le NC et ADJCOL , lui , de NCSENT , le NC sur DETPOSS NCmod à le INF ."
12,1890_Bourget_Un-Coeur-de-femme_A.txt,Mais Mme de Candale avait fendu la masse de les curieux .,mais madame de NP avoir PPAS le NCo de le NCmod .
13,1890_Bourget_Un-Coeur-de-femme_A.txt,Elle ne songeait plus qu' à le bouleversement de son après-midi .,il ne VIMP plus que à le NC de DETPOSS NCT .
14,1890_Bourget_Un-Coeur-de-femme_A.txt,"— « Oui , le maladroit !","— "" oui , le NCs !"
15,1890_Bourget_Un-Coeur-de-femme_A.txt,"» se disait -elle , « il faut que cela m' arrive le jour où je suis le plus pressée … Pourvu encore que Juliette soit chez elle ?",""" se VDIC il , "" il PRES que cela lui PRES le NCT où je être le plus ADJ … pourvoir encore que NP être chez il ?"
16,1890_Bourget_Un-Coeur-de-femme_A.txt,"… Si elle n' est pas là , tant pis , j' attendrai chez sa mère … Je voudrais pourtant bien la trouver … Il y a une semaine tantôt que nous ne nous sommes vues .","… si il ne être pas ADVLIEU , tant ADJ , je VF chez DETPOSS NC … je vouloir pourtant bien le INF … il y avoir un NCo ADV que nous ne nous être NC ."
17,1890_Bourget_Un-Coeur-de-femme_A.txt,"À Paris , on n' a le temps de rien … » Tout en se tenant ce discours intérieur , elle allait , portant haut sa petite tête coiffée d' une délicieuse capote de couleur mauve , sa souple taille dessinée dans un long manteau gris presque ajusté avec une bordure de plumes de la même nuance .","à NP , on ne avoir le temps de rien … "" tout en se PPRES ce NCo ADJ , il aller , PPRES ADJ DETPOSS ADJ NCCOR PPAS de un ADJ NC de NCmod ADJ , DETPOSS ADJ NCo PPAS dans un ADJ NC ADJCOL presque PPAS avec un NC de NCmod de le même NCmod ."
18,1890_Bourget_Un-Coeur-de-femme_A.txt,"Elle allait , regardée par les passants , de ce regard où une femme peut lire , dans sa jeunesse le triomphe , dans sa vieillesse la défaite de sa beauté .","il aller , VCOG par le NC , de ce NCMAN où un NCs pouvoir INF , dans DETPOSS NC le NC , dans DETPOSS NCmod le NC de DETPOSS NCmod ."
19,1890_Bourget_Un-Coeur-de-femme_A.txt,"Quand la promeneuse a cet air « grande dame » qu' avait Gabrielle de Candale et qui , même aujourd'hui , ne s' imite pas , c' est toute une comédie de la part de celui qui croise cette femme .","quand le NCs avoir ce NCMAN "" ADJ NC "" que avoir NP de NP et qui , même ADVT , ne se PRES pas , ce être tout un NC de le NCmod de celui qui PRES ce NCo ."
