id,titre,phrase,motifs_phrase
1,Daudet/1884_Daudet_sapho_N.txt,"Table de les matières — Regardez -moi , voyons ... J' aime la couleur de vos yeux ... Comment vous appelez -vous ?","ADJ de le NC — IMP soi , VCOG ... je VSENT le NCo de DETPOSS NCCOR ... comment vous PRES vous ?"
2,Daudet/1884_Daudet_sapho_N.txt,— Jean .,— NP .
3,Daudet/1884_Daudet_sapho_N.txt,— Jean tout court ?,— NP tout ADJ ?
4,Daudet/1884_Daudet_sapho_N.txt,— Jean Gaussin .,— NP NP .
5,Daudet/1884_Daudet_sapho_N.txt,"— De le , j' entends ça ... Quel âge ?","— de le , je VCOG ça ... quel NC ?"
6,Daudet/1884_Daudet_sapho_N.txt,— Vingt et un ans .,— NP et un NCT .
7,Daudet/1884_Daudet_sapho_N.txt,— Artiste ?,— NC ?
8,Daudet/1884_Daudet_sapho_N.txt,"— Non , madame .","— non , madame ."
9,Daudet/1884_Daudet_sapho_N.txt,— Ah !,— INTJ !
10,Daudet/1884_Daudet_sapho_N.txt,"tant mieux ... Ces bouts de phrases , presque inintelligibles à le milieu de les cris , de les rires , de les airs de danse d' une fête travestie , s' échangeaient — une nuit de juin — entre un pifferaro et une femme fellah dans la serre de palmiers , de fougères arborescentes , qui faisait le fond de l' atelier de Déchelette .","tant mieux ... ce NCs de NCmod , presque ADJ à le milieu de le NCmod , de le NCMAN , de le NCMAN de NCmod de un NCmod ADJ , se VIMP — un NCT de MOIS — entre un NC et un NC ADJ dans le NC de NCmod , de NC ADJ , qui faire le NCo de le NCmod de NP ."
11,Daudet/1884_Daudet_sapho_N.txt,"À le pressant interrogatoire de l' Égyptienne , le pifferaro répondait avec l' ingénuité de son âge tendre , l' abandon , le soulagement d' un Méridional resté longtemps sans parler .","à le ADJ NC de le NP , le NCs VDIC avec le NC de DETPOSS NCmod INF , le NC , le NCSENT de un NCmod PPAS longtemps sans INF ."
12,Daudet/1884_Daudet_sapho_N.txt,"Étranger à tout ce monde de peintres , de sculpteurs , perdu dès en entrant dans le bal par l' ami qui l' avait amené , se morfondait depuis deux heures , promenant sa jolie figure de blond hâlé et doré par le soleil , les cheveux en frisons serrés et courts comme la peau de mouton de son costume ; et un succès , dont ne se doutait guère , se levait et chuchotait autour de lui .","INF à tout ce NC de NCmod , de NC , PPAS dès en PPRES dans le NC par le NC qui le avoir PPAS , se VIMP depuis NUM NCT , PPRES DETPOSS ADJ NCCOR de ADJCOL PPAS et PPAS par le NC , le NCCOR en NCmod ADJ et ADJ comme le NCCOR de NCmod de DETPOSS NCmod ; et un NCs , dont ne se VIMP guère , se VIMP et VDIC ADV de lui ."
13,Daudet/1884_Daudet_sapho_N.txt,"De les épaules de danseurs le bousculaient brusquement , de les rires de rapins blaguaient la cornemuse qu ' portait tout de travers et sa défroque de montagne , lourde et gênante dans cette nuit d' été .","de le NCCOR de NCmod le NCmod ADV , de le NCMAN de NCmod VIMP le NCo que ' VIMP tout de travers et DETPOSS NC de NCmod , ADJ et ADJ dans ce NCT de NCmod ."
14,Daudet/1884_Daudet_sapho_N.txt,"Une Japonaise à les yeux de faubourg , de les couteaux d' acier tenant son chignon remonté , fredonnait en l' agaçant : Ah !","un NP à le NCCOR de NCmod , de le NCmod de NCmod PPRES DETPOSS NCo VSENT , VIMP en le VSENT : INTJ !"
15,Daudet/1884_Daudet_sapho_N.txt,"qu ' est beau , qu ' est beau , le postillon ... ; tandis qu' une novio espagnole en blanches dentelles de soie , passant à le bras d' un chef apache , lui fourrait violemment sous le nez son bouquet de jasmins blancs .","que ' être ADJ , que ' être ADJ , le NC ... ; PHASE que un NCs ADJ en ADJCOL NCmod de NCmod , PPRES à le NCCOR de un NCmod ADJ , lui VCOND ADVMAN sous le NCCOR DETPOSS NCo de NCmod ADJCOL ."
16,Daudet/1884_Daudet_sapho_N.txt,"ne comprenait rien à ces avances , se croyait extrêmement ridicule et se réfugiait dans l' ombre fraîche de la galerie vitrée , bordée d' un large divan sous les verdures .","ne VCOG rien à ce NCmod , se VCOG ADVINT ADJ et se VIMP dans le NC ADJ de le NCmod PPAS , PPAS de un ADJ NC sous le NCmod ."
17,Daudet/1884_Daudet_sapho_N.txt,Tout de suite cette femme était venue s' asseoir près de lui .,tout de NC ce NCs être venir se INF ADVLIEU de lui .
18,Daudet/1884_Daudet_sapho_N.txt,"Jeune , belle ?","ADJ , ADJ ?"
19,Daudet/1884_Daudet_sapho_N.txt,"n' aurait su le dire ... De le long fourreau de lainage bleu où sa taille pleine ondulait , sortaient deux bras , ronds et fins , nus jusqu' à l' épaule ; et ses petites mains chargées de bagues , ses yeux gris larges ouverts et grandis par les bizarres ornements de fer lui tombant de le front , composaient un ensemble harmonieux .","ne avoir VCOG le VDIC ... de le ADJ NC de NCmod ADJCOL où DETPOSS NCs ADJ VIMP , VIMP NUM NCCOR , NC et NC , ADJ jusque à le NCCOR ; et DETPOSS ADJ NCCOR PPAS de NC , DETPOSS NCCOR ADJCOL ADJ ADJ et ADV par le ADJ NCmod de NCmod lui PPRES de le NCCOR , VIMP un ensemble ADJ ."
20,Daudet/1884_Daudet_sapho_N.txt,"Une actrice , sans doute .","un NC , sans NCSENT ."
21,Daudet/1884_Daudet_sapho_N.txt,"en venait beaucoup chez Déchelette ; et cette pensée n' était pas pour le mettre à l' aise , ce genre de personnes lui faisant très peur .","en venir beaucoup chez NP ; et ce NCs ne être pas pour le mettre à le NC , ce NC de NCmod lui faire très NCSENT ."
22,Daudet/1884_Daudet_sapho_N.txt,"Elle lui parlait de tout près , un coude à le genou , la tête appuyée sur la main , avec une douceur grave , un peu lasse ... « De le vraiment ?","il lui VIMP de tout ADVLIEU , un NCCOR à le NCCOR , le NCCOR PPAS sur le NCCOR , avec un NCmod ADJ , un peu NC ... "" de le ADVINT ?"
23,Daudet/1884_Daudet_sapho_N.txt,... Et de les cheveux de ce blond -là !,... et de le NCCOR de ce ADJCOL ADVLIEU !
24,Daudet/1884_Daudet_sapho_N.txt,... Voilà une chose extraordinaire .,... voilà un chose ADJ .
25,Daudet/1884_Daudet_sapho_N.txt,"» Et elle voulait savoir depuis combien de temps habitait Paris , si c' était très difficile cet examen pour les consulats qu ' préparait , s ' connaissait beaucoup de monde et comment se trouvait à la soirée de Déchelette , rue de Rome , si loin de son quartier Latin .",""" et il vouloir VCOG depuis combien de temps VIMP NP , si ce être très ADJ ce NCs pour le NCmod que ' VIMP , s ' VIMP beaucoup de NC et comment se VIMP à le NCT de NP , NC de NP , si ADVLIEU de DETPOSS NC ADJ ."
26,Daudet/1884_Daudet_sapho_N.txt,"Quand dit le nom de l' étudiant qui l' avait amené ... « La Gournerie ... un parent de l' écrivain ... elle connaissait sans doute ... » l' expression de ce visage de femme changea , s' assombrit subitement ; mais n' y prit pas garde , ayant l' âge où les yeux brillent sans rien voir .","quand VDIC le NCs de le NCmod qui le avoir PPAS ... "" le NP ... un NC de le NCmod ... il VIMP sans NCSENT ... "" le NCs de ce NCCOR de NCmod VPS , se VSENT ADV ; mais ne y VPS pas NCo , avoir le NCo où le NCCOR PRES sans rien VCOG ."
27,Daudet/1884_Daudet_sapho_N.txt,"La Gournerie lui avait promis que son cousin serait là , qu ' le présenterait .","le NP lui avoir PPAS que DETPOSS NCs être ADVLIEU , que ' le NC ."
28,Daudet/1884_Daudet_sapho_N.txt,"« J' aime tant ses vers ... je serais si heureux de le connaître ... » Elle eut un sourire de pitié pour sa candeur , un joli resserrement d' épaules , en même temps qu' elle écartait de sa main les feuilles légères d' un bambou et regardait dans le bal si elle ne lui découvrirait pas son grand homme .",""" je VSENT tant DETPOSS NCo ... je être si ADJ de le INF ... "" il avoir un NCMAN de VSENT pour DETPOSS NC , un ADJ NC de NCCOR , en même temps que il VIMP de DETPOSS NCCOR le NCo ADJ de un NCmod et VCOG dans le NC si il ne lui VCOG pas DETPOSS ADJ NCo ."
29,Daudet/1884_Daudet_sapho_N.txt,La fête à ce moment étincelait et roulait comme une apothéose de féerie .,le NCs à ce NCmod VIMP et VIMP comme un NC de NCmod .
