id,titre,phrase,motifs_phrase
1,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Mon cher Paul Bourget , Je veux mettre votre nom à la tête de cette Histoire sans nom , et vous offrir cette pierre , de couleur sombre , qui vous intéressait pendant que je la gravais .","DETPOSS NC NP NP , je vouloir mettre DETPOSS NCo à le NCCOR de ce NCmod sans NC , et vous INF ce NCo , de NC ADJ , qui vous VSENT PHASE que je le VIMP ."
2,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,Que ce soit là un monument … oh !,que ce être ADVLIEU un NC … INTJ !
3,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"un très petit monument , mais d' une chose très grande – mon amitié pour vous .","un très ADJ NC , mais de un chose très ADJ – DETPOSS NC pour vous ."
4,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Vous qui avez un nom fleurissant déjà dans la jeune littérature contemporaine et y promettant de les épanouissements délicieux , je l' attache à ce récit mélancolique , comme la rose qu' on met parfois , quand on va dans le monde , à la boutonnière de son habit noir .","vous qui avoir un NCo PPRES déjà dans le ADJ NC ADJ et y PPRES de le NCSENT ADJ , je le NC à ce NCmod ADJ , comme le ADJCOL que on mettre ADVTEMPS , quand on aller dans le NC , à le NC de DETPOSS NCmod ADJ ."
5,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Mon livre , puisque je le publie , va s' en aller dans le monde aussi , et je l' ai paré avec vous .","DETPOSS NCs , puisque je le PRES , aller se en aller dans le NC aussi , et je le avoir PPAS avec vous ."
6,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,Jules Barbey d' Aurevilly .,NP NP de NP .
7,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,2 juillet 1882 .,NUM MOIS NUM .
8,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"I Dans les dernières années de le XVIIIe siècle qui précédèrent la Révolution française , à le pied de les Cévennes , dans une petite bourgade de le Forez , un capucin prêchait entre vêpres et complies .","NUM dans le ADJ NCT de le ADJ NCT qui VPS le NCo ADJ , à le NCCOR de le NP , dans un ADJ NCmod de le NP , un NCs VIMP entre NC et NC ."
9,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,On était à le premier dimanche de le Carême .,on être à le ADJ ADVT de le NP .
10,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Le jour s' en venait bas dans l' église , assombrie encore par l' ombre de les montagnes qui entourent et même étreignent cette singulière bourgade , et qui , en s' élevant brusquement à le pied de ses dernières maisons , semblent les parois d' un calice à le fond de lequel elle aurait été déposée .","le NCT se en venir ADJ dans le NC , PRES encore par le NC de le NCmod qui PRES et même PRES ce ADJ NCo , et qui , en se PPRES ADV à le NCCOR de DETPOSS ADJ NCmod , sembler le NCo de un NCmod à le NC de lequel il avoir être PPAS ."
11,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"À ce détail original , on l' aura peut-être reconnue … Ces montagnes dessinaient un cône renversé .","à ce NC ADJ , on le avoir peut-être VCOG … ce NCs VIMP un NCo PPAS ."
12,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"On descendait dans cette petite bourgade par un chemin à pic , quoique circulaire , qui se tordait comme un tire-bouchon sur lui-même et formait au-dessus d' elle comme plusieurs balcons , suspendus à divers étages .","on VIMP dans ce ADJ NC par un NC à NCmod , quoique ADJ , qui se VIMP comme un NC sur soi-même et VIMP ADVLIEU de il comme plusieurs NC , PPAS à divers NC ."
13,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Ceux qui vivaient dans cet abîme devaient certainement éprouver quelque chose de la sensation angoissée d' une pauvre mouche tombée dans la profondeur immense pour elle – d' un verre vide , et qui , les ailes mouillées , ne peut plus sortir de ce gouffre de cristal .","celui qui VIMP dans ce NC devoir ADVINT VSENT quelque chose de le NCSENT VSENT de un ADJ NCmod PPAS dans le NC ADJ pour il – de un NC ADJ , et qui , le NCs PPAS , ne pouvoir plus INF de ce NC de NCmod ."
14,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Rien de plus triste que cette bourgade , malgré le vert d' émeraude de sa ceinture de montagnes boisées et les eaux courantes qui en ruissellent de toutes parts , charriant de les masses de truites dans leurs bouillons d' argent .","rien de plus ADJ que ce NC , malgré le ADJCOL de ADJCOL de DETPOSS NCmod de NCmod ADJ et le NC ADJ qui en PRES de tout NC , PPRES de le NC de NCmod dans DETPOSS NCmod de NCmod ."
15,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Il y en a tant qu' on pourrait les prendre avec la main … La Providence a voulu que , pour les raisons les plus hautes , l' homme aimât la terre où il est né , comme il aime sa mère , fût -elle indigne de son amour .","il y en avoir tant que on pouvoir le INF avec le NCCOR … le NP avoir vouloir que , pour le NC le plus ADJ , le NCs VSENT le NCo où il être PPAS , comme il VSENT DETPOSS NCo , être il VSENT de DETPOSS NCSENT ."
16,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Sans cela , on ne comprendrait guère que de les hommes à large poitrine , ayant besoin de dilatation à le grand air , d' horizon et d' espace , pussent rester claquemurés dans cet étroit ovale de montagnes , qui semblent se marcher sur les pieds tant elles sont pressées les unes contre les autres !","sans cela , on ne VCOG guère que de le NC à ADJ NCmod , avoir NCo de NCmod à le ADJ NCMAN , de NC et de NC , pur INF PPAS dans ce ADJ NC de NCmod , qui sembler se INF sur le NCCOR tant il être PPAS le NCo contre le autre !"
17,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"sans monter plus haut pour respirer ; et l' on pense involontairement à les mineurs qui vivent sous la terre , ou à ces anciens captifs de les cloîtres qui priaient pendant de les années , engloutis dans de ténébreuses oubliettes .","sans INF plus ADJ pour INF ; et l' on VCOG ADV à le NC qui PRES sous le NC , ou à ce ADJ NC de le NCmod qui VIMP PHASE un le NCT , PPAS dans un ADJ NC ."
18,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Pour mon compte , j' ai vécu là vingt-huit jours à l' état de Titan écrasé , sous l' impression physiquement pesante de ces insupportables montagnes ; et , quand j' y pense , il me semble que j' en sens toujours le poids sur mon cœur .","pour DETPOSS NC , je avoir PPAS ADVLIEU NUM NCT à le NCmod de NP PPAS , sous le NCmod ADV ADJ de ce ADJ NCmod ; et , quand je y VCOG , il me sembler que je en NCmod ADVTEMPS le NC sur DETPOSS NCmod ."
19,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Noire déjà par le fait de le temps , car les maisons y sont anciennes , cette bourgade , qu' on dirait un dessin à l' encre de Chine et où la Féodalité a laissé quelques ruines , se noircit encore – noir sur noir – de l' ombre perpendiculaire de les monts qui l' enveloppent , comme de les murs de forteresse que le soleil n' escalade jamais .","Noire déjà par le NC de le temps , car le NCs y être ADJ , ce NCs , que on VDIC un NCs à le NCmod de NP et où le NCs avoir laisser quelque NCo , se VPS encore – ADJ sur ADJ – de le NC ADJ de le NCmod qui le PRES , comme de le NC de NCmod que le NCs ne PRES ADVTEMPS ."
20,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,Ils sont trop escarpés pour qu' il puisse passer par-dessus et lancer dans le trou qu' ils font un bout de rayon .,il être trop PPAS pour que il pouvoir INF ADV et INF dans le NC que il faire un NC de NCmod .
21,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Quelquefois , à midi , il n' y fait pas jour .","ADVTEMPS , à NC , il ne y faire pas NCT ."
22,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,Byron aurait écrit là sa Darkness .,NP avoir PPAS ADVLIEU DETPOSS NP .
23,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Rembrandt y aurait mis ses clairs-obscurs , ou , plutôt , il les y aurait trouvés .","NP y avoir mettre DETPOSS NCo , ou , plutôt , il le y avoir PPAS ."
24,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"L' été , quand le jour est beau , les habitants s' en doutent peut-être en regardant la lucarne bleue qu' ils ont à mille pieds au-dessus de leurs têtes .","le NC , quand le NCT être ADJ , le NCs se en PRES peut-être en VCOG le NCo ADJCOL que il avoir à NUM NCCOR ADVLIEU de DETPOSS NCCOR ."
25,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Mais , ce jour -là , la lucarne n' avait pas de bleu .","mais , ce NCT ADVLIEU , le NCs ne avoir pas un ADJCOL ."
26,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,Elle était grise .,il être ADJ .
27,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,Les nuages appesantis la fermaient comme un cercle de fer .,le NCs PPAS le VIMP comme un NC de NCmod .
28,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,La bouteille avait son bouchon .,le NCs avoir DETPOSS NCo .
29,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"En ce moment , toute la population de la bourgade était à l' église , – une église austère de le XIIIe siècle , où de les yeux de lynx , s' il y en avait eu , n' auraient pu lire leurs vêpres , dans ce chien et loup d' un soir d' hiver , mais où il y avait encore plus de loup que de chien .","en ce NC , tout le NCs de le NCmod être à le NC , – un NC ADJ de le ADJ NCT , où de le NCCOR de NCmod , si il y en avoir avoir , ne avoir pouvoir INF DETPOSS NCo , dans ce NC et NC de un NCT de NCmod , mais où il y avoir encore plus de NC que de NC ."
30,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Les cierges , selon l' usage , avaient été éteints à le commencement de le sermon , et la foule , pressée comme de les tuiles sur les toits , n' était pas plus visible à le prédicateur que lui , détaché d' elle et plus élevé qu' elle dans sa chaire , ne lui était visible de là-haut .","le NCspas , selon le NCmod , avoir être PPAS à le NC de le NCmod , et le NC , PPAS comme de le NC sur le NCmod , ne être pas plus ADJ à le NC que lui , PPAS de il et plus ADJ que il dans DETPOSS NC , ne lui être ADJ de ADVLIEU ."
31,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,": Seulement , si on ne le voyait pas très bien , on l' entendait .",": seulement , si on ne le VCOG pas très bien , on le VCOG ."
32,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"« Les capucins ne nasillent qu' à le chœur » , disait l' ancien proverbe .",""" le NCs ne PRES que à le NC "" , VDIC le ADJ NCs ."
33,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,La voix de celui-ci était vibrante et d' un timbre fait pour annoncer les vérités les plus terribles de la religion .,le NCMAN de celui-ci être ADJ et de un NC faire pour VDIC le NCo le plus ADJ de le NCmod .
34,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Et , ce jour -là , il les annonçait .","et , ce NCT ADVLIEU , il le VDIC ."
35,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,Il prêchait sur l' Enfer .,il VIMP sur le NP .
36,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Tout , dans cette église sévère de style et où la nuit entrait lentement , vague par vague , plus profonde de minute en minute , donnait un très grand caractère à la parole de ce prédicateur .","tout , dans ce NCmod ADJ de NCmod et où le NCT VIMP ADV , NC par NCmod , plus ADJ de NCT en NCT , VIMP un très ADJ NCo à le NC de ce NCmod ."
37,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,"Les statues de les saints , alors voilées sous les draperies dont on les couvre pendant le Carême , ressemblaient à de mystérieux et blancs fantômes , immobiles le long de leurs murs blancs , et le prédicateur , dont la silhouette indistincte s' agitait sur le blanc pilier contre lequel la chaire était adossée , en semblait un autre .","le NCs de le NCmod , alors PPAS sous le NC dont on le PRES PHASE le NP , VIMP à un ADJ et ADJCOL NC , ADJ le NC de DETPOSS NCmod ADJCOL , et le NC , dont le NCs ADJ se VIMP sur le ADJCOL NC contre lequel le NCs être ADJ , en sembler un autre ."
38,1881_Barbey-d-Aurevilly_Une-histoire-sans-nom_A.txt,On eût dit un fantôme prêchant de les fantômes .,on avoir VDIC un NCo ADJ de le NCmod .
