id,titre,phrase,motifs_phrase
1,1883_Bonnetain_Charlot-s'amuse_N.txt,"Paul Bonnetain Charlot s' amuse ... I LA pluie tombait toujours , inplacablement monotone , noyant dans une navrante tristesse l' angle noir de le faubourg et de la rue de les Ecluses-Saint-Martin .","NP NP NP se VSENT ... NUM le NCs VIMP ADVTEMPS , ADV ADJ , PPRES dans un ADJ NCSENT le NC ADJ de le NCmod et de le NC de le NP ."
2,1883_Bonnetain_Charlot-s'amuse_N.txt,"Blotti sous une porte cochère Charlot grelottait , silencieux et terrassé par un invincible besoin de sommeil .","PPAS sous un NC ADJ NP VIMP , ADJ et PPAS par un ADJ NC de NCmod ."
3,1883_Bonnetain_Charlot-s'amuse_N.txt,"Parfois , sa tète glissait hors de la limousine , s' abandonnant tout endormie , et , de minute en minute , l' enfant avait , sous l' éclaboussement froid de la gouttière , un réveil douloureux et glacé .","ADVTEMPS , DETPOSS NCs VIMP ADV de le NC , se PPRES tout PRES , et , de NCT en NCT , le NCs avoir , sous le NC ADJ de le NCmod , un NCo ADJ et ADJ ."
4,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il cherchait alors , sur la chaussée ruisselante , le regard de l' égout qui trouait les pavés d' un grand rond très sombre .","il VIMP alors , sur le NC ADJ , le NCMAN de le NCmod qui VIMP le NCo de un ADJ NCmod très ADJ ."
5,1883_Bonnetain_Charlot-s'amuse_N.txt,"Un falot vacillait à côté , pendu à une échelle .","un NCs VIMP à NC , PPAS à un NC ."
6,1883_Bonnetain_Charlot-s'amuse_N.txt,"Tout près , de les ombres encapuchonnées s' effaçaient , ne livrant à les mourantes lueurs de la lanterne que leurs grandes bottes luisantes .","tout ADVLIEU , de le NCs ADJ se VIMP , ne PPRES à le ADJ NC de le NCmod que DETPOSS ADJ NCmod ADJ ."
7,1883_Bonnetain_Charlot-s'amuse_N.txt,"Et le gamin , secouant son envie de dormir , sanglotait : « Papa !","et le NCs , PPRES DETPOSS NCo de INF , VIMP : "" NP !"
8,1883_Bonnetain_Charlot-s'amuse_N.txt,", papa !",", NC !"
9,1883_Bonnetain_Charlot-s'amuse_N.txt,"» , puis retombait , immobile , contre son encoignure , ne sentant même pas , dans sa fatigue somnolente , descendre lentement les larmes sur sa joue .",""" , puis VIMP , ADJ , contre DETPOSS NC , ne sentir même pas , dans DETPOSS NCSENT ADJ , INF ADV le NCo sur DETPOSS NCCOR ."
10,1883_Bonnetain_Charlot-s'amuse_N.txt,Deux heures sonnèrent à l' église Saint-Laurent .,NUM NCT VPS à le NC NP .
11,1883_Bonnetain_Charlot-s'amuse_N.txt,"Les deux coups sonores furent comme un réveil , et leurs trépidations vibraient toujours , quand un grand roulement secoua le quartier .","le NUM NCs ADJ être comme un NC , et DETPOSS NCs VIMP ADVTEMPS , quand un ADJ NCs VPS le NCo ."
12,1883_Bonnetain_Charlot-s'amuse_N.txt,"Pendant un instant , à le grand trot , de lourdes voitures de vidange remontèrent le faubourg , avec un grand claquement de fouets et un long remuement de ferrailles .","PHASE un NC , à le ADJ NC , un ADJ NCs de NCmod VSENT le NCo , avec un ADJ NC de NCmod et un ADJ NC de NCmod ."
13,1883_Bonnetain_Charlot-s'amuse_N.txt,"Derrière , la locomobile filait , allumant à le passage ses cuivres à chaque bec de gaz , et panachant sa cheminée d' une aigrette de flammes violettes .","ADVLIEU , le NCs VIMP , PPRES à le NC DETPOSS NC à chaque NCmod de NCmod , et PPRES DETPOSS NCo de un NCmod de NCmod ADJ ."
14,1883_Bonnetain_Charlot-s'amuse_N.txt,"Puis , tandis que , de la gare de l' Est , de les coups de sifflet , stridents parfois , plus souvent longuement et mélancoliquement modulés , s' envolaient confondus , un groupe d' hommes s' approcha de les égoutiers .","puis , PHASE que , de le NC de le NP , de le NC de NCmod , NCs ADVTEMPS , plus ADVTEMPS ADV et ADVMAN PPAS , se VIMP ADJ , un NCo de NCmod se VPS de le NC ."
15,1883_Bonnetain_Charlot-s'amuse_N.txt,"Quand ils furent près de la lanterne , Charlot reconnut le commissaire de police et le sergent de les pompiers .","quand il être ADVLIEU de le NC , NP VCOG le NCo de NCmod et le NC de le NCmod ."
16,1883_Bonnetain_Charlot-s'amuse_N.txt,"L' équipe les entourait , et le gamin , le cœur subitement étreint , cherchait machinalement à comprendre les gestes de ces ombres , devinant à un moment qu' on parlait de lui .","le NCs le VIMP , et le NC , le NC ADV ADJ , VIMP ADV à VCOG le NCo de ce NCmod , VCOG à un NC que on VIMP de lui ."
17,1883_Bonnetain_Charlot-s'amuse_N.txt,"Bientôt , les nouveaux venus s' éloignèrent .","bientôt , le ADJ NCs se VPS ."
18,1883_Bonnetain_Charlot-s'amuse_N.txt,"Le bruit de leurs pas s' était effacé déjà dans la nuit , et les compagnons immobiles restaient autour de le regard , semblant se consulter entre eux .","le NCs de DETPOSS pas se être PPAS déjà dans le NCT , et le NCs ADJ VIMP ADV de le NCMAN , sembler se INF entre eux ."
19,1883_Bonnetain_Charlot-s'amuse_N.txt,Charlot s' était réveillé tout à fait .,NP se être PPAS tout à NC .
20,1883_Bonnetain_Charlot-s'amuse_N.txt,"Ses larmes maintenant avaient cessé de couler , et une lancinante anxiété , une affre douloureuse , le tenaient cloué contre la porte , dans le cruel pressentiment d' un malheur désormais certain .","DETPOSS NCs ADVT avoir VASP de INF , et un ADJ NCSENT , un NC ADJ , le tenir PPAS contre le NC , dans le ADJ NCSENT de un NCmod ADV ADJ ."
21,1883_Bonnetain_Charlot-s'amuse_N.txt,"Son pouls , soudain , cessa de battre , et il murmura , prêt à tomber , un dernier « Papa !","DETPOSS NCs , soudain , VASP de INF , et il VF , ADJ à INF , un NC "" NP !"
22,1883_Bonnetain_Charlot-s'amuse_N.txt,... » désespéré .,"... "" VSENT ."
23,1883_Bonnetain_Charlot-s'amuse_N.txt,"Le vieux Rémy , le chef de l' équipe , s' avançait , hésitant , les larges semelles de ses grosses bottes faisant à chaque pas , dans les flaques invisibles et clapotantes , jaillir de longues éclaboussures .","le ADJ NP , le NC de le NCmod , se VIMP , PPRES , le NCs ADJ de DETPOSS ADJ NCmod faire à chaque pas , dans le NC ADJ et ADJ , INF de ADJ NCo ."
24,1883_Bonnetain_Charlot-s'amuse_N.txt,— Petit !,— ADJ !
25,1883_Bonnetain_Charlot-s'amuse_N.txt,"dit le patron , nous allons rentrer ... Ta mère doit se manger les sangs ... Charlot ne répondit pas .","VDIC le NCo , nous aller INF ... NP NC devoir se INF le NCCOR ... NP ne VDIC pas ."
26,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il avait rejeté la limousine , qu' un ouvrier , pris de pitié , lui avait jetée sur les épaules , il avait quitté l' encoignure de le porche , et sa figure blême apparaissait à présent si blanche qu' elle se détachait presque en clair sur l' ombre de le mur .","il avoir PPAS le NCo , que un NCs , PPAS de VSENT , lui avoir PPAS sur le NCCOR , il avoir PPAS le NCo de le NCmod , et DETPOSS NCCOR ADJ VIMP à NC si ADJCOL que il se VIMP presque en NC sur le NC de le NCmod ."
27,1883_Bonnetain_Charlot-s'amuse_N.txt,"De le doigt , il montrait l' échelle et la lanterne .","de le NCCOR , il VIMP le NCo et le NC ."
28,1883_Bonnetain_Charlot-s'amuse_N.txt,"Son pauvre petit cœur défaillait ; il ne put que balbutier , mais Rémy comprit , et sa voix rude s' attendrit .","DETPOSS NCs ADJ NC VIMP ; il ne pouvoir que VDIC , mais NP VCOG , et DETPOSS NCMAN ADJ se VSENT ."
29,1883_Bonnetain_Charlot-s'amuse_N.txt,"— Pleure pas , gosse .","— NP pas , ADJ ."
30,1883_Bonnetain_Charlot-s'amuse_N.txt,"On le retrouvera , ton père ... La pluie l' a surpris , vois -tu , mais c' est un vieux de la vieille .","on le VF , DETPOSS NC ... le NCs le avoir VSENT , ADV il , mais ce être un ADJ de le NC ."
31,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il se sera tiré de côté dans une galerie , pour attendre que l' eau ait baissé ... Il sera là demain ... Allons , viens donc !","il se être PPAS de NC dans un NC , pour INF que le NCs avoir PPAS ... il être ADVLIEU ADVT ... NP , venir donc !"
32,1883_Bonnetain_Charlot-s'amuse_N.txt,"... L' enfant résistait , se cramponnant à la muraille , mais Rémy l' attirait , le dorlotant avec de les paroles qu' il faisait câlines , et , à prendre le petiot en douceur , s' amollissant lui-même , comme s' il avait senti s' éveiller une grosse douleur contenue- à grand' peine jusque-là .","... le NCs VIMP , se PPRES à le NC , mais NP le VIMP , le NC avec de le NCmod que il faire NC , et , à INF le NCo en NC , se PPRES soi-même , comme si il avoir sentir se INF un ADJ NCSENT ADV à granun NCSENT ADV ."
33,1883_Bonnetain_Charlot-s'amuse_N.txt,"Charlot se laissait aller peu à peu contre lui , non convaincu encore , et sans partager l' espoir qu' on lui soufflait , mais sentant , sous le refrain de les consolations tendres et caressantes , sa fatigue grandir et le sommeil le reprendre , impérieux .","NP se laisser aller peu à peu contre lui , non PPAS encore , et sans INF le NCSENT que on lui VIMP , mais sentir , sous le NC de le NCSENT ADJ et ADJ , DETPOSS NCSENT ADJ et le NC le INF , ADJ ."
34,1883_Bonnetain_Charlot-s'amuse_N.txt,"Alors , l' ouvrier le souleva avec de les délicatesses de mère , et lui fit un berceau de ses bras .","alors , le NCs le PRES avec de le NCSENT de NCmod , et lui faire un NCo de DETPOSS NCCOR ."
35,1883_Bonnetain_Charlot-s'amuse_N.txt,"L' enfant , décidément endormi , laissa retomber sa tête sur l' épaule de le vieux .","le NCs , NC ADJ , laisser INF DETPOSS NCCOR sur le NCCOR de le ADJ ."
36,1883_Bonnetain_Charlot-s'amuse_N.txt,— Pauvre môme !,— NP ADJ !
37,1883_Bonnetain_Charlot-s'amuse_N.txt,murmura le contre-maître .,VDIC le NCo .
38,1883_Bonnetain_Charlot-s'amuse_N.txt,"Et , se retournant vers les ouvriers : — Faut rentrer , vous autres .","et , se PPRES vers le NC : — PRES INF , vous autre ."
39,1883_Bonnetain_Charlot-s'amuse_N.txt,On resterait deux jours ici que ça ne ramènerait pas les camarades !,on VCOND NUM NCT ADVLIEU que ça ne VCOND pas le NCo !
40,1883_Bonnetain_Charlot-s'amuse_N.txt,Encore deux de foutus !,encore NUM de NCmod !
41,1883_Bonnetain_Charlot-s'amuse_N.txt,... c' est le métier qui veut ça !,... ce être le NC qui vouloir ça !
42,1883_Bonnetain_Charlot-s'amuse_N.txt,"... Il eut un juron qu' il n' acheva pas pour ne point réveiller le petit ; puis , tandis qu' on rebouchait le regard et que ses hommes rassemblaient leurs outils , il s' éloigna dans la direction de le canal .","... il avoir un NCo que il ne VASP pas pour ne ADV INF le NCo ; puis , PHASE que on VIMP le NCMAN et que DETPOSS NCs VIMP DETPOSS NCo , il se VPS dans le NC de le NCmod ."
43,1883_Bonnetain_Charlot-s'amuse_N.txt,La pluie avait cessé .,le NCs avoir VASP .
44,1883_Bonnetain_Charlot-s'amuse_N.txt,On n' entendait que le dernier égouttement régulier de les gouttières et le gargouillis décroissant de les ruisseaux .,on ne VCOG que le ADJ NCo ADJ de le NCmod et le NC PPRES de le NC .
45,1883_Bonnetain_Charlot-s'amuse_N.txt,"Comme le vent soufflait , le patron roula le gamin dans son bourgeron , ralentissant le pas , parfois , pour l' écouter dormir .","comme le NCs VIMP , le NCs VPS le NCo dans DETPOSS NCmod , PPRES le pas , ADVTEMPS , pour le VCOG INF ."
46,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il parvint ainsi à la berge , et , lentement , suivit le quai Valmy , en mâchonnant à mi-voix de les reproches mêlés à de nouvelles et sourdes malédictions contre le métier .","il VPS ainsi à le NC , et , ADV , VPS le NCo NP , en PPRES à NC de le NCmod PPAS à un ADJ et ADJ NC contre le NCmod ."
47,1883_Bonnetain_Charlot-s'amuse_N.txt,"Un moment , il regarda l' eau noirâtre , comme pris d' une lassitude désespérée et de le désir d' en finir avec sa chienne de vie .","un NC , il VCOG le NCo ADJCOL , comme PPAS de un NCSENT ADJ et de le NCSENT de en VASP avec DETPOSS NC de NCmod ."
48,1883_Bonnetain_Charlot-s'amuse_N.txt,"L' enfant alors murmura quelques mots en rêvant , et , rappelé à la réalité , l' ouvrier reprit sa route berçant son cher fardeau .","le NCs alors VDIC quelque NCo en PPRES , et , PPAS à le NC , le NCs VPS DETPOSS NCo PPRES DETPOSS ADJ NCo ."
49,1883_Bonnetain_Charlot-s'amuse_N.txt,"Parvenu à la rue de les Récollets , il s' engagea sur la passerelle de le barrage , serrant plus fort le petit contre sa poitrine pour traverser l' écluse ; puis , il coupa la chaussée .","PPAS à le NC de le NCmod , il se VPS sur le NC de le NCmod , PPRES plus fort le NCo contre DETPOSS NCmod pour INF le NCo ; puis , il VPS le NCo ."
50,1883_Bonnetain_Charlot-s'amuse_N.txt,"Devant lui , entre les maisons grises , la rue Bichat , plongeant en contre-bas de le quai , faisait un grand creux plus clair .","ADVLIEU lui , entre le NC ADJCOL , le NCs NP , PPRES en NC de le NCmod , faire un ADJ NCo plus ADJ ."
51,1883_Bonnetain_Charlot-s'amuse_N.txt,"L' ouvrier alla jusqu' à l' escalier , cherchant à lire le numéro de les portes .","le NCs aller jusque à le NC , PPRES à INF le NCo de le NCmod ."
52,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il n' osait pas éveiller Charlot pour l' interroger , et il tâtonnait , grommelant et pris d' impatience , mais finissant son juron en une caresse à mi-voix , lorsque la joue brûlante de l' enfant , dont la tête ballottait , abandonnée dans le sommeil , retombait et lui frôlait la barbe .","il ne VIMP pas INF NP pour le VDIC , et il VIMP , VDIC et PPAS de NCSENT , mais VASP DETPOSS NCo en un NC à NCmod , lorsque le NCCOR ADJ de le NCmod , dont le NCCOR VIMP , PPAS dans le NC , VIMP et lui VIMP le NCCOR ."
53,1883_Bonnetain_Charlot-s'amuse_N.txt,"Lassé , il s' arrèta enfin , tâchant de rappeler ses souvenirs .","PPAS , il se VPS PHASE , PPRES de INF DETPOSS NCo ."
54,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il était pourtant venu là , chercher le père de le pauvre moutard , le gazier , lorsque celui-ci , renvoyé de son atelier , lui avait demandé à travailler à la pose de les fils souterrains .","il être pourtant venir ADVLIEU , INF le NCo de le ADJ NCmod , le NC , lorsque celui-ci , PPAS de DETPOSS NC , lui avoir PPAS à INF à le NC de le NCmod ADJ ."
55,1883_Bonnetain_Charlot-s'amuse_N.txt,— C' était une grande portè cochère !,— ce être un ADJ NP ADJ !
56,1883_Bonnetain_Charlot-s'amuse_N.txt,"murmurait -il , et , insoucieux de la pluie qui retombait , il s' efforçait de déchiffrer les enseignes obscures .","VDIC il , et , ADJ de le NC qui VIMP , il se VIMP de INF le NCo ADJ ."
57,1883_Bonnetain_Charlot-s'amuse_N.txt,"Tout à coup , il reconnut la maison : une grande bâtisse qui faisait l' angle de la rue Bichat et de le quai de Jemmapes .","tout à NC , il VCOG le NCo : un ADJ NC qui faire le NCo de le NCmod NP et de le NC de NP ."
58,1883_Bonnetain_Charlot-s'amuse_N.txt,Ses deux numéros l' avaient trompé .,DETPOSS NUM NCs le avoir PPAS .
59,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il poussa la porte dont un battant s' ouvrait à demi , offrant une ouverture assez large pour le passage d' un homme , mais insuffisante pour laisser sortir ou entrer un paquet .","il VPS le NCo dont un PPRES se VCOND à ADJ , PPRES un NCo ADV ADJ pour le NC de un NCmod , mais PRES pour laisser INF ou INF un NCo ."
60,1883_Bonnetain_Charlot-s'amuse_N.txt,— Pas moyen de filer à la cloche de bois dans cette sacrée cambuse !,— pas ADJ de INF à le NC de NCmod dans ce ADJ NCmod !
61,1883_Bonnetain_Charlot-s'amuse_N.txt,"grogna -t -il , furieux de n' avoir pas reconnu l' entrée plus tôt ; mais , soudain , il s' arrêta , muet .","VPS t il , ADV de ne avoir pas VCOG le NCo plus tôt ; mais , soudain , il se VPS , INTJ ."
62,1883_Bonnetain_Charlot-s'amuse_N.txt,Il songeait que la femme de son ami devait l' attendre en proie à toutes les transes .,il VIMP que le NCs de DETPOSS NCmod devoir le INF en NC à tout le NC .
63,1883_Bonnetain_Charlot-s'amuse_N.txt,Comment allait -il lui raconter le malheur ?,comment aller il lui INF le NCo ?
64,1883_Bonnetain_Charlot-s'amuse_N.txt,"Pour sûr , elle ne prendrait pas la chose comme le gosse ; il faudrait lui avouer tout , les recherches inutiles , l' improbabilité même de le repêchage de le cadavre : et un grand frisson lui secoua l' échine .","pour ADJ , il ne VCOND pas le chose comme le NCmod ; il VCOND lui VDIC tout , le NCo ADJ , le NC même de le NCmod de le NCmod : et un ADJ NCSENT lui VPS le NCo ."
65,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il pensait à l' agonie de le gazier et se représentait son pauvre Duclos surpris par la crue subite de l' égout , en un clin d' œil gonflé par l' orageuse pluie d' avril , se débattant et voyant monter l' eau , tandis qu' il se cramponnait , hurlant et hagard , à les conduites de plomb pliant sous son poids Oh !","il VCOG à le NC de le NCmod et se VIMP DETPOSS ADJ NP VSENT par le NC ADJ de le NCmod , en un NC de NCmod PPAS par le ADJ NC de MOIS , se PPRES et VCOG INF le NCo , PHASE que il se VIMP , VDIC et NC , à le NC de NCmod PPRES sous DETPOSS NC INTJ !"
66,1883_Bonnetain_Charlot-s'amuse_N.txt,la cruelle et affolante agonie !,le ADJ et ADJ NC !
67,1883_Bonnetain_Charlot-s'amuse_N.txt,"L' homme recula , pris de peur , et s' accota , éperdu , à le magasin de le fruitier , contre le porche .","le NCs VPS , PPAS de NCSENT , et se VPS , VPS , à le NC de le NCmod , contre le NC ."
68,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il cherchait ses mots , préparant le discours qu' il ferait à la veuve , et se débattait , gêné maintenant par l' enfant , contre la vision nettede cette mort horrible , atroce , à dix pieds sous le pavé .","il VIMP DETPOSS NCo , PPRES le NCo que il faire à le NC , et se VIMP , VSENT ADVT par le NC , contre le NCs PRES ce NCo ADJ , NC , à NUM NCCOR sous le NCmod ."
69,1883_Bonnetain_Charlot-s'amuse_N.txt,"D' épouvantables histoires lui revenaient qu' il avait lues dans le Petit Journal , entre deux parties de zanzibar , sur le zinc .","un ADJ NCs lui VIMP que il avoir PPAS dans le ADJ NC , entre NUM NC de NCmod , sur le NCmod ."
70,1883_Bonnetain_Charlot-s'amuse_N.txt,"C' était une gamine revenant de l' école qui , en jouant , l' autre hiver , lors de l' enlèvement de les neiges , avait glissé dans le regard .","ce être un NC PPRES de le NC qui , en PPRES , le autre NCo , lors de le NC de le NCmod , avoir PPAS dans le NCMAN ."
71,1883_Bonnetain_Charlot-s'amuse_N.txt,Huit jours .,NUM NCT .
72,1883_Bonnetain_Charlot-s'amuse_N.txt,"on avait cherché de la rue Paradis à le collecteur , de le collecteur à la Seine : on n' avait pu retrouver le petit cadavre .","on avoir PPAS de le NC NP à le NCmod , de le NCmod à le NP : on ne avoir pouvoir INF le ADJ NCo ."
73,1883_Bonnetain_Charlot-s'amuse_N.txt,Alors les ingénieurs de la ville avaient déclaré que les rats l' avaient sans doute dévoré .,alors le NCs de le NCmod avoir PPAS que le NCs le avoir sans NCSENT VSENT .
74,1883_Bonnetain_Charlot-s'amuse_N.txt,Les rats !,le NC !
75,1883_Bonnetain_Charlot-s'amuse_N.txt,"... Le vieux contre-maître frissonnait rien que d' y penser , pris d' une affre empoignante , lui , l' ancien compagnon , à l' idée que , depuis trente ans , il risquait chaque jour de finir ainsi , dans la boue fétide et enlisante dans le noir , sous le fourmillement grouillant de les fossoyeurs d' égout !","... le ADJ NCs VIMP rien que de y VCOG , PPAS de un NC ADJ , lui , le ADJ NC , à le NCmod que , depuis NUM NCT , il VIMP chaque NCT de VASP ainsi , dans le NC ADJ et ADJ dans le NCmod , sous le NC ADJ de le NCmod de NCmod !"
76,1883_Bonnetain_Charlot-s'amuse_N.txt,"Il revoyait les dents blanches et pointues de les rongeurs immondes que , parfois , à le cours de son .","il VIMP le NCCOR ADJCOL et ADJ de le NCmod ADJ que , ADVTEMPS , à le NC de DETPOSS ."
77,1883_Bonnetain_Charlot-s'amuse_N.txt,"travail , il avait méchamment écrasés de le lourd talon de ses grosses bottes .","NC , il avoir ADVMAN PPAS de le ADJ NCCOR de DETPOSS ADJ NCmod ."
78,1883_Bonnetain_Charlot-s'amuse_N.txt,"Certainement , les bêtes devaient se venger un jour .","ADVINT , le NCs devoir se INF un NCT ."
79,1883_Bonnetain_Charlot-s'amuse_N.txt,"Et , dans une révolte faite d' angoisses , il se secoua , tout d' un coup , comme s' il avait senti déjà courir sur son corps le piétinement trottinant de les hideux animaux .","et , dans un NCSENT faire de NCSENT , il se VPS , tout de un NC , comme si il avoir sentir déjà INF sur DETPOSS NCCOR le NCo PPRES de le NC ADJ ."
80,1883_Bonnetain_Charlot-s'amuse_N.txt,Mais la sensation persista terrible .,mais le NCSENT VPS ADJ .
81,1883_Bonnetain_Charlot-s'amuse_N.txt,— Nom de Dieu !,— NP de NP !
82,1883_Bonnetain_Charlot-s'amuse_N.txt,"jura -t -il , — une sueur froide perlant à son front — je ne rêve plus !","VPS t il , — un NC ADJ PPRES à DETPOSS NCCOR — je ne PRES plus !"
