id,titre,phrase,motifs_phrase
1,1889_Coppee_Henriette_A.txt,"1 QUAND LE CURÉ EUT donné l' absoute et quand les amis et connaissances de le défunt , sortis les premiers de l' église après avoir jeté l' eau bénite , se furent formés en petits groupes sur la place Saint-Thomas d' Aquin , de les conversations s' engagèrent entre ces hommes de le monde , heureux de respirer l' air vif , à le clair soleil de mars , après l' ennui d' une messe interminable , dans l' atmosphère suffocante de l' encens et de le calorifère .","NUM NP NP NP avoir PPAS le NCo et quand le NCspas et NC de le NCmod , PPAS le NCo de le NCmod PHASE avoir PPAS le NCo ADJ , se être PPAS en ADJ NC sur le NC NP de NP , de le NCs se VPS entre ce NC de le NCmod , ADJ de INF le NCMAN ADJ , à le ADJ NC de MOIS , PHASE le NCSENT de un NCmod ADJ , dans le NC ADJ de le NCmod et de le NC ."
2,1889_Coppee_Henriette_A.txt,"— Ce pauvre Bernard … C' est dur , tout de même … Boucler sa malle à quarante-deux ans !","— ce ADJ NP … ce être ADJ , tout de même … INF DETPOSS NCo à NUM NCT !"
3,1889_Coppee_Henriette_A.txt,— Sans doute .,— sans NCSENT .
4,1889_Coppee_Henriette_A.txt,"Mais il ne s' est pas assez ménagé , convenez -en .","mais il ne se être pas ADV PPAS , IMP en ."
5,1889_Coppee_Henriette_A.txt,"En voilà un qui aura fait la fête , hein !","en voilà un qui avoir faire le NCo , NC !"
6,1889_Coppee_Henriette_A.txt,"… — Et dit souvent : « J' en donne » , à l' écarté .","… — et VDIC ADVTEMPS : "" je en PRES "" , à le NC ."
7,1889_Coppee_Henriette_A.txt,— Et usé le tapis de l' escalier de Bignon .,— et PPAS le NCo de le NCmod de NP .
8,1889_Coppee_Henriette_A.txt,"— Il y a eu de l' albuminerie dans son affaire , n' est -ce pas ?","— il y avoir avoir de le NC dans DETPOSS NCmod , ne être ce pas ?"
9,1889_Coppee_Henriette_A.txt,"— Une vie brûlée , quoi !","— un NC ADJ , quoi !"
10,1889_Coppee_Henriette_A.txt,"… Le jeu , les femmes , la bonne chère … L' équipage de le diable … Est -ce qu' il n' était pas un peu ruiné ?","… le NC , le NC , le ADJ NC … le NC de le NCmod … être ce que il ne être pas un peu PPAS ?"
11,1889_Coppee_Henriette_A.txt,— Pas de le tout .,— ADV de le tout .
12,1889_Coppee_Henriette_A.txt,Il venait encore de réaliser une vieille tante de cinq à six cent mille francs .,il venir encore de VCOG un NCo tant de NUM à NUM NUM NUM NC .
13,1889_Coppee_Henriette_A.txt,"Il doit , à le contraire , laisser à sa veuve et à son fils une très jolie fortune .","il devoir , à le NC , laisser à DETPOSS NC et à DETPOSS NC un très ADJ NC ."
14,1889_Coppee_Henriette_A.txt,"— Alors , la belle madame Bernard se remariera .","— alors , le ADJ madame NP se VF ."
15,1889_Coppee_Henriette_A.txt,— Qui sait ?,— qui VCOG ?
16,1889_Coppee_Henriette_A.txt,"Peut-être pas , à cause de le petit .","peut-être pas , à NC de le NCmod ."
17,1889_Coppee_Henriette_A.txt,Il paraît qu' elle adore son fils .,il paraître que il VSENT DETPOSS NCo .
18,1889_Coppee_Henriette_A.txt,"En somme , on regrettait peu ce mort de première classe , porté en terre avec tout le luxe dont sont capables les Pompes funèbres : messe chantée , fleurs de Nice , torchères à flamme verte autour de le catafalque .","en NC , on VIMP peu ce NCo de ADJ NCmod , PPAS en NC avec tout le NC dont être ADJ le NP ADJ : NC PPAS , NC de NP , NC à NCmod ADJCOL ADV de le NC ."
19,1889_Coppee_Henriette_A.txt,Et le plus beau maître de les cérémonies !,et le plus ADJ NC de le NCmod !
20,1889_Coppee_Henriette_A.txt,Oh !,NP !
21,1889_Coppee_Henriette_A.txt,"un gaillard superbe , avec l' air de morgue et les favoris blancs d' un vieux pair d' Angleterre , un homme précieux que l' administration ne sortait que dans les grands jours et qui avait joué autrefois les pères-nobles en province , s' il vous plaît !","un NC ADJ , avec le NCMAN de NCmod et le ADJ ADJCOL de un ADJ NCmod de NP , un NC ADJ que le NCs ne VIMP que dans le ADJ NCT et qui avoir PPAS ADVT le NCo en NCmod , si il vous PRES !"
22,1889_Coppee_Henriette_A.txt,"Mais , malgré tout cet apparat , le défunt , M. Bernard de les Vignes , député et membre de le conseil général de la Mayenne , ancien officier de cavalerie , chevalier de la Légion d' honneur , etc. , était traité selon ses mérites dans les entretiens échangés à voix basse , derrière les mains gantées de noir .","mais , malgré tout ce NCs , le NC , monsieur NP de le NP , NC et NC de le NCmod ADJ de le NP , ADJ NC de NCmod , NC de le NCmod de NCSENT , etc. , être PPAS selon DETPOSS NC dans le NC PPAS à NCMAN ADJ , ADVLIEU le NCCOR PPAS de NC ."
23,1889_Coppee_Henriette_A.txt,"Et , de fait , il n' avait été qu' un viveur vulgaire , sans grâce , sans élégance , resté provincial malgré ses quinze ans de Paris .","et , de NC , il ne avoir être que un NC ADJ , sans NCmod , sans NCmod , PPAS ADJ malgré DETPOSS NUM NCT de NP ."
24,1889_Coppee_Henriette_A.txt,Rien de plus banal que son histoire .,rien de plus ADJ que DETPOSS NC .
25,1889_Coppee_Henriette_A.txt,"Riche , il épousait à vingt-huit ans la fille d' un sénateur corse , ami personnel de Napoléon III , l' admirable Mlle Antonini , dont la beauté de transtévérine faisait alors sensation à les Tuileries et à Compiègne .","NP , il VIMP à NUM NCT le NCo de un NCmod ADJ , NC ADJ de NP NUM , le ADJ NP NP , dont le NCs de NCmod faire alors NCSENT à le NP et à NP ."
26,1889_Coppee_Henriette_A.txt,"Pendant quelque temps , il l' aimait , à sa manière .","PHASE quelque temps , il le VSENT , à DETPOSS NC ."
27,1889_Coppee_Henriette_A.txt,"Puis , tout à coup , sottement et injustement jaloux de sa femme , il démissionnait de son grade de lieutenant à les dragons de l' Impératrice , s' enfouissait dans ses terres , y prenait de lourdes habitudes , ne quittait plus ses bottes de chasse et fumait sa pipe à table , après le café , en sirotant de les petits verres .","puis , tout à NC , ADVMAN et ADVMAN ADJ de DETPOSS NC , il VIMP de DETPOSS NC de NCmod à le NC de le NCmod , se VIMP dans DETPOSS NC , y VIMP un ADJ NCo , ne VIMP plus DETPOSS NCo de NCmod et VIMP DETPOSS NCo à NCmod , PHASE le NC , en PPRES de le ADJ NC ."
28,1889_Coppee_Henriette_A.txt,"Un fils lui naissait , seule consolation de Mme Bernard , bientôt négligée par l' ancien libertin de garnison , qui , après deux ans de ménage , allait souvent à Paris tirer une bordée de matelot , et qui , dans ses sorties de chasse , tout en déjeunant d' une rustique omelette sur un coin de table , prenait la taille de les filles de ferme .","un NCs lui VIMP , ADJ NCSENT de madame NP , bientôt PPAS par le ADJ NC de NCmod , qui , PHASE NUM NCT de NCmod , aller ADVTEMPS à NP INF un NCo de NCmod , et qui , dans DETPOSS NC de NCmod , tout en PPRES de un ADJ NC sur un NCmod de NCmod , VIMP le NCo de le NCmod de NCmod ."
29,1889_Coppee_Henriette_A.txt,Le premier coup de canon de la guerre de 1870 éveilla pourtant un écho dans l' âme de ce grossier jouisseur et lui rappela qu' il avait été soldat .,le ADJ NCs de NCmod de le NCmod de NUM VPS pourtant un NCo dans le NC de ce NCmod NC et lui VPS que il avoir être NC .
30,1889_Coppee_Henriette_A.txt,"Commandant de mobiles , il se battit avec crânerie , attrapa une blessure et la croix , et , à les élections , fut envoyé à la Chambre par son département .","NC de NCmod , il se VPS avec NC , VPS un NCSENT et le NC , et , à le NC , être PPAS à le NC par DETPOSS NC ."
31,1889_Coppee_Henriette_A.txt,"En grosse bête qu' il était , il suivit les majorités .","en NC ADJ que il être , il VPS le NCo ."
32,1889_Coppee_Henriette_A.txt,"De réactionnaire , il devint tour à tour centre droit , centre gauche , opportuniste , n' ouvrit jamais la bouche que pour demander la clôture , fut toujours réélu .","de NC , il devenir NC à NCmod NC ADJ , NC ADJ , ADJ , ne VPS ADVTEMPS le NCCOR que pour INF le NCo , être ADVTEMPS PPAS ."
33,1889_Coppee_Henriette_A.txt,"Mais , contraint par ses fonctions d' habiter Paris , il lâcha les rênes à son tempérament et se rua dans le plaisir .","mais , PPAS par DETPOSS NC de INF NP , il VPS le NCo à DETPOSS NC et se VPS dans le NCSENT ."
34,1889_Coppee_Henriette_A.txt,"Mme Bernard fut alors tout à fait abandonnée et ne vit plus que rarement et à peine , à les heures de les repas , ce mari qu' elle n' avait jamais aimé et qu' à présent elle méprisait .","madame NP être alors tout à NC PPAS et ne PRES plus que ADVTEMPS et à NCSENT , à le NCT de le NCmod , ce NC que il ne avoir ADVTEMPS VSENT et que à ADJ il VSENT ."
35,1889_Coppee_Henriette_A.txt,"Trop honnête pour se venger , trop fière pour se plaindre , elle fuyait le monde , et , presque toujours seule dans son vaste appartement de le quai Malaquais , elle se consacrait tout entière à son fils , qui suivait , comme externe , les cours de le lycée Louis-le-Grand et donnait déjà les signes d' une intelligence singulièrement précoce .","trop ADJ pour se INF , trop NC pour se INF , il VIMP le NCo , et , presque ADVTEMPS ADJ dans DETPOSS ADJ NC de le NCmod NP , il se VCOND tout ADJ à DETPOSS NC , qui VIMP , comme NC , le NCo de le NCmod NP et VIMP déjà le NCo de un NCmod ADVINT ADJ ."
36,1889_Coppee_Henriette_A.txt,Elle était de ces mères qui apprennent le grec et le latin pour corriger les devoirs de leur enfant et lui faire réciter ses leçons .,il être de ce NC qui VCOG le NCo et le NC pour INF le devoir de lui NCmod et lui faire INF DETPOSS NCo .
37,1889_Coppee_Henriette_A.txt,"On parlait d' elle avec admiration ; car les quelques femmes admises dans son intimité , n' avaient aucun sujet de jalousie contre cette beauté qui se cachait , beauté demeurée intacte cependant , sur laquelle la trentaine avait mis la chaude pâleur d' un beau marbre et que le temps ni le chagrin n' avaient marquée d' un seul coup d' ongle .","on VIMP de il avec NCSENT ; car le quelque NCs PPAS dans DETPOSS NC , ne avoir aucun NCo de NCmod contre ce NC qui se VIMP , NC PPAS ADJ cependant , sur lequel le NCs avoir mettre le ADJ NCo de un ADJ NC et que le temps ni le NCSENT ne avoir PPAS de un ADJ NC de NCmod ."
38,1889_Coppee_Henriette_A.txt,"Ce malheur , subi avec tant de courage et de dignité , était cité partout comme un exemple , et la médisance parisienne ne soulignait même pas d' un sourire le nom de le colonel de Voris , un camarade de promotion de le mari , dont le sentiment respectueux pour Mme Bernard de les Vignes osait à peine se manifester par de timides visites .","ce NCs , PPAS avec tant de NC et de NC , être PPAS ADV comme un NC , et le NCs ADJ ne VIMP même pas de un NCMAN le NC de le NCmod de NP , un NC de NCmod de le NCmod , dont le NCSENT ADJ pour madame NP de le NP VIMP à NCSENT se INF par un ADJ NC ."
39,1889_Coppee_Henriette_A.txt,"Enfin , il était fini , le long supplice de cette pauvre femme .","PHASE , il être VASP , le ADJ NCSENT de ce ADJ NCmod ."
40,1889_Coppee_Henriette_A.txt,"Bernard , le gros Bernard , comme l' appelaient ses amis de le club , n' avait pu résister à sa dernière indigestion de truffes ; et , sur le seuil de l' église , autour de le volumineux cercueil qu' attendait le fourgon de les Pompes funèbres , on formait le cercle pour écouter les discours .","NP , le ADJ NP , comme le VIMP DETPOSS NCo de le NCmod , ne avoir pouvoir INF à DETPOSS ADJ NC de NCmod ; et , sur le NC de le NCmod , ADV de le ADJ NC que VIMP le NCs de le NP ADJ , on VIMP le NCo pour VCOG le NCo ."
41,1889_Coppee_Henriette_A.txt,"Mais , tandis que défilaient les mensonges oratoires , « bon Français , intrépide soldat , patriote éclairé » , tous ces mondains , importunés par ce mort dont il était trop longtemps question , pensaient tout à le plus – s' ils pensaient à quelque chose – à la belle et riche veuve , enfin libre ; et , lorsque la cérémonie fut terminée et que l' assistance se dispersa , cette phrase fut maintes fois prononcée dans les dialogues d' adieux : — La belle madame Bernard se remariera avant un an d' ici … Voulez -vous le parier ?","mais , PHASE que VIMP le NCo ADJ , "" ADJ NC , ADJ NC , NC ADJ "" , tout ce NCs , VSENT par ce NC dont il être trop longtemps NC , VCOG tout à le plus – se il VCOG à quelque chose – à le ADJ et ADJ NCmod , PHASE ADJ ; et , lorsque le NCspas être VASP et que le NCs se VF , ce NCspas être ADJ fois PPAS dans le NC de NCmod : — le ADJ madame NP se VF PHASE un NCT de ADVLIEU … vouloir vous le INF ?"
42,1889_Coppee_Henriette_A.txt,"2 QUELQUES SEMAINES APRÈS L' ENTERREMENT , Mme Bernard de les Vignes , en deuil , était assise devant son métier à tapisserie , près de la fenêtre de son boudoir .","NUM quelque NP PHASE le NP , madame NP de le NP , en NCmod , être PPAS ADVLIEU DETPOSS NC à NCmod , ADVLIEU de le NC de DETPOSS NCmod ."
43,1889_Coppee_Henriette_A.txt,"Ses yeux absorbés , sans regard , erraient sur le paysage de le quai , si charmant par un beau jour .","DETPOSS NCCOR PPAS , sans NCMAN , VIMP sur le NC de le NCmod , si PPRES par un ADJ NCT ."
44,1889_Coppee_Henriette_A.txt,"Mais elle ne voyait ni le ciel de l' avant-printemps , d' un bleu si tendre , ni le fleuve en marche sillonné par les joyeux bateaux et miroitant à le soleil , ni la noble façade de le Louvre , ni le svelte bouquet d' arbres , à le coin de le Pont-Royal , où déjà courait , dans les branches noires , comme une fumée de verdure .","mais il ne VCOG ni le NCo de le NCmod , de un ADJCOL si INF , ni le NC en NCmod PPAS par le NC ADJ et PPRES à le NC , ni le ADJ NC de le NP , ni le ADJ NC de NCmod , à le NCmod de le NP , où déjà ADJ , dans le NC ADJ , comme un NCmod de NCmod ."
