id,titre,phrase,motifs_phrase
1,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,Livre Premier Madame Chèbe !,NP NP madame NP !
2,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,"Mon garçon ... Je suis content ... C' était bien la vingtième fois de la journée que le brave Risler disait qu' il était content , et toujours de le même air attendri et paisible , avec la même voix lente , sourde , profonde , cette voix qu' étreint l' émotion et qui n' ose pas parler trop haut de peur de se briser tout à coup dans les larmes .","DETPOSS NC ... je être ADJ ... ce être bien le ADJ fois de le NCT que le ADJ NP VDIC que il être ADJ , et ADVTEMPS de le même NCMAN VSENT et ADJ , avec le même NCMAN ADJ , ADJ , ADJ , ce NCMAN que VPS le NCSENT et qui ne PRES pas INF trop ADJ de NCSENT de se INF tout à NC dans le NC ."
3,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,"Pour rien à le monde , Risler n' aurait voulu pleurer en ce moment , voyez -vous ce marié s' attendrissant en plein repas de noces !","pour rien à le NCmod , NP ne avoir vouloir INF en ce NC , IMP lui ce NCo se PPRES en ADJ NC de NCmod !"
4,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,Pourtant il en avait bien envie .,pourtant il en avoir bien PPAS .
5,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,"Son bonheur l' étouffait , le tenait par la gorge , empêchait les mots de sortir .","DETPOSS NCSENT le VIMP , le VIMP par le NCCOR , VIMP le NCo de INF ."
6,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,"Tout ce qu' il pouvait faire , c' était de murmurer de temps en temps avec un petit tremblement de lèvres : Je suis content ... Je suis content ... Il avait de quoi l' être , en effet .","tout ce que il pouvoir faire , ce être de VDIC de temps en temps avec un ADJ NC de NCCOR : je être ADJ ... je être ADJ ... il avoir de quoi le être , en NC ."
7,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,"Depuis le matin , le pauvre homme se croyait emporté par un de ces rêves magnifiques dont on craint de se réveiller subitement , les yeux éblouis ; mais son rêve , à lui , ne semblait jamais devoir finir .","depuis le NCT , le ADJ NCs se VCOG PPAS par un de ce NCmod ADJ dont on VSENT de se INF ADV , le NCCOR VSENT ; mais DETPOSS NCs , à lui , ne sembler ADVTEMPS devoir VASP ."
8,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,"Cela avait commencé à cinq heures de le matin , et à dix heures de le soir , dix heures très précises à l' horloge de Véfour , cela durait encore ... Que de choses dans cette journée , et comme les moindres détails lui restaient présents !","cela avoir VASP à NUM NCT de le NCT , et à NUM NCT de le NCT , NUM NCT très ADJ à le NCmod de NP , cela VIMP encore ... que de chose dans ce NCT , et comme le ADJ NCs lui VIMP ADJ !"
9,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,"Il se voyait à le petit jour , arpentant sa chambre de vieux garçon dans une joie mêlée d' impatience , la barbe déjà faite , l' habit passé , deux paires de gants blancs en poche ... Maintenant voici les voitures de gala , et dans la première là-bas celle qui a de les chevaux blancs , de les guides blanches , une doublure de damas jaune la parure de la mariée s' apercevant comme un nuage ... Puis l' entrée à l' église , deux par deux , toujours le petit nuage blanc en tête , flottant , léger , éblouissant ... L' orgue , le suisse , le sermon de le curé , les cierges éclairant de les bijoux , de les toilettes de printemps ... et cette poussée de le monde à la sacristie , le petit nuage blanc , perdu , noyé , entouré , embrassé , pendant que le marié distribue de les poignées de mains à tout le haut commerce parisien venu là pour lui faire honneur ... Et le grand coup d' orgue de la fin , plus solennel à cause de la porte de l' église large ouverte qui fait participer la rue entière à la cérémonie de famille , les sons passant le porche en même temps que le cortège , les exclamations de le quartier , une brunisseuse en grand tablier de lustrine disant tout haut : Le marié n' est pas beau , mais la mariée est crânement gentille ... C' est cela qui vous rend fier quand on est le marié ... Ensuite le déjeuner à la fabrique , dans un atelier orné de tentures et de fleurs , la promenade à le Bois , une concession faite à la belle-mère , madame Chèbe , qui , en sa qualité de petite bourgeoise parisienne , n' aurait pas cru sa fille mariée sans un tour de lac ni une visite à la cascade ... Puis la rentrée pour le dîner , pendant que les lumières s' allumaient sur le boulevard , où les gens se retournaient pour voir passer la noce , une vraie noce cossue , menée à le train de ses chevaux de louage jusqu' à l' escalier de Véfour .","il se VCOG à le ADJ NCT , PPRES DETPOSS NCo de ADJ NCmod dans un NCSENT PPAS de NCSENT , le NCCOR déjà faire , le NC PPAS , NUM NC de NCmod ADJ en NCmod ... ADVT voici le NCo de NCmod , et dans le ADJ ADVLIEU celui qui avoir de le NC ADJCOL , de le NC ADJCOL , un NC de NCmod ADJCOL le NC de le NCmod se PPRES comme un NC ... puis le NC à le NCmod , NUM par NUM , ADVTEMPS le ADJ NC ADJCOL en NCCOR , NC , ADJ , ADJ ... le NC , le ADJ , le NC de le NCmod , le NC PPRES de le NC , de le NC de NCmod ... et ce NC de le NCmod à le NCmod , le ADJ NC ADJCOL , PPAS , PPAS , PPAS , PPAS , PHASE que le NC ADJ de le NCmod de NCCOR à tout le ADJ NCmod ADJ venir ADVLIEU pour lui faire NCSENT ... et le ADJ NC de NCmod de le NCmod , plus ADJ à NC de le NCmod de le NCmod ADJ ADJ qui faire INF le NC ADJ à le NC de NCmod , le NC PPRES le NCo en même temps que le NCmod , le NC de le NCmod , un NC en ADJ NCmod de NCmod VDIC tout NCo : le NCs ne être pas ADJ , mais le NCs être ADVMAN NCmod ... ce être cela qui vous PRES ADJ quand on être le NC ... PHASE le NC à le NCmod , dans un NCmod PPAS de NC et de NC , le NC à le NP , un NC faire à le NC , madame NP , qui , en DETPOSS NC de ADJ NCmod ADJ , ne avoir pas PPAS DETPOSS NCo PPAS sans un NC de NCmod ni un NC à le NCmod ... puis le NCs pour le NCmod , PHASE que le NCs se VIMP sur le NC , où le NCs se VIMP pour VCOG INF le NCo , un vrai NC ADJ , PPAS à le NC de DETPOSS NCmod de NCmod jusque à le NC de NP ."
10,Daudet/fromont_jeune_et_risler_ainé copie_clean.txt,Il en était là de son rêve .,il en être ADVLIEU de DETPOSS NC .
