id,titre,phrase,motifs_phrase
1,Daudet/jack copie_clean.txt,"Par un K , monsieur le supérieur , par un K! Le nom s' écrit et se prononce à l' anglaise ... comme ceci , Djack ... Le parrain de l' enfant était anglais , major général dans l' armée de les Indes ... lord Peambock ... Vous connaissez peut-être ?","par un NC , monsieur le NCmod , par un NP le NCs se PRES et se PRES à le NC ... comme ceci , NP ... le NCs de le NCmod être ADJ , NC ADJ dans le NCmod de le NP ... NC NP ... vous PRES peut-être ?"
2,Daudet/jack copie_clean.txt,"un homme tout à fait distingué et de la plus haute noblesse , oh !","un NC tout à NC VCOG et de le plus ADJ NC , INTJ !"
3,Daudet/jack copie_clean.txt,"mais , vous savez , monsieur l' abbé , de la plus haute ... Et quel valseur !","mais , vous VCOG , monsieur le NCo , de le plus ADJ ... et quel NC !"
4,Daudet/jack copie_clean.txt,"... Il est mort , de le reste , d' une façon bien affreuse , à Singapore , il y a quelques années , dans une magnifique chasse à le tigre qu' un rajah de ses amis avait organisée en son honneur ... Ce sont de vrais monarques , il paraît , ces rajahs ... Celui-là surtout est très renommé là-bas ... Comment donc s' appelle -t -il ?","... il être PPAS , de le NC , de un façon bien ADJ , à NP , il y avoir quelque NCT , dans un ADJ NC à le NCmod que un NCs de DETPOSS NCmod avoir PPAS en DETPOSS NCSENT ... ce être un vrai NC , il paraître , ce NC ... celui-là surtout être très PPAS ADVLIEU ... comment donc se PRES t il ?"
5,Daudet/jack copie_clean.txt,... attendez donc ... Mon Dieu !,... IMP donc ... NP NP !
6,Daudet/jack copie_clean.txt,"J' ai son nom à le bout de la langue ... Rana ... Rama ... Pardon , madame , interrompit le recteur , souriant malgré lui de cette volubilité de paroles et de ce perpétuel sautillement d' une idée à une autre ... Et après Jack , qu' est -ce que nous mettrons ?","je avoir DETPOSS NCo à le NC de le NCCOR ... NP ... NP ... NP , madame , VPS le NCo , PPRES malgré lui de ce NCmod de NCmod et de ce ADJ NC de un NCmod à un autre ... et PHASE NP , que être ce que nous mettre ?"
7,Daudet/jack copie_clean.txt,"Accoudé sur le bureau où tout à l' heure il écrivait , la tête légèrement inclinée , le digne prêtre regardait d' un coin d' œil aiguisé de malice et de pénétration ecclésiastique la jeune femme assise devant lui avec son Jack ( par un K ) , debout à côté d' elle .","PPAS sur le NC où tout à le NCT il VIMP , le NCCOR ADVINT ADJ , le ADJ NC VCOG de un NC de NCmod PPAS de NC et de NC ADJ le ADJ NCo PPAS ADVLIEU lui avec son NP ( par un NCmod ) , ADV à NCmod de il ."
8,Daudet/jack copie_clean.txt,"C' était une élégante personne d' une mise irréprochable , bien à le goût de le jour et de la saison , on était en décembre 1858 ; il y avait même dans le moelleux de ses fourrures , dans la richesse de sa toilette noire et l' originalité discrète de son chapeau , le luxe tranquille de la femme qui possède une voiture et qui passe de la netteté de ses tapis à les coussins de son coupé sans subir la transition banale de la rue .","ce être un ADJ NC de un NCmod ADJ , bien à le NCmod de le NCT et de le NC , on être en MOIS NUM ; il y avoir même dans le NC de DETPOSS NCmod , dans le NC de DETPOSS NCmod ADJ et le NC ADJ de DETPOSS NCmod , le NC ADJ de le NCmod qui PRES un NCo et qui PRES de le NC de DETPOSS NCmod à le NCmod de DETPOSS NCmod sans INF le NCo ADJ de le NCmod ."
9,Daudet/jack copie_clean.txt,"Elle avait la tête très petite , ce qui fait paraître les femmes toujours plus grandes , un joli visage duveté comme un fruit , mobile , souriant , illuminé par deux yeux naïfs et clairs et de les dents très blanches , montrées à tout propos .","il avoir le NCCOR très ADJ , ce qui faire paraître le NCo ADVTEMPS plus ADJ , un ADJ NCCOR PPAS comme un NC , NC , PPRES , PPAS par NUM NCCOR ADJ et NC et de le NCCOR très ADJCOL , PPAS à tout NC ."
10,Daudet/jack copie_clean.txt,"Cette mobilité de ses traits semblait extrême , et je ne sais quoi dans cette physionomie plaisante , peut-être la lèvre inférieure légèrement détendue par un perpétuel besoin de parler , peut-être le front étroit sous le brillant de les bandeaux , indiquait l' absence de réflexion , un esprit un peu borné , et expliquait les parenthèses ouvertes à tout moment dans la conversation de cette jolie personne , comme ces petits paniers japonais de grandeur calculée qui rentrent tous les uns dans les autres , et dont le dernier est toujours vide .","ce NCs de DETPOSS NCmod sembler ADJ , et je ne VCOG quoi dans ce NC ADJ , peut-être le NCCOR ADJ ADVINT PPAS par un ADJ NC de INF , peut-être le NCCOR ADJ sous le NCmod de le NCmod , VIMP le NCs de NCmod , un NC un peu ADJ , et VDIC le NCo PPAS à tout NC dans le NC de ce ADJ NCmod , comme ce ADJ NCmod ADJ de NCmod PPAS qui PRES tout le un dans le autre , et dont le NCs être ADVTEMPS ADJ ."
