id,titre,phrase,motifs_phrase
1,Daudet/l'evangéliste copie_clean.txt,"L' ÉVANGÉLIST E C' est un retour de cimetière , à le jour tombant , dans une petite maison de la rue de le Val-de-Grâce .","le NP E ce être un NC de NCmod , à le NCT PPRES , dans un ADJ NC de le NCmod de le NP ."
2,Daudet/l'evangéliste copie_clean.txt,"On vient d' enterrer grand-mère ; et , la porte poussée , les amis partis , restées seules dans l' étroit logis où le moindre objet leur rappelle l' absente , et qui depuis quelques heures semble agrandi , Mme Ebsen et sa fille sentent mieux toute l' horreur de leur chagrin .","on venir de INF NCo ; et , le NCmod PPAS , le NC PPAS , PPAS ADJ dans le NC ADJ où le ADJ NCs lui PRES le NCo , et qui depuis quelque NCT sembler NCs , madame NP et DETPOSS NC sentir mieux tout le NCo de lui NCSENT ."
3,Daudet/l'evangéliste copie_clean.txt,"Même là-bas , à Montparnasse , quand la terre s' ouvrait et leur prenait tout , elles n' avaient pas aussi vivement qu' à ce coin de croisée , devant ce fauteuil vide , la notion de l' irréparable , l' angoisse de l' éternelle séparation .","même ADVLIEU , à NP , quand le NCs se VIMP et lui VIMP tout , il ne avoir pas aussi ADVINT que à ce NC de NCmod , ADVLIEU ce NC ADJ , le NCo de le NCmod , le NCSENT de le ADJ NCmod ."
4,Daudet/l'evangéliste copie_clean.txt,C' est comme si grand-mère venait de mourir une seconde fois .,ce être comme si ADJ venir de INF un ADJ fois .
5,Daudet/l'evangéliste copie_clean.txt,"Mme Ebsen est tombée sur une chaise et n' en bouge plus , affaissée dans son deuil de laine , sans même la force de quitter son châle , son chapeau dont le grand voile de crêpe se hérisse en pointes raides au-dessus de sa bonne large figure toute bouillie de larmes .","madame NP être PPAS sur un NC et ne en NC plus , PPAS dans DETPOSS NC de NCmod , sans même le NCSENT de INF DETPOSS NCo , DETPOSS NCs dont le ADJ NCs de NCmod se VSENT en NC ADJ ADVLIEU de DETPOSS ADJ ADJ PRES tout NCo de NCmod ."
6,Daudet/l'evangéliste copie_clean.txt,"Et se mouchant bien fort , épongeant ses yeux gonflés , elle énumère à haute voix les vertus de celle qui est partie , sa bonté , sa gaieté , son courage , elle y mêle de les épisodes de sa propre vie , de celle de sa fille ; si bien qu' un étranger admis à ce vocero bourgeois connaîtrait à fond l' histoire de ces trois femmes , saurait que M. Ebsen , un ingénieur de Copenhague , ruiné dans les inventions , est venu à Paris , il y a vingt ans , pour un brevet d' horloge électrique , que ça n' a pas marché comme on voulait , et que l' inventeur est mort , laissant sa femme seule à l' hôtel avec la vieille maman , et pauvre à ne savoir comment faire ses couches .","et se PPRES bien fort , PPRES DETPOSS NCCOR PPAS , il PRES à ADJ NCMAN le NCo de celui qui être NCo , DETPOSS NCSENT , DETPOSS NCSENT , DETPOSS NC , il y PRES de le NC de DETPOSS ADJ NCmod , de celui de DETPOSS NCmod ; si bien que un NCs PPAS à ce NC ADJ VIMP à NC le NCo de ce NUM NCmod , VCOND que monsieur NP , un NC de NP , PPAS dans le NC , être venir à NP , il y avoir NUM NCT , pour un NC de NCmod ADJ , que ça ne avoir pas PPAS comme on vouloir , et que le NCs être ADJ , laisser DETPOSS NCo ADJ à le NC avec le ADJ NCmod , et PRES à ne VCOG comment faire DETPOSS NCo ."
7,Daudet/l'evangéliste copie_clean.txt,Ah !,INTJ !
8,Daudet/l'evangéliste copie_clean.txt,"sans grand-mère , alors , qu' est -ce qu' on serait devenu , sans grand-mère et son vaillant petit crochet , qu' elle accélérait jour et nuit , travaillant de les nappes , de les jetés de guipure à la main , très peu connus à Paris en ce temps -là , et que la vieille Danoise allait offrir bravement dans les magasins de petits ouvrages .","sans NC , alors , que être ce que on être devenir , sans NC et DETPOSS ADJ ADJ NC , que il VIMP NCT et NCT , PPRES de le NC , de le NCmod de NCmod à le NCCOR , très peu PPAS à NP en ce temps ADVLIEU , et que le ADJ NP aller INF ADVMAN dans le NC de ADJ NCmod ."
9,Daudet/l'evangéliste copie_clean.txt,"Ainsi elle a pu faire marcher la maison , donner une bonne nourrice à la petite Éline ; mais il en a fallu de ces ronds , de ces fines dentelles à perdre les yeux .","ainsi il avoir pouvoir faire INF le NCo , INF un ADJ NCo à le ADJ NP ; mais il en avoir PPAS de ce NC , de ce NCmod ADJ à INF le NCCOR ."
10,Daudet/l'evangéliste copie_clean.txt,"Chère , chère grand-mère ... Et le vocero se déroule , coupé de sanglots , de mots enfantins qui reviennent à la bonne femme avec sa douleur d' orpheline et à lesquels l' accent étranger , son lourd français de Copenhague , que vingt ans de Paris n' ont pu corriger , donne quelque chose d' ingénu , d' attendrissant .","NC , ADJ NC ... et le NCs se VSUBP , NC de NCmod , de NC ADJ qui PRES à le ADJ NC avec DETPOSS NCSENT de NCmod et à lequel le NC ADJ , DETPOSS NC ADJ de NP , que NUM NCT de NP ne avoir pouvoir INF , PRES quelque chose de NCmod , de PPRES ."
