id,titre,phrase,motifs_phrase
1,Daudet/l'immortel copie_clean.txt,"L' IMMORTEL On lit dans le Dictionnaire de les Célébrités contemporaines , édition de 1880 , à l' article Astier-Réhu : Astier , dit Astier-Réhu ( Pierre-Alexandre-Léonard ) , de l' Académie française , né en 1816 , à Sauvagnat ( Puy-de-Dôme ) chez d' humbles cultivateurs , montra dès son plus jeune âge de rares aptitudes pour l' histoire .","le NP on PPAS dans le NC de le NCmod ADJ , NC de NUM , à le NC NP : NP , VDIC NP ( NP ) , de le NC ADJ , PPAS en NUM , à NP ( NP ) chez un ADJ NC , VPS dès DETPOSS plus ADJ NC de ADJ NCmod pour le NCmod ."
2,Daudet/l'immortel copie_clean.txt,"De solides études , comme on n' en fait plus maintenant , commencées à le collège de Riom , terminées à Louis-le-Grand où il devait revenir plus tard professeur , lui ouvrirent toutes grandes les portes de l' École Normale supérieure .","un ADJ NC , comme on ne en faire plus ADVT , VASP à le NC de NP , VASP à NP où il devoir INF plus tard NCo , lui VPS tout ADJ le NC de le NCmod ADJ ADJ ."
3,Daudet/l'immortel copie_clean.txt,Il en sortit pour occuper la chaire d' histoire à le lycée de Mende ; c' est là que fut écrit l' Essai sur Marc-Aurèle ( couronné par l' Académie française ) .,il en VPS pour INF le NCo de NCmod à le NC de NP ; ce être ADVLIEU que être PPAS le NP sur NP ( PPAS par le NC ADJ ) .
4,Daudet/l'immortel copie_clean.txt,"Appelé l' année suivante à Paris par M. de Salvandy , le jeune et brillant professeur sut reconnaître l' intelligente faveur dont il avait été l' objet en publiant coup sur coup : Les grands ministres de Louis XIV ( couronné par l' Académie française ) , Bonaparte et le Concordat ( couronné par l' Académie française ) , et cette admirable Introduction à l' Histoire de la Maison d' Orléans , portique grandiose de l' œuvre à laquelle l' historien devait donner vingt ans de sa vie .","PPAS le NCT ADJ à NP par monsieur de NP , le ADJ et ADJ NCs PRES VCOG le ADJ NCo dont il avoir être le NC en PPRES NCo sur NCmod : le ADJ NC de NP NUM ( PPAS par le NC ADJ ) , NP et le NP ( PPAS par le NC ADJ ) , et ce ADJ NC à le NCmod de le NCmod de NP , ADJ NC de le NCmod à lequel le NCs devoir INF NUM NCT de DETPOSS NCmod ."
5,Daudet/l'immortel copie_clean.txt,"Cette fois , l' Académie n' ayant plus de couronne à lui offrir , le fit asseoir parmi ses élus .","ce fois , le NC ne avoir plus de NC à lui INF , le faire INF parmi DETPOSS NC ."
6,Daudet/l'immortel copie_clean.txt,"Il était déjà un peu de la maison , ayant épousé Mlle Réhu , fille de le regretté Paulin Réhu , le célèbre architecte , membre de l' Académie de les Inscriptions et Belles Lettres , petite-fille de le vénérable Jean Réhu , doyen de l' Académie française , l' élégant traducteur d' Ovide , l' auteur de les Lettres à Uranie , dont la verte vieillesse fait l' admiration de l' Institut .","il être déjà un peu de le NC , avoir PPAS NP NP , NC de le NCmod NP NP , le ADJ NC , NC de le NCmod de le NCmod et ADJ NP , NC de le NCmod NP NP , NC de le NCmod ADJ , le PPRES NC de NP , le NC de le NP à NP , dont le ADJCOL NCs faire le NCSENT de le NCmod ."
7,Daudet/l'immortel copie_clean.txt,"On sait avec quel noble désintéressement , appelé par M. Thiers , son collègue et ami , à les fonctions d' archiviste de les Affaires étrangères , Léonard Astier-Réhu se démit de sa charge à le bout de quelques années ( 1878 ) , refusant de courber sa plume et l' impartialité de l' Histoire devant les exigences de nos gouvernants actuels .","on VCOG avec quel ADJ NC , PPAS par monsieur NP , DETPOSS NC et NC , à le NC de NCmod de le NCmod ADJ , NP NP se VPS de DETPOSS NC à le NC de quelque NCT ( NUM ) , PPRES de INF DETPOSS NCo et le NC de le NCmod ADVLIEU le NC de DETPOSS NCmod ADJ ."
8,Daudet/l'immortel copie_clean.txt,"Mais , privé de ses chères archives , l' écrivain a su mettre ses loisirs à profit .","mais , ADJ de DETPOSS NC ADJ , le NCs avoir VCOG mettre DETPOSS NCo à NC ."
9,Daudet/l'immortel copie_clean.txt,"En deux ans , il nous a donné les trois derniers volumes de son histoire et nous annonce prochainement un Galilée inconnu d' après les documents les plus curieux et les plus inédits .","en NUM NCT , il nous avoir PPAS le NUM ADJ NCo de DETPOSS NCmod et nous VDIC ADVTEMPS un NP ADJ de PHASE le NCmod le plus ADJ et le plus ADJ ."
10,Daudet/l'immortel copie_clean.txt,"Tous les ouvrages d' Astier-Réhu sont en vente chez Petit-Séquard , à la librairie académique .","tout le NCs de NP être en NC chez NP , à le NCmod ADJ ."
11,Daudet/l'immortel copie_clean.txt,"L' éditeur de le Dictionnaire de les Célébrités laissant à chaque intéressé le soin de se raconter lui-même , l' authenticité de ces notes biographiques ne saurait être mise en doute .","le NCs de le NCmod de le NCmod laisser à chaque VSENT le NCo de se INF soi-même , le NCo de ce NCmod ADJ ne VCOND être mettre en NCSENT ."
12,Daudet/l'immortel copie_clean.txt,"Mais pourquoi dire que Léonard Astier-Réhu avait donné sa démission d' archiviste , quand personne n' ignore qu' il fut destitué , mis à pied comme un simple cocher de fiacre , pour une phrase imprudente échappée à l' historien de la Maison d' Orléans , tome V , page 327 : Alors comme aujourd'hui , la France , submergée sous le flot démagogique ... Où peut conduire une métaphore !","mais pourquoi VDIC que NP NP avoir PPAS DETPOSS NCo de NCmod , quand personne ne VCOG que il être PPAS , mettre à NCCOR comme un ADJ NC de NCmod , pour un NC ADJ PPAS à le NC de le NP de NP , tome NUM , NC NUM : alors comme ADVT , le NP , PPAS sous le NC ADJ ... où pouvoir INF un NCo !"
13,Daudet/l'immortel copie_clean.txt,"Les douze mille francs de sa place , un logement à le quai d' Orsay , chauffage , éclairage , en plus ce merveilleux trésor de pièces historiques où ses livres avaient pris vie; voilà ce que lui emporta ce flot démagogique , son flot !","le NUM NUM NCmod de DETPOSS NCmod , un NC à le NCmod de NP , NC , NC , en plus ce ADJ NC de NCmod ADJ où DETPOSS NCs avoir PPAS vie; voilà ce que lui VPS ce NCs ADJ , DETPOSS NC !"
14,Daudet/l'immortel copie_clean.txt,Le pauvre homme ne s' en consolait pas .,le ADJ NCs ne se en VIMP pas .
15,Daudet/l'immortel copie_clean.txt,"Même après deux ans écoulés , le regret de le bien-être et de les honneurs de son emploi lui mordait le cœur , plus vif à certains jours , à certaines dates de le mois ou de la semaine , et principalement le jour de Teyssèdre .","même PHASE NUM NCT PPAS , le NCSENT de le NCSENT et de le NCSENT de DETPOSS NCmod lui VIMP le NCo , plus ADJ à certain NCT , à certain NC de le NCT ou de le NC , et ADV le NCT de NP ."
16,Daudet/l'immortel copie_clean.txt,"C' était le frotteur , ce Teyssèdre .","ce être le NC , ce NP ."
17,Daudet/l'immortel copie_clean.txt,"Il venait de fondation chez les Astier , le mercredi ; et l' après-midi de le même jour , Mme Astier recevait dans le cabinet de travail de son mari , seule pièce présentable de ce troisième étage de la rue de Beaune , débris d' un beau logis , majestueux de plafond , mais terriblement incommode .","il venir de NC chez le NP , le ADVT ; et le NCT de le même NCT , madame NP VIMP dans le NC de NCmod de DETPOSS NCmod , ADJ NC ADJ de ce ADJ NCmod de le NCmod de NP , PPAS de un ADJ NC , ADJ de NC , mais ADV ADJ ."
18,Daudet/l'immortel copie_clean.txt,"On se figure le désarroi où ce mercredi , revenant chaque semaine , jetait l' illustre historien interrompu dans sa production laborieuse et méthodique ; il en avait pris en haine le frotteur , son pays , à la face jaune , fermée et dure comme son pain de cire , ce Teyssèdre qui , sous prétexte qu' il était de Riom , tandis que meuchieu Achtier n' était que de Chauvagnat , bousculait sans respect la lourde table encombrée de cahiers , de notes , de rapports , chassait de pièce en pièce le pauvre grand homme , réduit à se réfugier dans une soupente prise sur la hauteur de son cabinet , où , bien que de taille médiocre , il ne tenait qu' assis .","on se PRES le NCSENT où ce ADVT , PPRES chaque NC , VIMP le ADJ NCo PPAS dans DETPOSS NC ADJ et ADJ ; il en avoir PPAS en VSENT le NCo , DETPOSS NC , à le NCmod ADJCOL , PPAS et PRES comme DETPOSS NC de NCmod , ce NP qui , sous NC que il être de NP , PHASE que NP NP ne être que de NP , VIMP sans NC le ADJ NCo PPAS de NC , de NC , de NC , VIMP de NC en NCmod le ADJ ADJ NC , PPAS à se INF dans un NC PPAS sur le NC de DETPOSS NCmod , où , bien que de NC ADJ , il ne VIMP que NCo ."
