id,titre,phrase,motifs_phrase
1,Daudet/la_petite_paroisse copie_clean.txt,"Richard Fénigan , grand chasseur et pêcheur en Seine-et-Oise , vivant toute l' année à la campagne avec sa mère et sa jeune femme , venait de relever ses verveux sur ce morceau de Seine espacé d' îles vertes dont il avait affermé la pêche , entre l' écluse d' Évry et celle d' Athis .","NP NP , ADJ NC et NC en NP , PPRES tout le NCT à le NC avec DETPOSS NC et DETPOSS ADJ NC , venir de INF DETPOSS NCo sur ce NC de NP PPAS de NC ADJCOL dont il avoir PPAS le NCo , entre le NC de NP et celui de NP ."
2,Daudet/la_petite_paroisse copie_clean.txt,"Par ce matin de juillet embrasé et lourd , sous un soleil de métal en fusion qui argentait tout le ciel , la rivière fumait immobile et silencieuse , sans même l' habituel ramage de volière que font dans les buissons de la berge les traquets , les fauvettes , les hirondelles de rivage , tandis que cette buée chaude aiguisait à le contraire l' âpre senteur de les plantes d' eau , la saveur fade de les cantharides en taches d' émeraude sur les frênes .","par ce NCT de MOIS PPAS et ADJ , sous un NC de NCmod en NCmod qui VIMP tout le NCo , le NCs VIMP ADJ et ADJ , sans même le ADJ NCo de NCmod que faire dans le NC de le NCmod le NC , le NC , le NC de NCmod , PHASE que ce NCs ADJ VIMP à le NC le ADJ NCo de le NCmod de NCmod , le NC ADJ de le NCmod en NCmod de ADJCOL sur le NCmod ."
3,Daudet/la_petite_paroisse copie_clean.txt,"Fénigan lui-même , robuste garçon de trente-cinq ans à le teint vif , à l' épaisse barbe brune , subissait l' écrasement de l' atmosphère ; et lorsqu' il aborda le petit port où , devant les barques amarrées , ses filets de pêche s' étalaient en fumée blonde sur le vert pâle de la rive , il resta quelques minutes tout étourdi à le fond de le bateau , somnolant dans ses vêtements de toile verte , plaqués et noirs de mouillure .","NP soi-même , ADJ NC de NUM NCT à le NCmod ADJ , à le NCmod NCCOR ADJ , VIMP le NCo de le NCmod ; et lorsque il VPS le ADJ NCo où , PPRES le NCo PPAS , DETPOSS NCs de NCmod se VIMP en NC ADJCOL sur le ADJCOL NC de le NCmod , il VPS quelque NCT tout PPAS à le NC de le NCmod , PPRES dans DETPOSS NC de NCmod ADJCOL , NC et NC de NCmod ."
4,Daudet/la_petite_paroisse copie_clean.txt,"Une cloche sonna de ce côté de la Seine , sur la hauteur .","un NCs VPS de ce NC de le NP , sur le NC ."
5,Daudet/la_petite_paroisse copie_clean.txt,"Richard tressaillit: ― Tu as entendu , Chuchin ?","NP tressaillit: ― je avoir VCOG , NP ?"
6,Daudet/la_petite_paroisse copie_clean.txt,"Chuchin , le garde-pêche , enfoui dans la boutique , à compter la provision de brochets , de tanches et d' anguilles , releva sa figure boucanée , plus ridée que la rivière par un vent d' est: ― Ça vient de le château , pour sûr .","NP , le NC , PPAS dans le NC , à INF le NC de NCmod , de NC et de NC , VPS DETPOSS NCCOR ADJ , plus PPAS que le NCs par un NC de est: ― ça venir de le NC , pour ADV ."
7,Daudet/la_petite_paroisse copie_clean.txt,― Mais on ne sonne pas le déjeuner ?,― mais on ne PRES pas le INF ?
8,Daudet/la_petite_paroisse copie_clean.txt,Il est à peine onze heures .,il être à NCSENT NUM NCT .
9,Daudet/la_petite_paroisse copie_clean.txt,― Peut-être une visite ... quelqu'un de Grosbourg ... justement j' ai vu leur Victoria qui s' en revenait par le pont .,― peut-être un NC ... quelqu'un de NP ... ADVMAN je avoir VCOG lui NP qui se en VIMP par le NC .
10,Daudet/la_petite_paroisse copie_clean.txt,"De nouveau la cloche retentit à le lointain , criarde dans la torpeur de le paysage .","de ADJ le NCs PRES à le NC , NC dans le NCmod de le NCmod ."
11,Daudet/la_petite_paroisse copie_clean.txt,"― Range tout , vieux Chuchin; moi , je monte voir .","― NP tout , ADJ NP soi , je PRES VCOG ."
12,Daudet/la_petite_paroisse copie_clean.txt,"De cette allure paisible que lui avait donnée sa vie à la campagne , Richard suivit le chemin de halage jusqu' à l' allée de peupliers montant par une pente raide à la route de Corbeil , à le long de laquelle s' alignent le petit village de les Uzelles et le domaine de ce nom .","de ce NCMAN ADJ que lui avoir PPAS DETPOSS NCs à le NCmod , NP VPS le NCo de NCmod jusque à le NC de NCmod PPRES par un NC ADJ à le NCmod de NP , à le NC de lequel se PRES le ADJ NCo de le NP et le NC de ce NCmod ."
13,Daudet/la_petite_paroisse copie_clean.txt,"En marchant , il songeait tout haut , intrigué de ce coup de cloche en appel , sans toutefois aucun pressentiment mauvais ... Une visite de Grosbourg , ce n' était guère probable ... Qui aurait pu venir ?","en PPRES , il VIMP tout NCo , VSENT de ce NC de NCmod en NCmod , sans ADV aucun ADV ADJ ... un NC de NP , ce ne être guère ADJ ... qui avoir pouvoir venir ?"
14,Daudet/la_petite_paroisse copie_clean.txt,Le général était à les eaux dans le Tyrol avec la duchesse .,le NCs être à le NC dans le NP avec le NCmod .
15,Daudet/la_petite_paroisse copie_clean.txt,"Le fils à Stanislas , piochant ses examens de Saint-Cyr qui brûlaient .","le NC à NP , PPRES DETPOSS NCo de NP qui VIMP ."
16,Daudet/la_petite_paroisse copie_clean.txt,Plutôt quelque drame d' office ou de basse-cour nécessitant la présence de le maître .,plutôt quelque NC de NCmod ou de NC PPRES le NCo de le NCmod .
17,Daudet/la_petite_paroisse copie_clean.txt,"Ou encore , une scène entre sa mère et sa femme ... Et pourtant , non , elle était finie depuis de les années , cette atroce guerre intime , qui avait désolé les premiers temps de leur mariage ... Alors , quoi ?","ADV encore , un NC entre DETPOSS NCmod et DETPOSS NC ... et pourtant , non , il être VASP depuis de le NCT , ce ADJ NC ADJ , qui avoir VSENT le ADJ temps de lui NCmod ... alors , quoi ?"
18,Daudet/la_petite_paroisse copie_clean.txt,"Un bonjour , monsieur Richard , obséquieux et félin , venu de l' autre côté de la route , l' arracha à ses réflexions .","un NCs , monsieur NP , ADJ et ADJ , venir de le autre NC de le NCmod , le VPS à DETPOSS NC ."
19,Daudet/la_petite_paroisse copie_clean.txt,"Ils étaient là quatre ou cinq , accotés à un grand peuplier , le cantonnier Robin , Roger le facteur , descendu de son vélo qu' il tenait par le guidon , une blanchisseuse , assise sur les bras de sa brouette lourde et ruisselante de linge , tous écoutant , la bouche et les yeux ronds , l' histoire que leur contait M. Alexandre , un ancien maître d' hôtel de Grosbourg , long , rasé , correct , avec un complet de flanelle blanche et une canne à pêche en bambou noir cerclé d' argent .","il être ADVLIEU NUM ou NUM , PPAS à un ADJ NC , le NCo NP , NP le NC , PPAS de DETPOSS NC que il VIMP par le NC , un NC , PPAS sur le NCCOR de DETPOSS NCmod ADJ et ADJ de NCmod , tout VCOG , le NCCOR et le NCCOR ADJ , le NC que lui VIMP monsieur NP , un ADJ NC de NCmod de NP , ADJ , PPAS , ADJ , avec un NCmod de NCmod ADJCOL et un NC à NCmod en NCmod ADJ PPAS de NC ."
20,Daudet/la_petite_paroisse copie_clean.txt,"Quel était ce bavardage , brusquement interrompu par l' arrivée de Fénigan ?","NP être ce NC , ADV PPAS par le NC de NP ?"
21,Daudet/la_petite_paroisse copie_clean.txt,"Pourquoi cette ironie dans le salut de le larbin retraité , si platement respectueux d' ordinaire ?","pourquoi ce NC dans le NCmod de le ADJ NCmod , si ADVMAN ADJ de NC ?"
22,Daudet/la_petite_paroisse copie_clean.txt,"Plus tard , les moindres détails de cette matinée lui reviendront à l' esprit avec une précision féroce ; il s' expliquera tous ces faits qui , maintenant , l' effleurent à peine , privés de signification .","plus tard , le ADJ NCs de ce NCmod lui VF à le NC avec un NCmod ADJ ; il se VDIC tout ce NC qui , ADVT , le PRES à NCSENT , PPAS de NC ."
23,Daudet/la_petite_paroisse copie_clean.txt,"Devant l' église , blanche comme une tombe neuve à le ras de le chemin poudreux , quelqu'un l' appela encore ; le vieux Mérivet , en haute-forme et longue blouse grise , un pinceau d' une main , de l' autre un pot de noir , très affairé à rafraîchir , comme il disait , l' inscription de sa devanture .","ADVLIEU le NC , ADJCOL comme un NC ADJ à le NCmod de le NCmod ADJ , quelqu'un le VPS encore ; le ADJ NP , en NCmod et ADJ NC ADJ , un NC de un NCCOR , de le autre un NC de NCmod , très PPAS à INF , comme il VDIC , le NCo de DETPOSS NCmod ."
24,Daudet/la_petite_paroisse copie_clean.txt,"― Regardez donc , voisin ... ça se lirait d' une lieue , à présent .","― IMP donc , ADJ ... ça se VCOND de un NC , à NC ."
25,Daudet/la_petite_paroisse copie_clean.txt,"Il s' écartait pour que le voisin pût admirer les lignes repeintes à neuf sur le crépi de la muraille , à la droite de le grand portail : CHEVALIER DE L' ORDRE DE SAINT-GRÉGOIRE-LE-GRAND Cette épigraphe résumait un drame de ménage que personne dans le pays ne connaissait bien .","il se VIMP pour que le NCs VSUBI VSENT le NCo PPAS à NCmod sur le NC de le NCmod , à le NC de le ADJ NCmod : NP de le NP NP NP ce NC VIMP un NCo de NCmod que PRES dans le NC ne VIMP bien ."
26,Daudet/la_petite_paroisse copie_clean.txt,"On savait seulement que M. Mérivet , à la mort de sa femme qu' il aimait à la folie , avait construit cette église en face de sa propriété et qu' il en prenait soin , avec sa cuisinière pour bedelle [ 322 ] et son valet de chambre pour sacristain , mettant sa fierté à la voir pleine de monde , le dimanche , quand le vicaire de Draveil , dont dépendent les Uzelles , y venait dire à neuf heures une courte messe .","on VCOG seulement que monsieur NP , à le NCmod de DETPOSS NCmod que il VSENT à le NC , avoir PPAS ce NCo en NC de DETPOSS NC et que il en VIMP NCo , avec DETPOSS NC pour NCmod [ NUM ] et DETPOSS NC de NCmod pour NCmod , mettre DETPOSS NCSENT à le VCOG ADJ de NC , le ADVT , quand le NCs de NP , dont PRES le NP , y venir VDIC à NUM NCT un ADJ NCo ."
27,Daudet/la_petite_paroisse copie_clean.txt,"C' est à propos de cet office de le dimanche , qu' il avait arrêté Fénigan à le passage , pour se plaindre de les gens de le château .","ce être à NC de ce NCmod de le ADVT , que il avoir PPAS NP à le NCmod , pour se INF de le NC de le NCmod ."
28,Daudet/la_petite_paroisse copie_clean.txt,"Comprend -on que ces dames allaient chercher leur messe à Draveil ou à l' orphelinat de Soisy , pendant que là , tout près ... ― C' est mal , mon voisin , très mal , insistait le petit vieux fourrageant son pot à le noir ; aucune de ces églises ne vaut la mienne .","VCOG on que ce NCs aller INF lui NCo à NP ou à le NC de NP , PHASE que ADVLIEU , tout ADVLIEU ... ― ce être mal , DETPOSS NC , très mal , VIMP le NCo ADJ PPRES DETPOSS NCo à le NC ; aucun de ce NCmod ne PRES le NCo ."
29,Daudet/la_petite_paroisse copie_clean.txt,"Elle porte chance , la mienne .","il PRES NCo , le NC ."
30,Daudet/la_petite_paroisse copie_clean.txt,"Si vous saviez sous quel patronage je l' ai placée , quelle nature c' était que mon Irène! ... La République écrit sur ses monuments : Liberté , Égalité , Fraternité ; à le fronton de celui-ci je devrais mettre : Pitié , Charité , Pardon ... On nous appelle la Petite Paroisse , la Bonne Paroisse serait plutôt notre vrai nom ; car en venant prier là , tous les gens mariés assurent le bonheur de leur ménage .","si vous PRES sous quel NC je le avoir PPAS , quel NC ce être que son NP ... le NC PPAS sur DETPOSS NC : NC , NC , NP ; à le NC de celui-ci je VCOND mettre : VSENT , NP , NP ... on nous PRES le ADJ NCo , le NP NP être plutôt DETPOSS vrai NC ; car en venir INF ADVLIEU , tout le NCs ADJ PRES le NCSENT de lui NCmod ."
31,Daudet/la_petite_paroisse copie_clean.txt,"Richard s' excusait , excusait ces dames ; le voisinage même de l' église était l' obstacle à leur bon vouloir .","NP se VIMP , VIMP ce NCs ; le NCo même de le NCmod être le NC à lui ADJ NCmod ."
32,Daudet/la_petite_paroisse copie_clean.txt,"Elles sortaient si rarement ; cette messe de le dimanche , à Draveil ou à l' orphelinat , leur donnait l' occasion de prendre l' air , de faire respirer les chevaux vraiment trop gras .","il VIMP si ADVTEMPS ; ce NCs de le ADVT , à NP ou à le NC , lui VIMP le NCo de INF le NCMAN , de faire INF le NCo ADVINT trop ADJ ."
33,Daudet/la_petite_paroisse copie_clean.txt,"Mais il en parlerait à sa mère , et avant peu Mmes Fénigan auraient leurs chaises à la Bonne Paroisse .","mais il en VCOND à DETPOSS NC , et PHASE peu NP NP avoir DETPOSS NCo à le ADJ NC ."
34,Daudet/la_petite_paroisse copie_clean.txt,Ce dernier mot le fit sourire .,ce ADJ NC le faire INF .
35,Daudet/la_petite_paroisse copie_clean.txt,"Il songeait à le surnom qui désignait dans le pays l' église de le père Mérivet , surnom peu fait pour y attirer les maris .","il VIMP à le NC qui VIMP dans le NC le NCo de le NCmod NP , surnom peu faire pour y VSENT le NCo ."
36,Daudet/la_petite_paroisse copie_clean.txt,"lorsqu' un troisième appel de cloche , saccadé , violent , le remit en route , et plus vivement cette fois .","lorsque un ADJ NCs de NCmod , PPAS , ADJ , le VPS en NC , et plus ADVINT ce fois ."
