id,titre,phrase,motifs_phrase
1,Daudet/rose_et_ninette copie_clean.txt,"[ 310 ] Divorcé depuis quinze jours , et tout à l' ivresse de la fin de sa peine , Régis de Fagan , ce matin-là , par les fenêtres large ouvertes de son nouvel appartement de garçon , guettait l' apparition de ses fillettes que le tribunal lui accordait deux dimanches par mois .","[ NUM ] PPAS depuis NUM NCT , et tout à le NCSENT de le NCmod de DETPOSS NCSENT , NP de NP , ce matin-là , par le NCmod ADJ PPAS de DETPOSS ADJ NC de NCmod , VIMP le NCo de DETPOSS NCmod que le NCs lui VIMP NUM ADVT par NCT ."
2,Daudet/rose_et_ninette copie_clean.txt,"C' était leur premier dimanche ; et dans l' amas de lettres de femmes , tombées depuis vingt ans sur sa table de vaudevilliste à la mode , bien peu lui avaient secoué le cœur d' autant d' émotion que ce simple billet arrivé la veille : Mon cher Père , Nous serons à Passy , demain matin , par le train de dix heures .","ce être lui ADJ ADVT ; et dans le NC de NCmod de NCmod , PPAS depuis NUM NCT sur DETPOSS NC de NCmod à le NC , bien peu lui avoir PPAS le NCo de autant de NCSENT que ce ADJ NCs PPAS le NC : son ADJ NP , nous PRES à NP , ADVT NCT , par le NC de NUM NCT ."
3,Daudet/rose_et_ninette copie_clean.txt,"Mademoiselle nous laissera devant le 37 , boulevard Beauséjour , et nous y prendra , le soir , à neuf heures très précises .","monsieur nous laisser ADVLIEU le NUM , NCmod NP , et nous y VF , le NCT , à NUM NCT très ADJ ."
4,Daudet/rose_et_ninette copie_clean.txt,Ta fille respectueuse et bien affectionnée .,NP NC ADJ et bien VSENT .
5,Daudet/rose_et_ninette copie_clean.txt,Rose de Fagan .,ADJCOL de NP .
6,Daudet/rose_et_ninette copie_clean.txt,"Au-dessous , la grosse écriture encore un peu bègue de la plus jeune sœur avait signé Ninette .","ADVLIEU , le ADJ NCs encore un peu NC de le plus ADJ NCmod avoir PPAS NP ."
7,Daudet/rose_et_ninette copie_clean.txt,"Et maintenant , dans l' angoisse de l' attente , il se demandait si bien réellement elles viendraient , si , à le dernier moment , la mère rusée et fourbe , ou cette impénétrable Mademoiselle , n' inventeraient pas quelque prétexte pour les retenir .","et ADVT , dans le NCSENT de le NCmod , il se VIMP si bien ADVINT il VIMP , si , à le ADJ NC , le NCs ADJ et ADJ , ou ce ADJ NP , ne VCOND pas quelque NCo pour le INF ."
8,Daudet/rose_et_ninette copie_clean.txt,Non qu' il doutât de la tendresse de ses enfants .,non que il VSUBI de le NCSENT de DETPOSS NCmod .
9,Daudet/rose_et_ninette copie_clean.txt,"Mais il les sentait si jeunes , Rose seize ans à peine , Nina pas encore douze , si faibles toutes deux pour résister à une hostile influence ; d' autant que sorties de le couvent depuis le divorce , elles restaient livrées à la mère et à la gouvernante .","mais il le sentir si ADJ , ADJCOL NUM NCT à NCSENT , NP pas encore NUM , si ADJ tout NUM pour INF à un ADJ NC ; de autant que NCs de le NCmod depuis le NCmod , il VIMP PPAS à le NC et à le NC ."
10,Daudet/rose_et_ninette copie_clean.txt,"Son avocat le lui avait bien dit : La partie n' est pas égale , mon pauvre Régis ; vous n' aurez que deux jours par mois , vous , pour vous faire aimer .","DETPOSS NCs le lui avoir bien VDIC : le NCs ne être pas ADJ , DETPOSS ADJ NP ; vous ne avoir que NUM NCT par NCT , vous , pour vous faire VSENT ."
11,Daudet/rose_et_ninette copie_clean.txt,"N' importe , avec ses deux jours bien employés , le père se sentait assez fort pour garder le cœur de ses chéries ; mais il les lui fallait , ces deux jours , strictement , sans tricheries , sans mauvais prétextes .","ne PRES , avec DETPOSS NUM NCT bien PPAS , le NCs se sentir ADV fort pour INF le NCo de DETPOSS NCmod ; mais il le lui VIMP , ce NUM NCT , ADVINT , sans NCmod , sans ADJ NCmod ."
12,Daudet/rose_et_ninette copie_clean.txt,"Et plus anxieux à mesure qu' avançait l' heure , plus ému par ce rendez-vous que par n' importe quel autre , passionnel ou intéressé , de son existence , Fagan s' agitait rageusement , penchant à les fenêtres son grand corps dans les deux directions de le boulevard de banlieue verdoyant et paisible que bordaient , d' un côté , la voie de le chemin de fer masquée d' un treillage et d' une haie , de l' autre , l' alignement d' élégants hôtels à les perrons , à les vases fleuris , à les pelouses soignées .","et plus ADJ à NC que VIMP le NCT , plus VSENT par ce NC que par ne PRES quel autre , ADJ ou VSENT , de DETPOSS NC , NP se VIMP ADVMAN , PPRES à le NC DETPOSS ADJ NCCOR dans le NUM NC de le NCmod de NCmod ADJ et ADJ que VIMP , de un NC , le NCs de le NCmod de NCmod PPAS de un NC et de un NC , de le autre , le NC de NCmod ADJ à le NCmod , à le NC ADJ , à le NC ADJ ."
13,Daudet/rose_et_ninette copie_clean.txt,"Bonjour , père ... c' est nous !","INTJ , NC ... ce être nous !"
14,Daudet/rose_et_ninette copie_clean.txt,Vous !,vous !
