id,titre,phrase,motifs_phrase
1,Flaubert/La Tentation de saint Antoine_clean.txt,"Dejonckeere , La tentation de Saint Antoine C' est dans la Thébaïde , à le haut d' une montagne , sur une plate-forme arrondie en demi-lune , et qu' enferment de grosses pierres .","NP , le NCSENT de NP NP ce être dans le NP , à le NC de un NCmod , sur un NC ADJ en NCmod , et que PRES un ADJ NCo ."
2,Flaubert/La Tentation de saint Antoine_clean.txt,La cabane de l' Ermite occupe le fond .,le NCs de le NP PRES le NCo .
3,Flaubert/La Tentation de saint Antoine_clean.txt,"Elle est faite de boue et de roseaux , à toit plat , sans porte .","il être faire de NC et de NC , à NC ADJ , sans NC ."
4,Flaubert/La Tentation de saint Antoine_clean.txt,"On distingue dans l' intérieur une cruche avec un pain noir ; à le milieu , sur une stèle de bois , un gros livre ; par terre , çà et là , de les filaments de sparterie , deux ou trois nattes , une corbeille , un couteau .","on VCOG dans le NC un NCo avec un NCmod ADJ ; à le milieu , sur un NC de NCmod , un ADJ NC ; par NC , ADV et ADVLIEU , de le NC de NCmod , NUM ou NUM NC , un NC , un NC ."
5,Flaubert/La Tentation de saint Antoine_clean.txt,"A dix pas de la cabane , il y a une longue croix plantée dans le sol; et , à l' autre bout de la plate-forme , un vieux palmier tordu se penche sur l' abîme , car la montagne est taillée à pic , et le Nil semble faire un lac à le bas de la falaise .","à NUM pas de le NCmod , il y avoir un ADJ NCo PPAS dans le sol; et , à le autre NC de le NCmod , un ADJ NCs ADJ se PRES sur le NC , car le NCspas être PPAS à NC , et le NCs sembler faire un NCo à le NC de le NCmod ."
6,Flaubert/La Tentation de saint Antoine_clean.txt,La vue est bornée à droite et à gauche par l' enceinte de les roches .,le NCspas être PPAS à NC et à NC par le NC de le NCmod .
7,Flaubert/La Tentation de saint Antoine_clean.txt,"Mais de le côté de le désert , comme de les plages qui se succéderaient , d' immenses ondulations parallèles d' un blond cendré s' étirent les unes derrière les autres , en montant toujours ; puis à le delà de les sables , tout à le loin , la chaîne libyque forme un mur couleur de craie , estompé légèrement par de les vapeurs violettes .","mais de le NC de le NCmod , comme de le NC qui se VIMP , un ADJ NCs ADJ de un ADJCOL ADJ se VPS le NCo ADVLIEU le autre , en PPRES ADVTEMPS ; puis à le delà de le NCmod , tout à le ADVLIEU , le NCs ADJ PRES un NCo NC de NCmod , PPAS ADVINT par de le NC ADJ ."
8,Flaubert/La Tentation de saint Antoine_clean.txt,"En face , le soleil s' abaisse .","en NC , le NCs se PRES ."
9,Flaubert/La Tentation de saint Antoine_clean.txt,"Le ciel , dans le nord , est d' une teinte gris-perle , tandis qu' à le zénith de les nuages de pourpre , disposés comme les flocons d' une crinière gigantesque , s' allongent sur la voûte bleue .","le NCs , dans le NCmod , être de un NC ADJ , PHASE que à le NC de le NCmod de ADJCOL , PPAS comme le NC de un NCmod ADJ , se PRES sur le NC ADJCOL ."
10,Flaubert/La Tentation de saint Antoine_clean.txt,"Ces rais de flamme se rembrunissent , les parties d' azur prennent une pâleur nacrée ; les buissons , les cailloux , la terre , tout maintenant paraît dur comme de le bronze ; et dans l' espace flotte une poudre d' or tellement menue qu' elle se confond avec la vibration de la lumière .","ce NCs de NCmod se PRES , le NCs de NCmod PRES un NCo ADJ ; le NCs , le NC , le NC , tout ADVT paraître ADV comme de le NC ; et dans le NC VSUBP un NCo de NCmod ADVINT PPAS que il se PRES avec le NC de le NCmod ."
11,Flaubert/La Tentation de saint Antoine_clean.txt,"SAINT-ANTOINE qui a une longue barbe , de longs cheveux , et une tunique de peau de chèvre , est assis , jambes croisées , entrain de faire de les nattes .","NCs qui avoir un ADJ NCCOR , de ADJ NCCOR , et un NC de NCCOR de NCmod , être NC , NCCOR ADJ , NC de faire de le NC ."
12,Flaubert/La Tentation de saint Antoine_clean.txt,"Dès que le soleil disparaît , il pousse un grand soupir , et regardant l' horizon : Encore un jour !","dès que le NCs PRES , il PRES un ADJ NCo , et VCOG le NCo : encore un NCT !"
13,Flaubert/La Tentation de saint Antoine_clean.txt,un jour de passé !,un NCT de passer !
14,Flaubert/La Tentation de saint Antoine_clean.txt,"Autrefois pourtant , je n' étais pas si misérable !","ADVT pourtant , je ne être pas si ADJ !"
15,Flaubert/La Tentation de saint Antoine_clean.txt,"Avant la fin de la nuit , je commençais mes oraisons ; puis , je descendais vers le fleuve chercher de l' eau , et je remontais par le sentier rude avec l' outre sur mon épaule , en chantant de les hymnes .","PHASE le NC de le NCT , je VIMP DETPOSS NCo ; puis , je VIMP vers le NC INF de le NCo , et je VSENT par le NC ADJ avec le ADV sur DETPOSS NCCOR , en PPRES de le NC ."
16,Flaubert/La Tentation de saint Antoine_clean.txt,"Ensuite , je m' amusais à ranger tout dans ma cabane .","PHASE , je se VIMP à INF tout dans DETPOSS NC ."
17,Flaubert/La Tentation de saint Antoine_clean.txt,Je prenais mes outils ; je tâchais que les nattes fussent bien égales et les corbeilles légères ; car mes moindres actions me semblaient alors de les devoirs qui n' avaient rien de pénible .,je PRES DETPOSS NCo ; je VIMP que le NCs PRES bien ADJ et le NC ADJ ; car DETPOSS ADJ NCs me VIMP alors de le NC qui ne avoir rien de ADJ .
