id,titre,phrase,motifs_phrase
1,Flaubert/Trois contes_clean.txt,"Un cœur simple : extrait de brouillon Pendant un demi-siècle , les bourgeoises de Pont-l'Évêque envièrent à Mme Aubain sa servante Félicité .","un NCs ADJ : NC de NCmod PHASE un NCmod , le NC de NP VPS à madame NP DETPOSS ADJ NCSENT ."
2,Flaubert/Trois contes_clean.txt,"Pour cent francs par an , elle faisait la cuisine et le ménage , cousait , lavait , repassait , savait brider un cheval , engraisser les volailles , battre le beurre , et resta fidèle à sa maîtresse , qui cependant n' était pas une personne agréable .","pour NUM NC par NCT , il faire le NCo et le NC , VIMP , VIMP , VIMP , VCOG INF un NCo , INF le NCo , INF le NCo , et VPS ADJ à DETPOSS NC , qui cependant ne être pas un NC ADJ ."
3,Flaubert/Trois contes_clean.txt,"Elle avait épousé un beau garçon sans fortune , mort à le commencement de 1809 , en lui laissant deux enfants très jeunes avec une quantité de dettes .","il avoir PPAS un ADJ NCo sans NCmod , PPAS à le NC de NUM , en lui laisser NUM NCo très ADJ avec un NC de NCmod ."
4,Flaubert/Trois contes_clean.txt,"Alors elle vendit ses immeubles , sauf la ferme de Toucques et la ferme de Geffosses , dont les rentes montaient à 8 , 000 francs tout à le plus , et elle quitta sa maison de Saint-Melaine pour en habiter une autre moins dispendieuse , ayant appartenu à ses ancêtres et placée derrière les halles .","alors il VPS DETPOSS NCo , sauf le NC de NP et le NC de NP , dont le NCs VIMP à NUM , NUM NC tout à le plus , et il VPS DETPOSS NCo de NP pour en INF un autre moins ADJ , avoir PPAS à DETPOSS NC et PPAS ADVLIEU le NC ."
5,Flaubert/Trois contes_clean.txt,"Cette maison , revêtue d' ardoises , se trouvait entre un passage et une ruelle aboutissant à la rivière .","ce NCs , PPAS de NC , se VIMP entre un NC et un NC PPRES à le NC ."
6,Flaubert/Trois contes_clean.txt,Elle avait intérieurement de les différences de niveau qui faisaient trébucher .,il avoir ADV de le NC de NCmod qui faire INF .
7,Flaubert/Trois contes_clean.txt,"Un vestibule étroit séparait la cuisine de la salle où Mme Aubain se tenait tout le long de le jour , assise près de la croisée dans un fauteuil de paille .","un NCs ADJ VIMP le NCo de le NCmod où madame NP se VIMP tout le NC de le NCT , PPAS ADVLIEU de le NC dans un NC de NCmod ."
8,Flaubert/Trois contes_clean.txt,"Contre le lambris , peint en blanc , s' alignaient huit chaises d' acajou .","contre le NC , PPAS en ADJCOL , se VIMP NUM NCo de NCmod ."
9,Flaubert/Trois contes_clean.txt,"Un vieux piano supportait , sous un baromètre , un tas pyramidal de boîtes et de cartons .","un ADJ NCs VIMP , sous un NC , un NC ADJ de NCmod et de NC ."
10,Flaubert/Trois contes_clean.txt,Deux bergères de tapisserie flanquaient la cheminée en marbre jaune et de style Louis XV .,NUM NCs de NCmod VIMP le NCo en NCmod ADJCOL et de NC NP NUM .
11,Flaubert/Trois contes_clean.txt,"La pendule , à le milieu , représentait un temple de Vesta ; et tout l' appartement sentait un peu le moisi , car le plancher était plus bas que le jardin .","le NCs , à le milieu , VIMP un NCo de NP ; et tout le NCs sentir un peu le NCo , car le NCs être plus ADJ que le NC ."
12,Flaubert/Trois contes_clean.txt,"À le premier étage , il y avait d' abord la chambre de Madame , très grande , tendue d' un papier à fleurs pâles , et contenant le portrait de Monsieur en costume de muscadin .","à le ADJ NC , il y avoir de NC le NCo de madame , très ADJ , PPAS de un NC à NCmod ADJ , et PPRES le NCo de monsieur en NC de NCmod ."
13,Flaubert/Trois contes_clean.txt,"Elle communiquait avec une chambre plus petite , où l' on voyait deux couchettes d' enfants , sans matelas .","il VIMP avec un NC plus ADJ , où l' on VCOG NUM NCo de NCmod , sans NCmod ."
14,Flaubert/Trois contes_clean.txt,"Puis venait le salon , toujours fermé , et rempli de meubles recouverts d' un drap .","puis venir le NCo , ADVTEMPS PPAS , et PPAS de NC PPAS de un NC ."
15,Flaubert/Trois contes_clean.txt,Ensuite un corridor menait à un cabinet d' étude ; de les livres et de les paperasses garnissaient les rayons d' une bibliothèque entourant de ses trois côtés un large bureau de bois noir .,PHASE un NCs VIMP à un NC de NCmod ; de le NCmod et de le NC VIMP le NCo de un NCmod PPRES de DETPOSS NUM NC un ADJ NCo de NCmod ADJ .
16,Flaubert/Trois contes_clean.txt,"Les deux panneaux en retour disparaissaient sous de les dessins à la plume , de les paysages à la gouache et de les gravures d' Audran , souvenirs d' un temps meilleur et d' un luxe évanoui .","le NUM NCs en NCmod VIMP sous de le NC à le NCmod , de le NC à le NCmod et de le NC de NP , NC de un temps meilleur et de un NC ADJ ."
17,Flaubert/Trois contes_clean.txt,"Une lucarne à le second étage éclairait la chambre de Félicité , ayant vue sur les prairies .","un NCs à le ADJ NCmod VIMP le NCo de NCSENT , avoir NCo sur le NC ."
18,Flaubert/Trois contes_clean.txt,"Elle se levait dès l' aube , pour ne pas manquer la messe , et travaillait jusqu' à le soir sans interruption ; puis , le dîner étant fini , la vaisselle en ordre et la porte bien close , elle enfouissait la bûche sous les cendres et s' endormait devant l' âtre , son rosaire à la main .","il se VIMP dès le NC , pour ne pas INF le NCo , et VIMP jusque à le NCT sans NC ; puis , le NCs être VASP , le NC en NCmod et le NC bien ADJ , il VIMP le NCo sous le NC et se VIMP ADVLIEU le NC , DETPOSS NC à le NCCOR ."
19,Flaubert/Trois contes_clean.txt,"Personne , dans les marchandages , ne montrait plus d' entêtement .","personne , dans le NC , ne VIMP plus de NC ."
20,Flaubert/Trois contes_clean.txt,"Quant à la propreté , le poli de ses casseroles faisait le désespoir de les autres servantes .","quant à le NC , le NCs de DETPOSS NCmod faire le NCSENT de le autre NCmod ."
21,Flaubert/Trois contes_clean.txt,"Économe , elle mangeait avec lenteur , et recueillait de le doigt sur la table les miettes de son pain , un pain de douze livres , cuit exprès pour elle , et qui durait vingt jours .","NC , il VIMP avec NC , et VIMP de le NCCOR sur le NCmod le NCo de DETPOSS NCmod , un NC de NUM NCmod , PRES ADV pour il , et qui PRES NUM NCT ."
22,Flaubert/Trois contes_clean.txt,"En toute saison elle portait un mouchoir d' indienne fixé dans le dos par une épingle , un bonnet lui cachant les cheveux , de les bas gris , un jupon rouge , et par-dessus sa camisole un tablier à bavette , comme les infirmières d' hôpital .","en tout NC il VIMP un NCo de ADJ NCmod dans le NCCOR par un NC , un NC lui PPRES le NCCOR , de le NCmod ADJCOL , un NC ADJCOL , et ADV DETPOSS NC un NC à NCmod , comme le NCmod de NCmod ."
23,Flaubert/Trois contes_clean.txt,Son visage était maigre et sa voix aiguë .,DETPOSS NCCOR être ADJ et DETPOSS NCMAN ADJ .
24,Flaubert/Trois contes_clean.txt,"A vingt-cinq ans , on lui en donnait quarante .","à NUM NCT , on lui en VIMP NUM ."
25,Flaubert/Trois contes_clean.txt,"Dès la cinquantaine , elle ne marqua plus aucun âge; et , toujours silencieuse , la taille droite et les gestes mesurés , semblait une femme en bois , fonctionnant d' une manière automatique .","dès le NC , il ne VPS plus aucun âge; et , ADVTEMPS ADJ , le NC ADJ et le NCs PPAS , sembler un NCo en NCmod , PPRES de un NC ADJ ."
26,Flaubert/Trois contes_clean.txt,"Elle avait eu , comme une autre , son histoire d' amour .","il avoir avoir , comme un autre , DETPOSS NCo de NCSENT ."
27,Flaubert/Trois contes_clean.txt,"Son père , un maçon , s' était tué en tombant d' un échafaudage .","DETPOSS NCs , un NC , se être PPAS en PPRES de un NC ."
28,Flaubert/Trois contes_clean.txt,"Puis sa mère mourut , ses soeurs se dispersèrent , un fermier la recueillit , et l' employa toute petite à garder les vaches dans la campagne .","puis DETPOSS NCs VPS , DETPOSS NCs se VPS , un NCs le VPS , et le NC ADJ ADJ à INF le NCo dans le NC ."
29,Flaubert/Trois contes_clean.txt,"Elle grelottait sous de les haillons , buvait à plat ventre l' eau de les mares , à propos de rien était battue , et finalement fut chassée pour un vol de trente sols , qu' elle n' avait pas commis .","il VIMP sous de le NC , VIMP à NC ventrer le NC de le NCmod , à NCmod de rien être PPAS , et ADV être PPAS pour un NC de NUM NCmod , que il ne avoir pas PPAS ."
30,Flaubert/Trois contes_clean.txt,"Elle entra dans une autre ferme , y devint fille de basse-cour , et , comme elle plaisait à les patrons , ses camarades la jalousaient .","il VPS dans un autre NC , y devenir NC de NCmod , et , comme il VIMP à le NC , DETPOSS NCs le VIMP ."
31,Flaubert/Trois contes_clean.txt,"Un soir de le mois d' août ( elle avait alors dix-huit ans ) , ils l' entraînèrent à l' assemblée de Colleville .","un NCT de le NCT de MOIS ( il avoir alors NUM NCT ) , il le VPS à le NC de NP ."
32,Flaubert/Trois contes_clean.txt,"Tout de suite elle fut étourdie , stupéfaite par le tapage de les ménétriers , les lumières dans les arbres , la bigarrure de les costumes , les dentelles , les croix d' or , cette masse de monde sautant à la fois .","tout de NC il être VSENT , PPAS par le NC de le NCmod , le NC dans le NCmod , le NC de le NCmod , le NC , le NC de NCmod , ce NC de NCmod PPRES à le fois ."
33,Flaubert/Trois contes_clean.txt,"Elle se tenait à l' écart modestement , quand un jeune homme d' apparence cossue , et qui fumait sa pipe les deux coudes sur le timon d' un banneau , vint l' inviter à la danse .","il se VIMP à le NC ADVMAN , quand un ADJ NCs de NCmod ADJ , et qui VIMP DETPOSS NCo le NUM NCCOR sur le NCmod de un NCmod , venir le INF à le NC ."
34,Flaubert/Trois contes_clean.txt,"Il lui paya de le cidre , de le café , de la galette , un foulard , et , s' imaginant qu' elle le devinait , offrit de la reconduire .","il lui VPS de le NC , de le NC , de le NC , un NC , et , se VCOG que il le VCOG , NC de le INF ."
35,Flaubert/Trois contes_clean.txt,"À le bord d' un champ d' avoine , il la renversa brutalement .","à le NC de un NCmod de NCmod , il le VPS ADVMAN ."
36,Flaubert/Trois contes_clean.txt,Elle eut peur et se mit à crier .,il avoir NCSENT et se mettre à VDIC .
37,Flaubert/Trois contes_clean.txt,Il s' éloigna .,il se VPS .
38,Flaubert/Trois contes_clean.txt,"Un autre soir , sur la route de Beaumont , elle voulut dépasser un grand chariot de foin qui avançait lentement , et en frôlant les roues elle reconnut Théodore .","un autre NCT , sur le NC de NP , il vouloir INF un ADJ NCo de NCmod qui VIMP ADV , et en PPRES le NCo il VCOG NP ."
39,Flaubert/Trois contes_clean.txt,"Il l' aborda d' un air tranquille , disant qu' il fallait tout pardonner , puisque c' était la faute de la boisson .","il le VPS de un NCMAN ADJ , VDIC que il VIMP tout INF , puisque ce être le NC de le NCmod ."
40,Flaubert/Trois contes_clean.txt,Elle ne sut que répondre et avait envie de s' enfuir .,il ne PRES que VDIC et avoir NCo de se INF .
41,Flaubert/Trois contes_clean.txt,"Aussitôt il parla de les récoltes et de les notables de la commune , car son père avait abandonné Colleville pour la ferme de les Écots , de sorte que maintenant ils se trouvaient voisins .","aussitôt il VPS de le NC et de le NC de le NCmod , car DETPOSS NCs avoir PPAS NP pour le NC de le NCmod , de sorte que ADVT il se VIMP NCo ."
42,Flaubert/Trois contes_clean.txt,Ah !,INTJ !
43,Flaubert/Trois contes_clean.txt,dit -elle .,VDIC il .
44,Flaubert/Trois contes_clean.txt,Il ajouta qu' on désirait l' établir .,il VPS que on VSENT le INF .
