id,titre,phrase,motifs_phrase
1,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,Un article ?,un NC ?
2,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,… Tu me demandes s' il y a un article dans mon histoire ?,… je me PRES si il y avoir un NCo dans DETPOSS NC ?
3,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,"Mais , malheureux , un enfant de six ans en ferait une comédie en vers , les yeux bandés !","mais , ADJ , un NCs de NUM NCT en faire un NCo en NC , le NCCOR PPAS !"
4,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,"Scène première : le foyer de la Comédie-Française … tu comprends … la maison de Molière … Talma… les souvenirs … la tirade : c' est là où César cause avec Scapin , où Melpomène prend l' éventail de Thalie , où … où … où … il n' y a pas de raison pour que ça finisse !","NP ADJ : le NC de le NP … je VCOG … le NC de NP … NP le NC … le NC : ce être ADVLIEU où NP PRES avec NP , où NP PRES le NCo de NP , où … où … où … il ne y avoir pas un NCo pour que ça VSUBP !"
5,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,"Tu passes à les indiscrétions : Provost et Anselme qui jouent à les échecs , l' ingénue qui demande une glace , l' huissier qui fait découvrir le grand-duc héréditaire de Toscane , et mademoiselle Fix qui le fait rougir de ne s' être point découvert de lui-même , la Société de le rachat de les captifs … Hein !","je NC à le NCmod : NP et NP qui PRES à le NC , le NC qui PRES un NCo , le NC qui faire VCOG le NCo ADJ de NP , et monsieur NP qui le faire INF de ne se être ADV VCOG de soi-même , le NC de le NCmod de le NCmod … NP !"
6,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,la société ?,le NC ?
7,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,… Tu ne la connais pas ?,… je ne le PRES pas ?
8,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,C' est pourtant une société secrète … Devine ce qu' il y a dans le foyer de la Comédie ?,ce être pourtant un NC ADJ … VCOG ce que il y avoir dans le NC de le NP ?
9,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,… Il y a de les poulpes !,… il y avoir de le NC !
10,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,C' est terrible !,ce être ADJ !
11,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,"Une fois accroché , c' est fini !","un fois PPAS , ce être ADJ !"
12,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,"ils vous entraînent à le fond de leur conversation … Voilà , je suppose , un homme ou une femme , les poulpes n' y regardent pas , Got , si tu veux , ou mademoiselle Ricquier , pincés par Frappart ou par M. Benett , l' auteur anglais … très bien !","il vous PRES à le NC de lui NCmod … voilà , je VCOG , un NCo ou un NC , le NCs ne y VCOG pas , NP , si je PRES , ou monsieur NP , PPAS par NP ou par monsieur NP , le NC ADJ … très bien !"
13,Goncourt/Charles Demailly - Edmond de Goncourt & Jules de Goncourt_clean.txt,Un membre de la Société accourt : Pardon !,un NCs de le NCmod PRES : NP !
