id,titre,phrase,motifs_phrase
1,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","Edmond de Goncourt Les Frères Zemganno En pleine campagne , à le pied d' un poteau d' octroi dressé dans un carrefour , se croisaient quatre routes .","NP de NP le NP NP en ADJ NC , à le NCCOR de un NCmod de NCmod PPAS dans un NC , se VIMP NUM NCo ."
2,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","La première , qui passait devant un château Louis XIII moderne où sonnait le premier coup de le dîner , s' élevait par de longs circuits à le haut d' une montagne abrupte .","le ADJ , qui VIMP ADVLIEU un NC NP NUM ADJ où VIMP le ADJ NCo de le NCmod , se VIMP par un ADJ NC à le NC de un NCmod ADJ ."
3,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","La seconde bordée de noyers , et qui devenait à le bout de vingt pas un mauvais chemin vicinal , se perdait entre de les collines à les flancs plantés de vignes , à les sommets en friche .","le ADJ NCs de NCmod , et qui devenir à le NC de NUM pas un ADJ NCo ADJ , se VIMP entre de le NC à le NCmod PPAS de NC , à le NCmod en NCmod ."
4,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt",La quatrième côtoyait de les carrières de balast encombrées de claies de fer à trier le sablon et de tombereaux à les roues cassées .,le NCs VIMP de le NC de NCmod PPAS de NC de NCmod à INF le NCo et de NC à le NCmod PPAS .
5,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","Cette route , à laquelle aboutissaient les trois autres , menait par un pont , sonore sous les voitures , à une petite ville bâtie en amphithéâtre sur de les rochers , et isolée par une grande rivière dont un .","ce NCs , à lequel VIMP le NUM autre , VIMP par un NC , INF sous le NC , à un ADJ NC PPAS en NC sur un le NC , et PPAS par un ADJ NC dont un ."
6,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","détour , coulant à travers de les plantages , baignait l' extrémité d' un pré touchant à le carrefour .","INTJ , PPRES à travers de le NC , VIMP le NCo de un NCmod PPRES à le NC ."
7,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","De les oiseaux traversaient à tire d' ailes le ciel encore ensoleillé , en poussant de petits cris , de petits bonsoirs aigus .","de le NC VIMP à NC de NCmod le NCo encore PPAS , en PPRES un ADJ NCo , de ADJ NC ADJ ."
8,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt",De le froid descendait dans les ombres de les arbres et de le violet dans les ornières de les chemins .,de le NC VIMP dans le NC de le NCmod et de le ADJCOL dans le NC de le NCmod .
9,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt",On n' entendait plus que de loin en loin la plainte d' un essieu fatigué .,on ne VCOG plus que de ADVLIEU en ADVLIEU le NC de un NCmod ADJ .
10,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt",Un grand silence montait de les champs vides et désertés de la vie humaine jusqu' à le lendemain .,un ADJ NCs VIMP de le NC ADJ et PPAS de le NC ADJ jusque à le NCmod .
11,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","L' eau même de la rivière , dont les rides ne s' apercevaient qu' autour d' une branche qui trempait , semblait perdre son activité fluide , et le courant paraissait couler en se reposant .","le NCs même de le NCmod , dont le NCs ne se VIMP que ADV de un NC qui VIMP , sembler INF DETPOSS NCo ADJ , et le NCs paraître INF en se PPRES ."
12,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","Alors dans la route tortueuse qui descendait de la montagne , débouchait avec le bruit de ferraille d' une machine à enrayer détraquée , une guimbarde étrange , attelée d' un cheval blanc poussif .","alors dans le NC ADJ qui VIMP de le NC , VIMP avec le NC de NCmod de un NCmod à INF PPAS , un NC ADJ , PPAS de un NC ADJCOL ADJ ."
13,"Goncourt/Frères Zemganno, Les - Edmond de Goncourt_clean.txt","C' était une immense voiture peinte d' une large bande orange sur sa couverte de zinc oxydée et rouillée , et qui avait devant une espèce de petit porche , où un brin de lierre , planté dans une marmite rapiécée , accrochait un fronton de verdure voyageuse que secouait chaque cahot .","ce être un ADJ NC PPAS de un ADJ NC ADJCOL sur DETPOSS NCmod de NCmod PPAS et PPAS , et qui avoir ADVLIEU un espèce de ADJ NCmod , où un NCs de NCmod , NC dans un NCmod ADJ , VIMP un NCo de NCmod ADJ que VIMP chaque NCs ."
