id,titre,phrase,motifs_phrase
1,Goncourt/Germinie Lacerteux copie_clean.txt,Germinie Lacerteux Le roman de les classes indignes Sauvée !,NP NP le NC de le NCmod ADJ NP !
2,Goncourt/Germinie Lacerteux copie_clean.txt,"vous voilà donc sauvée , mademoiselle !","vous voilà donc PPAS , monsieur !"
3,Goncourt/Germinie Lacerteux copie_clean.txt,"fit avec un cri de joie la bonne qui venait de fermer la porte sur le médecin , et , se précipitant vers le lit où était couchée sa maîtresse , elle se mit avec une frénésie de bonheur et une furie de caresses à embrasser , par-dessus les couvertures , le pauvre corps tout maigre de la vieille femme , tout petit dans le lit trop grand comme un corps d' enfant .","faire avec un NC de NCSENT le ADJ qui venir de INF le NCo sur le NCmod , et , se PPRES vers le NC où être PPAS DETPOSS NCs , il se mettre avec un NC de NCSENT et un NC de NCmod à INF , ADV le NCo , le ADJ NCCOR tout ADJ de le ADJ NCmod , tout ADJ dans le NC trop ADJ comme un NCCOR de NCmod ."
4,Goncourt/Germinie Lacerteux copie_clean.txt,"La vieille femme lui prit silencieusement la tête dans ses deux mains , la serra contre son cœur , poussa un soupir , et laissa échapper : Allons !","le ADJ NCs lui VPS ADV le NCCOR dans DETPOSS NUM NCCOR , le NC contre DETPOSS NCmod , VPS un NCo , et laisser INF : NP !"
5,Goncourt/Germinie Lacerteux copie_clean.txt,il faut donc vivre encore !,il PRES donc INF encore !
6,Goncourt/Germinie Lacerteux copie_clean.txt,"Ceci se passait dans une petite chambre dont la fenêtre montrait un étroit morceau de ciel coupé de trois noirs tuyaux de tôle , de les lignes de toits , et à le loin , entre deux maisons qui se touchaient presque , la branche sans feuilles d' un arbre qu' on ne voyait pas .","ceci se VIMP dans un ADJ NC dont le INF VIMP un ADJ NCo de NCmod PPAS de NUM NC ADJ de NCmod , de le NC de NCmod , et à le ADVLIEU , entre NUM NCmod qui se VIMP presque , le NC sans NCmod de un NCmod que on ne VCOG pas ."
7,Goncourt/Germinie Lacerteux copie_clean.txt,"Dans la chambre , sur la cheminée , posait dans une boîte d' acajou carrée une pendule à le large cadran , à les gros chiffres , à les heures lourdes .","dans le NC , sur le NCmod , VIMP dans un NC de NCmod ADJ un NCo à le ADJ NCmod , à le ADJ NCmod , à le NCT ADJ ."
8,Goncourt/Germinie Lacerteux copie_clean.txt,"À côté deux flambeaux , faits de trois cygnes argentés tendant leur col autour d' un carquois doré , étaient sous verre .","à NC NUM NC , faire de NUM NC PPAS PPRES lui NCo ADV de un NC ADJCOL , être sous NC ."
9,Goncourt/Germinie Lacerteux copie_clean.txt,"Près de la cheminée , un fauteuil à la Voltaire , recouvert d' une de ces tapisseries à dessin de damier que font les petites filles et les vieilles femmes , étendait ses bras vides .","ADVLIEU de le NC , un NCs à le NP , PPAS de un de ce NCmod à NCmod de NCmod que faire le ADJ NCs et le ADJ NC , VIMP DETPOSS NCCOR ADJ ."
10,Goncourt/Germinie Lacerteux copie_clean.txt,"Deux petits paysages d' Italie , dans le goût de Bertin , une aquarelle de fleurs avec une date à l' encre rouge à le bas , quelques miniatures , pendaient accrochés à le mur .","NUM ADJ NCs de NP , dans le NC de NP , un NC de NCmod avec un NCmod à le NCmod ADJCOL à le NCmod , quelque NC , VIMP PPAS à le NC ."
11,Goncourt/Germinie Lacerteux copie_clean.txt,"Sur la commode d' acajou , d' un style Empire , un Temps en bronze noir et courant , sa faux en avant , servait de porte-montre à une petite montre à le chiffre de diamants sur émail bleu entouré de perles .","sur le NC de NCmod , de un NCmod NC , un temps en NCmod ADJ et ADJ , DETPOSS NC en PHASE , VIMP de NC à un ADJ NCmod à le NCmod de NCmod sur NCmod ADJCOL PPAS de NC ."
12,Goncourt/Germinie Lacerteux copie_clean.txt,"Sur le parquet , un tapis flammé allongeait ses bandes noires et vertes .","sur le NC , un NCs ADJ VIMP DETPOSS NCo ADJ et ADJCOL ."
13,Goncourt/Germinie Lacerteux copie_clean.txt,"À la fenêtre et à le lit , les rideaux étaient d' une ancienne perse à dessins rouges sur fond chocolat .","à le NC et à le NC , le NCs être de un ADJ NC à NCmod ADJCOL sur ADJ NCmod ."
14,Goncourt/Germinie Lacerteux copie_clean.txt,"À la tête de le lit , un portrait s' inclinait sur la malade , et semblait de le regard peser sur elle .","à le NCCOR de le NCmod , un NCs se VIMP sur le NC , et sembler de le NCMAN INF sur il ."
15,Goncourt/Germinie Lacerteux copie_clean.txt,"Un homme à les traits durs y était représenté , dont le visage sortait de le haut collet d' un habit de satin vert , et d' une de ces cravates lâches et flottantes , d' une de ces mousselines mollement nouées autour de les têtes par la mode de les premières années de la Révolution .","un NCspas à le NCmod ADJ y être PPAS , dont le NCCOR VIMP de le ADJ NC de un NC de NCmod ADJCOL , et de un de ce NCmod ADJ et ADJ , de un de ce NCmod ADVMAN PPAS ADV de le NCCOR par le NCmod de le ADJ NCT de le NCmod ."
16,Goncourt/Germinie Lacerteux copie_clean.txt,La vieille femme couchée dans le lit ressemblait à cette figure .,le ADJ NCs PPAS dans le NC VIMP à ce NCCOR .
17,Goncourt/Germinie Lacerteux copie_clean.txt,"Elle avait les mêmes sourcils épais , noirs , impérieux , le même nez aquilin , les mêmes lignes nettes de volonté , de résolution , d' énergie .","il avoir le même NCCOR ADJ , ADJ , ADJ , le même NCCOR ADJ , le même NC ADJ de NCmod , de NC , de NC ."
18,Goncourt/Germinie Lacerteux copie_clean.txt,Le portrait semblait se refléter sur elle comme le visage d' un père sur le visage d' une fille .,le NCs sembler se INF sur il comme le NCCOR de un NCmod sur le NCCOR de un NCmod .
19,Goncourt/Germinie Lacerteux copie_clean.txt,"Mais chez elle la dureté de les traits était adoucie par un rayon de rude bonté , je ne sais quelle flamme de mâle dévouement et de charité masculine .","mais chez il le NCspas de le NCmod être VSENT par un NC de NCmod ADJ , je ne VCOG quel NCo de ADJ NCmod et de NC ADJ ."
20,Goncourt/Germinie Lacerteux copie_clean.txt,"Le jour qui éclairait la chambre était un de ces jours que le printemps fait , lorsqu' il commence , le soir vers les cinq heures , un jour qui a de les clartés de cristal et de les blancheurs d' argent , un jour froid , virginal et doux , qui s' éteint dans le rose de le soleil avec de les pâleurs de limbes .","le NCT qui VIMP le NCo être un de ce NCT que le NCs faire , lorsque il PRES , le NCT vers le NUM NCT , un NCT qui avoir de le NC de NCmod et de le NC de NCmod , un NCT ADJ , ADJ et ADJ , qui se PRES dans le ADJCOL de le NCmod avec de le NCmod de NCmod ."
21,Goncourt/Germinie Lacerteux copie_clean.txt,"Le ciel était plein de cette lumière d' une nouvelle vie , adorablement triste comme la terre encore dépouillée , et si tendre qu' elle pousse le bonheur à pleurer .","le NCs être ADJ de ce NC de un ADJ NCmod , ADVINT ADJ comme le NC encore PPAS , et si INF que il PRES le NCSENT à INF ."
22,Goncourt/Germinie Lacerteux copie_clean.txt,Eh bien !,INTJ bien !
23,Goncourt/Germinie Lacerteux copie_clean.txt,voilà ma bête de Germinie qui pleure ?,voilà DETPOSS NCo de NP qui PRES ?
24,Goncourt/Germinie Lacerteux copie_clean.txt,dit à le bout d' un instant la vieille femme en retirant ses mains mouillées sous les baisers de sa bonne .,VDIC à le NC de un NCmod le ADJ NC en PPRES DETPOSS NCCOR PPAS sous le NC de DETPOSS ADJ .
25,Goncourt/Germinie Lacerteux copie_clean.txt,Ah !,INTJ !
26,Goncourt/Germinie Lacerteux copie_clean.txt,"ma bonne demoiselle , je voudrais toujours pleurer comme ça !","DETPOSS ADJ NC , je vouloir ADVTEMPS INF comme ça !"
27,Goncourt/Germinie Lacerteux copie_clean.txt,c' est si bon !,ce être si ADJ !
28,Goncourt/Germinie Lacerteux copie_clean.txt,ça me fait revoir ma pauvre mère … et tout !… si vous saviez !,ça me faire VCOG DETPOSS ADJ NCo … et tout !… si vous PRES !
29,Goncourt/Germinie Lacerteux copie_clean.txt,"Va , va… lui dit sa maîtresse en fermant les yeux pour écouter , dis-moi ça … Ah !","NP , NP lui VDIC DETPOSS NCo en PPRES le NCCOR pour VCOG , NCmod ça … INTJ !"
30,Goncourt/Germinie Lacerteux copie_clean.txt,ma pauvre mère !… La bonne s' arrêta .,DETPOSS ADJ NC !… le NCs se VPS .
31,Goncourt/Germinie Lacerteux copie_clean.txt,"Puis , avec le flot de paroles qui jaillit de les larmes heureuses , elle reprit , comme si , dans l' émotion et l' épanchement de sa joie , toute son enfance refluait à son cœur : La pauvre femme !","puis , avec le NC de NCmod qui PRES de le NC ADJ , il VPS , comme si , dans le NCSENT et le NC de DETPOSS NCSENT , tout DETPOSS NCs VIMP à DETPOSS NC : le ADJ NC !"
32,Goncourt/Germinie Lacerteux copie_clean.txt,"Je la revois la dernière fois qu' elle est sortie … pour me mener à la messe … un 21 janvier , je me rappelle … On lisait dans ce temps -là le testament de le roi … Ah !","je le NC le ADJ fois que il être PPAS … pour me INF à le NC … un NUM NCmod , je me PRES … on VIMP dans ce temps ADVLIEU le NCo de le NCmod … INTJ !"
33,Goncourt/Germinie Lacerteux copie_clean.txt,"elle en a eu de les maux pour moi , maman !","il en avoir avoir de le mal pour soi , NC !"
34,Goncourt/Germinie Lacerteux copie_clean.txt,"Elle avait quarante-deux ans , quand elle a été pour m' avoir… papa l' a fait assez pleurer !","il avoir NUM NCT , quand il avoir être pour se NP NP le avoir faire ADV INF !"
35,Goncourt/Germinie Lacerteux copie_clean.txt,"Nous étions déjà trois , et il n' y avait pas tant de pain à la maison … Et puis il était fier comme tout … Nous n' aurions eu qu' une cosse de pois , qu' il n' aurait jamais voulu de les secours de le curé … Ah !","nous être déjà NUM , et il ne y avoir pas tant de NC à le NCmod … et puis il être ADJ comme tout … nous ne avoir avoir que un NCo de NCmod , que il ne avoir ADVTEMPS vouloir de le NC de le NCmod … INTJ !"
36,Goncourt/Germinie Lacerteux copie_clean.txt,"on ne mangeait pas tous les jours de le lard chez nous … Ça ne fait rien : pour tout ça , maman m' aimait un peu plus , et elle trouvait toujours dans de les coins un peu de graisse ou de fromage pour mettre sur mes tartines … Je n' avais pas cinq ans quand elle est morte … Ce fut notre malheur à tous .","on ne VIMP pas tout le NCT de le NCmod chez nous … ça ne faire rien : pour tout ça , NCs lui VSENT un peu plus , et il VIMP ADVTEMPS dans de le NC un peu de NCmod ou de NC pour mettre sur DETPOSS NC … je ne avoir pas NUM NCT quand il être PPAS … ce être DETPOSS NC à tout ."
37,Goncourt/Germinie Lacerteux copie_clean.txt,"J' avais un grand frère qui était blanc comme un linge , avec une barbe toute jaune … et bon !","je avoir un ADJ NCo qui être ADJCOL comme un NC , avec un NCCOR tout ADJCOL … et ADJ !"
38,Goncourt/Germinie Lacerteux copie_clean.txt,vous n' avez pas d' idée … Tout le monde l' aimait .,vous ne avoir pas un NC … tout le NCs le VSENT .
