id,titre,phrase,motifs_phrase
1,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,"Edmond de Goncourt La fille Élisa La femme , la prostituée condamnée à mort , était la fille d' une sage-femme de La Chapelle .","NP de NP le NC NP le NCs , le NC PPAS à NC , être le NC de un NCmod de La NP ."
2,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,Son enfance avait grandi dans l' exhibition intime et les entrailles secrètes de le métier .,DETPOSS NCs avoir PPAS dans le NC ADJ et le NC ADJ de le NCmod .
3,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,"Pendant de longues maladies , couchée dans un cabinet noir attenant à la chambre à les speculum le cabinet de visite de sa mère elle entendit les confessions de l' endroit .","PHASE un ADJ NC , PPAS dans un NC ADJ PPRES à le NC à le NP le NCo de NCmod de DETPOSS NCmod il VPS le NCo de le NCmod ."
4,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,"Tout ce qui se murmure dans de les larmes , tout ce qui parle haut dans un aveu cynique , arriva à ses jeunes oreilles .","tout ce qui se VDIC dans de le NC , tout ce qui PRES ADJ dans un NC ADJ , VPS à DETPOSS ADJ NCCOR ."
5,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,"La révélation de les mystères et de les hontes de le commerce de l' homme et de la femme de Paris vint la trouver dans sa couchette , presque dans son berceau .","le NCs de le NCmod et de le NCSENT de le NCmod de le NCmod et de le NC de NP venir le INF dans DETPOSS NC , presque dans DETPOSS NC ."
6,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,"La croyance naïve de la petite fille à le nouveau -né trouvé sous le buisson de roses de l' enseigne maternelle fut emportée par de les paroles cochonnes , instruisant son ignorance avec d' érotiques détails , de les matérialités de la procréation .","le NCspas ADJ de le ADJ NCmod à le ADJ NCmod PPAS sous le NC de ADJCOL de le NCmod ADJ être PPAS par de le NC ADJ , PPRES DETPOSS NCo avec un ADJ NC , de le NCmod de le NCmod ."
7,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,"De le milieu de la nuit de son cabinet , l' enfant alitée , l' enfant à la pensée inoccupée , rêvassante , assista à les aventures de le déshonneur , à les drames de les liaisons cachées , à les histoires de les passions hors nature , à les consultations pour les maladies vénériennes , à la divulgation quotidienne de toutes les impuretés salissantes , de tous les secrets dégoûtants de l' Amour coupable et de la Prostitution .","de le milieu de le NCT de DETPOSS NCmod , le NCs PPAS , le NC à le NCmod PPAS , ADJ , VPS à le NC de le NCmod , à le NCmod de le NCmod PPAS , à le NC de le NCSENT hors NCmod , à le NC pour le NCmod ADJ , à le NC ADJ de tout le NCmod ADJ , de tout le NC ADJ de le NCSENT ADJ et de le NP ."
8,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,Une abominable vie que la vie de la petite Élisa chez sa mère .,un ADJ NC que le NCmod de le ADJ NP chez DETPOSS NCmod .
9,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,"L' effort de tirer de les enfants , la montée quotidienne de cinquante étages , les sorties de jour et de nuit par tous les temps que Dieu fait , les veilles , la privation de sommeil , les gardes dans les logis sans feu , la peine et l' éreintement d' une existence surmenée , exaspéraient l' humeur de la sage-femme , la tenaient en l' irritation grondante de les gens qui triment dans un métier d' enfer .","le NC de INF de le NC , le NCs ADJ de NUM NCmod , le NC de NCT et de NCT par tout le temps que NP faire , le NCo , le NC de NCmod , le NC dans le NCmod sans NCmod , le NCSENT et le NC de un NCmod PPAS , VIMP le NCo de le NCmod , le VIMP en le NCSENT ADJ de le NCmod qui PRES dans un NC de INF ."
10,Goncourt/La fille Elisa (GF) - Edmond de Goncourt copie_clean.txt,"Puis la copieuse nourriture et les verrées de vin , à l' aide de lesquelles la créature de le peuple cherchait la réparation de ses forces pour l' accouchement en expectative , faisaient cette irritation prompte à les gifles .","puis le ADJ NCs et le NC de NCmod , à le NC de lequel le NCmod de le NCmod VIMP le NCo de DETPOSS NCSENT pour le NCmod en NCmod , faire ce NCSENT VSUBP à le NC ."
