id,titre,phrase,motifs_phrase
1,Goncourt/Madame Gervaisais copie_clean.txt,"Madame Gervaisais Une religion mortifère Lacroix-Verboeckhoven , 1869 À la mémoire de Madame *** Quarante scudi ?","madame NP un NC ADJ NP , NUM à le NCmod de madame *** NUM NC ?"
2,Goncourt/Madame Gervaisais copie_clean.txt,"Oui , signora .","oui , NC ."
3,Goncourt/Madame Gervaisais copie_clean.txt,"Cela fait , n' est -ce pas , en monnaie de France , deux cents francs ?","cela faire , ne être ce pas , en NC de NP , NUM NC ADJ ?"
4,Goncourt/Madame Gervaisais copie_clean.txt,"Deux cents francs ?… fit la Romaine qui montrait l' appartement à l' étrangère : elle parut chercher , compter dans sa tête .","NUM NCs ADJ ?… faire le NP qui VIMP le NCo à le NC : il paraître INF , INF dans DETPOSS NCCOR ."
5,Goncourt/Madame Gervaisais copie_clean.txt,"Oui , oui… deux cents francs .","oui , NP NUM NC ADJ ."
6,Goncourt/Madame Gervaisais copie_clean.txt,"Mais la signora n' a pas bien vu … Et , jetant son châle brusquement sur un lit défait , elle se mit à marcher de chambre en chambre , avec de vives ondulations de taille , en parlant avec la volubilité d' une padrona de chambres meublées : Voyez-vous , ils sont partis ce matin … Une famille anglaise … de les gens malpropres , qui jetaient de l' eau partout … Tout est en désordre … On n' a pas eu le temps de rien ranger … Mais l' étrangère n' écoutait pas : elle s' était arrêtée devant une fenêtre avec l' enfant qu' elle avait à la main et qui se tenait dans sa robe , et elle lui montrait ce qu' on voyait de là , la place d' Espagne et l' escalier de la Trinité-du-Mont .","mais le NCs ne avoir pas bien VCOG … et , PPRES DETPOSS NCo ADV sur un NC PPAS , il se mettre à INF de NC en NCmod , avec un ADJ NC de NCmod , en PPRES avec le NC de un NCmod de NCmod PPAS : NP , il être PPAS ce NCT … un NC ADJ … de le NC ADJ , qui VIMP de le NC ADV … tout être en NC … on ne avoir pas avoir le temps de rien INF … mais le NCs ne VCOG pas : il se être PPAS ADVLIEU un NC avec le NCmod que il avoir à le NCCOR et qui se VIMP dans DETPOSS NC , et il lui VCOND ce que on VCOG de ADVLIEU , le NC de NP et le NC de le NP ."
7,Goncourt/Madame Gervaisais copie_clean.txt,"Puis elle lui demanda : Pierre-Charles , veux -tu rester ici ?","puis il lui VPS : NP , ADJ il INF ADVLIEU ?"
8,Goncourt/Madame Gervaisais copie_clean.txt,"L' enfant ne répondit pas , mais il leva vers sa mère de les yeux tout grands de bonheur .","le NCs ne VDIC pas , mais il VPS vers DETPOSS NC de le NCCOR tout ADJ de NCSENT ."
9,Goncourt/Madame Gervaisais copie_clean.txt,Che bellezza !,NP NP !
10,Goncourt/Madame Gervaisais copie_clean.txt,fit la loueuse avec le cri de l' admiration romaine devant tout ce qui est beau .,faire le NCo avec le NC de le NCSENT ADJ devoir tout ce qui être ADJ .
11,Goncourt/Madame Gervaisais copie_clean.txt,"À ce mot , l' étrangère regarda une minute son fils avec ce regard de mère qui semble embrasser , sur le visage de son enfant , la beauté qu' on lui trouve .","à ce NC , le NCs VCOG un NCT DETPOSS NC avec ce NCMAN de NCmod qui sembler INF , sur le NCCOR de DETPOSS NCmod , le NCo que on lui PRES ."
12,Goncourt/Madame Gervaisais copie_clean.txt,"Et cette petite langue , elle ne parle donc pas ?","et ce ADJ NCCOR , il ne PRES donc pas ?"
13,Goncourt/Madame Gervaisais copie_clean.txt,dit l' italienne .,VDIC le NCo .
14,Goncourt/Madame Gervaisais copie_clean.txt,Il est un peu retardé pour son âge … et le front de l' étrangère devint tout à coup sérieux .,il être un peu PPAS pour DETPOSS NC … et le NCCOR de le NCmod devenir tout à NC ADJ .
15,Goncourt/Madame Gervaisais copie_clean.txt,"Elle reprit presque aussitôt d' un ton brusque : Ainsi , c' est bien cela , n' est -ce pas ?","il VPS presque aussitôt de un NC ADJ : ainsi , ce être bien cela , ne être ce pas ?"
16,Goncourt/Madame Gervaisais copie_clean.txt,"… une petite antichambre , la cuisine de l' autre côté de le palier avec une chambre de domestique , et ces quatre pièces qui se suivent … Oui , signora … Nous , nous nous retirerons dans la petite chambre de le fond … Nous n' avons pas besoin de plus pour nous deux , n' est -ce pas , ma mère ?","… un ADJ NC , le NC de le autre NCmod de le NCmod avec un NCmod de NCmod , et ce NUM NC qui se PRES … oui , NC … nous , nous nous PRES dans le ADJ NC de le NCmod … nous ne avoir pas NC de plus pour nous NUM , ne être ce pas , DETPOSS NC ?"
17,Goncourt/Madame Gervaisais copie_clean.txt,"Et la romaine se tourna vers une vieille femme , à les superbes traits ruinés , qui se tenait debout dans la dignité de sa robe de deuil , silencieuse , assistant à cette conversation échangée en une langue qu' elle ne comprenait pas et dont elle semblait tout deviner avec l' intelligence méridionale de ses yeux .","et le NCs se VPS vers un ADJ NC , à le ADJ NCmod PPAS , qui se VIMP ADV dans le NC de DETPOSS NCmod de NCmod , ADJ , PPRES à ce NC PPAS en un NCCOR que il ne VCOG pas et dont il sembler tout VCOG avec le NC ADJ de DETPOSS NCCOR ."
18,Goncourt/Madame Gervaisais copie_clean.txt,Eh bien !,INTJ bien !
