id,titre,phrase,motifs_phrase
1,Goncourt/Renée Mauperin copie_clean.txt,"Renée Mauperin À Théophile Gautier Vous n' aimez pas le monde , mademoiselle ?","NP NP à NP NP vous ne VSENT pas le NCo , NC ?"
2,Goncourt/Renée Mauperin copie_clean.txt,Vous ne le direz pas ?,vous ne le IMP pas ?
3,Goncourt/Renée Mauperin copie_clean.txt,"J' y avale ma langue … Voilà l' effet que me fait le monde , à moi .","je y PRES DETPOSS NCCOR … voilà le NCo que me faire le NCs , à soi ."
4,Goncourt/Renée Mauperin copie_clean.txt,Peut-être ça tient à ce que je n' ai pas eu de chance .,peut-être ça PRES à ce que je ne avoir pas avoir un NCo .
5,Goncourt/Renée Mauperin copie_clean.txt,"Je suis tombée sur de les jeunes gens sérieux , de les amis à mon frère , de les jeunes gens à citations , comme je les appelle .","je être PPAS sur de le ADJ NC ADJ , de le NCmod à DETPOSS NCmod , de le ADJ NCmod à NCmod , comme je le PRES ."
6,Goncourt/Renée Mauperin copie_clean.txt,"Les jeunes personnes , on ne peut leur parler que de le dernier sermon qu' elles ont entendu , de le dernier morceau de piano qu' elles ont étudié , ou de la dernière robe qu' elles ont mise : c' est borné , l' entretien avec mes contemporaines .","le ADJ NC , on ne pouvoir lui INF que de le ADJ NC que il avoir VCOG , de le ADJ NC de NCmod que il avoir PPAS , ou de le ADJ NC que il avoir NC : ce être ADJ , le NC avec DETPOSS NCmod ."
7,Goncourt/Renée Mauperin copie_clean.txt,"Vous restez , je crois , toute l' année à la campagne , mademoiselle ?","vous PRES , je VCOG , tout le NCT à le NC , monsieur ?"
8,Goncourt/Renée Mauperin copie_clean.txt,Oui … Oh !,oui … INTJ !
9,Goncourt/Renée Mauperin copie_clean.txt,"nous sommes si près de Paris … Est -ce joli , ce qu' on a joué à l' Opéra-Comique ces jours-ci ?","nous être ADV ADVLIEU de NP … être ce PPAS , ce que on avoir PPAS à le NP ce NP ?"
10,Goncourt/Renée Mauperin copie_clean.txt,Avez -vous vu ?,avoir vous VCOG ?
11,Goncourt/Renée Mauperin copie_clean.txt,"Oui , mademoiselle , charmant … une musique d' une maestria … Il y avait tout Paris à la première représentation .","oui , monsieur , ADJ … un NC de un NCmod … il y avoir tout NP à le ADJ NC ."
12,Goncourt/Renée Mauperin copie_clean.txt,Je vous dirai que je ne vais qu' à les premières .,je vous VF que je ne aller que à le ADJ .
