id,titre,phrase,motifs_phrase
1,1887_Hervieu_L'Inconnu_A.txt,"Paul Hervieu L' Inconnu PREMIÈRE PARTIE IL y a trois mois environ , je publiai , dans une petite Revue , un travail sur Les Raisons de les Fous .","NP NP le NP NP NP il y avoir NUM NCT environ , je VF , dans un ADJ NC , un NCo sur le NP de le NP ."
2,1887_Hervieu_L'Inconnu_A.txt,"Certes , mon étude ne prétendait à aucun caractère scientifique , car je ne suis rien moins qu' un savant .","ADV , DETPOSS NCs ne VIMP à aucun NC ADJ , car je ne être rien moins que un NC ."
3,1887_Hervieu_L'Inconnu_A.txt,"Je m' étais seulement complu en une sorte de plaidoyer psychologique et fantaisiste , à le bout de lequel je tendais à réhabiliter les âmes condamnées de ma clientèle .","je se être seulement PPAS en un sorte de NCmod ADJ et ADJ , à le NC de lequel je VIMP à INF le NCo PPAS de DETPOSS NCmod ."
4,1887_Hervieu_L'Inconnu_A.txt,"Partant de la théorie aliéniste qui assigne , à les fous , comme principal symptôme de leur état , l' habitude d' agir à le rebours de les gens sensés , je m' étais avisé d' établir le vague et l' arbitraire de cette formule .","PPRES de le NC ADJ qui PRES , à le NC , comme NCmod ADJ de lui NCmod , le NCo de INF à le NC de le NCmod ADJ , je se être PPAS de INF le NCo et le NC de ce NCmod ."
5,1887_Hervieu_L'Inconnu_A.txt,Quels étaient les gens sensés ?,quel être le NC ADJ ?
6,1887_Hervieu_L'Inconnu_A.txt,"En recherchant , dans les généralités , les grains de cette grappe , j' avais évoqué plusieurs épisodes de les gouvernements , de les religions , de les lettres et de les arts .","en PPRES , dans le NC , le NC de ce NCmod , je avoir PPAS plusieurs NCo de le NCmod , de le NC , de le NC et de le NC ."
7,1887_Hervieu_L'Inconnu_A.txt,"Après avoir cité Thémistocle et Aristide , le Christ et les Gentils , Cobden et sir Robert Peel , les Classiques et les Romantiques , etc. , j' en étais arrivé à conclure que les opinions de cet ensemble de gens ne pouvaient être , à la fois , sensées , et diamétralement opposées .","PHASE avoir PPAS NP et NP , le NP et le NP , NP et NP NP NP , le NP et le NP , etc. , je en être PPAS à INF que le NCs de ce ensemble de NCmod ne pouvoir être , à le fois , PPAS , et ADVINT ADJ ."
8,1887_Hervieu_L'Inconnu_A.txt,"Ayant alors dû me rabattre sur de les faits plus familiers , j' avais analysé , chez les individualités de mon entourage , celles de leurs actions qui m' étaient connues .","avoir alors devoir me INF sur de le NC plus ADJ , je avoir PPAS , chez le NC de DETPOSS NCmod , celui de DETPOSS NCmod qui lui être PPAS ."
9,1887_Hervieu_L'Inconnu_A.txt,"Les étrangetés , les idioties ainsi constatées et les contradictions manifestes étaient telles qu' il ne mavait plus été possible de décerner , à personne d' autrui , le titre de sensé .","le NCs , le NC ainsi PPAS et le NC ADJ être tel que il ne VIMP plus être ADJ de INF , à NC de autrui , le NCo de NCmod ."
10,1887_Hervieu_L'Inconnu_A.txt,Restait à examiner ma propre conscience .,VIMP à INF DETPOSS ADJ NCo .
11,1887_Hervieu_L'Inconnu_A.txt,"Or , j' avais remonté avec attention à les sources de le moi ; et j' en avais redescendu le cours qui , étant à mes yeux complètement dévoilé et ininterrompu , me parut tout à fait régulier , naturel et fatal .","or , je avoir VSENT avec NC à le NC de le NCmod ; et je en avoir PPAS le NCo qui , être à DETPOSS NCCOR ADVINT PPAS et PPAS , me paraître tout à NC ADJ , ADJ et ADJ ."
12,1887_Hervieu_L'Inconnu_A.txt,"Enfin donc , j' avais trouvé à le monde quelqu'un de sensé , qui était votre serviteur .","PHASE donc , je avoir PPAS à le NC quelqu'un de ADJ , qui être DETPOSS NC ."
13,1887_Hervieu_L'Inconnu_A.txt,"De là résultait ( à moins d' une imbécile prétention exclusive ) la règle qu' il n' y a , en somme , que soi de sensé pour chacun .","de ADVLIEU VIMP ( à moins de un ADJ NC ADJ ) le NCo que il ne y avoir , en NC , que soi de NCmod pour chacun ."
14,1887_Hervieu_L'Inconnu_A.txt,"Et je m' étais soudain fondé sur cette découverte pour recommander à les égards tous ces concepts , langages et actes extraordinaires dont on s' étonne chez les excentriques , et dont eux seuls sont à même de savoir l' enchaînement peut-être logique .","et je lui être soudain PPAS sur ce NC pour INF à le NC tout ce NCo , NC et NC ADJ dont on se VSENT chez le NC , et dont eux ADJ être à même de VCOG le NCo peut-être ADJ ."
15,1887_Hervieu_L'Inconnu_A.txt,Oui !,oui !
16,1887_Hervieu_L'Inconnu_A.txt,Voilà bien le résumé de ce que j' avais écrit dans cette petite Revue .,voilà bien le NCo de ce que je avoir PPAS dans ce ADJ NP .
17,1887_Hervieu_L'Inconnu_A.txt,"Mais je dois ajouter , qu' au-dessus de toutes mes arguties , dominait le ton d' une sympathie douloureuse et surtout craintive envers les fous ; j' oserai même dire convaincante , car la suite doit justifier l' emploi de ce qualificatif .","mais je devoir INF , que ADVLIEU de tout DETPOSS NC , VIMP le NCs de un NCSENT ADJ et surtout ADJ envers le NCmod ; je VCOND même VDIC ADJ , car le NCs devoir INF le NCo de ce NCmod ."
18,1887_Hervieu_L'Inconnu_A.txt,"La vérité est que le destin m' a donné , parmi les fous , un grand nombre d' amis , encore en liberté , près desquels je m' aperçois anxieusement que je partage trop de leurs imaginations , et dont j' ai peut-être un peu bien pris les façons d' être et de sentir .","le NCs être que le NCs lui avoir PPAS , parmi le NC , un ADJ NCs de NCmod , encore en NC , ADVLIEU desquel je lui PRES ADVMAN que je PRES trop de DETPOSS NC , et dont je avoir INF un peu bien PPAS le façon de être et de sentir ."
19,1887_Hervieu_L'Inconnu_A.txt,"En tout cas , le mystère de leurs prunelles si claires me tourmente excessivement .","en tout NC , le NCs de DETPOSS NCmod si ADJ me VSENT ADVINT ."
20,1887_Hervieu_L'Inconnu_A.txt,"On jurerait qu' elles sont à l' envers , et qu' à le lieu de vous regarder , elles contemplent un intérieur invisible pour les autres , surnaturel , et qui les effare ... Plusieurs semaines après ce premier article , j' étais à corriger les épreuves d' un second , dans un bureau de la même Revue .","on VCOND que il être à le NC , et que à le NC de vous VCOG , il PRES un NCo ADJ pour le autre , ADJ , et qui le VSENT ... plusieurs NC PHASE ce ADJ NCmod , je être à INF le NCo de un NCmod , dans un NCmod de le même NP ."
21,1887_Hervieu_L'Inconnu_A.txt,"J' étais , ce jour -là , plus déprimé qu' à l' ordinaire ; et j' ai conservé le sentiment que je venais de m' assoupir lorsque le garçon accourut me prévenir qu' une dame , tenant à l' incognito , réclamait de moi quelques instants d' audience .","je être , ce NCT ADVLIEU , plus VSENT que à le NC ; et je avoir PPAS le NCSENT que je VIMP de lui INF lorsque le NCs VPS me INF que un NCs , PPRES à le NC , VIMP de soi quelque NCo de NCmod ."
22,1887_Hervieu_L'Inconnu_A.txt,"Prévoyant par expérience générale une demande de service , j' eus l' étroitesse d' hésiter à recevoir la visiteuse ; et j' essayai successivement de tous les subterfuges propres à égarer mes principes de la plus élémentaire galanterie .","PPRES par NC ADJ un NCo de NCmod , je avoir le NCo de INF à INF le NCo ; et je VF ADV de tout le NC ADJ à INF DETPOSS NCo de le plus ADJ NCmod ."
23,1887_Hervieu_L'Inconnu_A.txt,"— Vous êtes certain , fis -je , que , c' est à moi que cette dame désire spécialement parler ?","— vous être ADJ , NC je , que , ce être à soi que ce NCs VSENT ADVINT INF ?"
24,1887_Hervieu_L'Inconnu_A.txt,— Pour sûr !,— pour ADJ !
25,1887_Hervieu_L'Inconnu_A.txt,... Elle m' a même demandé si Doublezed était bien votre vrai nom ... — Ah !,... il lui avoir même PPAS si NP être bien DETPOSS vrai NC ... — INTJ !
26,1887_Hervieu_L'Inconnu_A.txt,"... Alors , elle ne me connait pas !","... alors , il ne me PRES pas !"
27,1887_Hervieu_L'Inconnu_A.txt,... Pourquoi cette constatation me réjouit -elle d' abord ?,... pourquoi ce NCs me VSENT il de NC ?
28,1887_Hervieu_L'Inconnu_A.txt,"Ma mémoire était pourtant libre de tout reproche , à le moins en matière féminine .","DETPOSS NCs être pourtant ADJ de tout NC , à le moins en NC ADJ ."
29,1887_Hervieu_L'Inconnu_A.txt,Pourquoi ressentis -je ensuite un trouble passager ?,pourquoi VSENT je PHASE un NCSENT NCo ?
30,1887_Hervieu_L'Inconnu_A.txt,Je ne saurais davantage l' expliquer .,je ne VCOND davantage le VDIC .
31,1887_Hervieu_L'Inconnu_A.txt,"Mais la survenance de l' imprévu éveille toujours , dans ma conscience , un je ne sais quoi qui ressemble à le remords .","mais le NCs de le NCmod PRES ADVTEMPS , dans DETPOSS NC , un je ne VCOG quoi qui PRES à le NCSENT ."
32,1887_Hervieu_L'Inconnu_A.txt,Je repris : — Lui avez -vous répondu que j' étais ici ?,je PPAS : — il avoir vous VPS que je être ADVLIEU ?
33,1887_Hervieu_L'Inconnu_A.txt,"— Oui ... c'est-à-dire non ... j' ai seulement ... — Bon , bon !","— oui ... ADV non ... je avoir seulement ... — NP , ADJ !"
34,1887_Hervieu_L'Inconnu_A.txt,C' est toujours la même histoire !,ce être ADVTEMPS le même NC !
35,1887_Hervieu_L'Inconnu_A.txt,"... Et comment est -elle , cette dame ?","... et comment être il , ce NC ?"
36,1887_Hervieu_L'Inconnu_A.txt,"L' honnête employé , pour n' aboutir qu' à une description très confuse , mit en jeu ses deux bras et tous les muscles de sa face .","le NCs PPAS , pour ne INF que à un NC très ADJ , mettre en NC DETPOSS NUM NCCOR et tout le NC de DETPOSS NCmod ."
37,1887_Hervieu_L'Inconnu_A.txt,"— C' est , déclara -t -il , une personne comme qui dirait ... Elle m' a plutôt fait l' effet d' être assez chose ... Sa robe est , à ce qu' il m' a semblé , en soie noire ou en quelque étoffe de drap , noire ou bleue , peut-être bien grisaille .","— ce être , VPS t il , un NC comme qui VIMP ... il lui avoir plutôt faire le NCs de être ADV chose ... DETPOSS NCspas être , à ce que il lui avoir sembler , en NC ADJ ou en quelque NC de NCmod , ADJ ou ADJCOL , peut-être bien NC ."
38,1887_Hervieu_L'Inconnu_A.txt,"Quant à ça , je n' oserais rien garantir ... Je consultai ma montre : l' heure d' un rendez-vous pour une affaire qui m' importait , était proche .","quant à ça , je ne VCOND rien INF ... je VF DETPOSS NCo : le NCT de un NCmod pour un NCmod qui lui VIMP , être ADJ ."
39,1887_Hervieu_L'Inconnu_A.txt,Déjà j' ébauchais un de ces gestes négligents qui indiquent l' intention d' esquiver un contre-temps à lequel on n' est pas tenu de s' exposer .,déjà je VIMP un de ce NCmod ADJ qui PRES le NCo de INF un NCo à lequel on ne être pas PPAS de se INF .
40,1887_Hervieu_L'Inconnu_A.txt,Oh !,INTJ !
41,1887_Hervieu_L'Inconnu_A.txt,"je me souviens bien de cette inspiration , car elle était heureuse ; et , à la suivre , je me fusse épargné beaucoup de tracas et de perturbations intellectuelles .","je me PRES bien de ce NC , car il être ADJ ; et , à le NC , je me PRES PPAS beaucoup de NCSENT et de NC ADJ ."
42,1887_Hervieu_L'Inconnu_A.txt,Mais l' humeur contredisante est si prompte à s' interposer que l' approbation empressée de le garçon suffit pour modifier mon projet .,mais le NCs ADJ être si ADJ à se INF que le NCSENT PPAS de le NC PRES pour INF DETPOSS NCo .
43,1887_Hervieu_L'Inconnu_A.txt,"— M' est avis , insinuait -il , que vous aurez raison de ne pas recevoir .","— le être NC , VDIC il , que vous avoir NCo de ne pas INF ."
44,1887_Hervieu_L'Inconnu_A.txt,Cette personne a un drôle d' air .,ce NCs avoir un NCo de NCMAN .
45,1887_Hervieu_L'Inconnu_A.txt,Elle m' a répété qu' elle avait absolument besoin de vous voir .,il lui avoir PPAS que il avoir ADVINT NC de vous VCOG .
46,1887_Hervieu_L'Inconnu_A.txt,Et puis où ça que vous demeuriez ?,et puis où ça que vous VCOND ?
47,1887_Hervieu_L'Inconnu_A.txt,"... Elle marmottait , avec un mouchoir sur la bouche qui lui cachait presque toute la figure .","... il VIMP , avec un NC sur le NCCOR qui lui VIMP presque tout le NCCOR ."
48,1887_Hervieu_L'Inconnu_A.txt,"A peine si je pouvais entendre ses phrases ... Par exemple , il sent bien bon , son mouchoir !","à NCSENT si je pouvoir VCOG DETPOSS NCo ... par NC , il sentir bien ADJ , DETPOSS NC !"
49,1887_Hervieu_L'Inconnu_A.txt,"... Et , elle m' a encore glissé , comme ça : « — Est -il jeune , votre monsieur Doublezed ?","... et , il lui avoir encore PPAS , comme ça : "" — être il ADJ , DETPOSS monsieur NP ?"
50,1887_Hervieu_L'Inconnu_A.txt,"... » Pour m' en tirer sans pataquès , j' ai fait : « — Heu !","... "" pour lui en INF sans NC , je avoir faire : "" — NP !"
51,1887_Hervieu_L'Inconnu_A.txt,heu !,NC !
52,1887_Hervieu_L'Inconnu_A.txt,... Il n' est ni jeune ni vieux ... — Tant mieux !,... il ne être ni ADJ ni ADJ ... — tant mieux !
53,1887_Hervieu_L'Inconnu_A.txt,"» qu' elle a refait ... A franchement parler , je parierais qu' elle est un brin toquée ... » Le dernier terme de ce jugement sommaire m' impressionna fortement , en vertu de la singulière prédestination que j' ai mentionnée tout à l' heure .",""" que il avoir PPAS ... à ADVMAN INF , je VCOND que il être un NC PPAS ... "" le ADJ NCs de ce NCmod ADJ lui VPS ADVINT , en NC de le ADJ NCmod que je avoir PPAS tout à le NCT ."
54,1887_Hervieu_L'Inconnu_A.txt,"— Tenez , poursuivit le garçon en se déplaçant d' un pas , vous pouvez d' ailleurs la reluquer d' ici ... Au-dessus de son épaule , j' allai regarder de biais , par la fente que la porte entre-bâillée laissait entre les deux charnières .","— NP , VPS le NCo en se PPRES de un pas , vous pouvoir de ADVLIEU le INF de ADVLIEU ... ADVLIEU de DETPOSS NCCOR , je VF VCOG de NC , par le NC que le NCs PPAS laisser entre le NUM NC ."
55,1887_Hervieu_L'Inconnu_A.txt,"À le bout de le couloir sombre , à le delà d' une seconde porte grande ouverte , dans la pleine lumière de l' antichambre , quelque chose de blanc accroché à hauteur d' homme , ou plutôt à hauteur de femme , vibrait suivant une tension presque verticale .","à le NC de le NCmod ADJ , à le delà de un ADJ NC ADJ PPAS , dans le ADJ NC de le NCmod , quelque chose de ADJCOL PPAS à NC de NCmod , ou plutôt à NC de NCmod , NC PPRES un NCo presque ADJ ."
56,1887_Hervieu_L'Inconnu_A.txt,"A force d' attention , je constatai que la visiteuse devait être debout , derrière un battant qui masquait presque en totalité le profil de sa silhouette .","à NCSENT de NCmod , je VF que le NCs devoir être ADV , ADVLIEU un NC qui VIMP presque en NC le NCo de DETPOSS NCmod ."
57,1887_Hervieu_L'Inconnu_A.txt,"Le bout d' une chaussure vernie , hors de l' angle sombre d' un bas de jupe , pointait à le ras de le plancher .","le NCs de un NCmod ADJ , ADV de le NC ADJ de un NCmod de NCmod , VIMP à le NC de le NCmod ."
58,1887_Hervieu_L'Inconnu_A.txt,"Plus haut , une main gantée , sous l' extrême lisière d' un corsage fort bombé , tirait par saccades cet objet blanc dont l' agitation m' avait d' abord frappé .","plus ADJ , un NCCOR PPAS , sous le ADJ NCmod de un NCmod fort ADJ , VCOND par saccade ce NC ADJCOL dont le NCs lui avoir de NC ADJ ."
59,1887_Hervieu_L'Inconnu_A.txt,C' était un mouchoir ( le mouchoir sentant bien bon !,ce être un NC ( le NCs PPRES bien ADJ !
60,1887_Hervieu_L'Inconnu_A.txt,") tordu en cordelette , retenu à la morsure de les dents , subissant ainsi les secousses d' un poignet dénué de manchette et perpétuellement mû par l' impatience ou l' émotion , ou mieux encore par l' un de ces sentiments multiformes et plus complexes dont chaque individu possède un certain apanage et qui , pour être innomés , ne sont pas les moins impérieux .",") PPAS en NC , PPAS à le NC de le NCCOR , PPRES ainsi le NCo de un NCCOR PPAS de NC et ADVTEMPS PPAS par le NCSENT ou le NCSENT , ou mieux encore par le un de ce NCSENT ADJ et plus ADJ dont chaque NCs PRES un ADJ NCo et qui , pour être PPAS , ne être pas le moins ADJ ."
61,1887_Hervieu_L'Inconnu_A.txt,"Surmontant ce buste à les trois quarts invisible , la saillie d' un menton assez proéminent et celle d' un nez mince et busqué ; puis l' auvent en velours foncé d' un chapeau élevé dont le faite , en arrière , se dérobait à mes investigations .","PPRES ce NCCOR à le NUM NC ADJ , le NCs de un NCCOR ADV ADJ et celui de un NCCOR ADJ et ADJ ; puis le NC en NCmod ADJ de un NCmod ADJ dont le faire , en NCmod , se VIMP à DETPOSS NC ."
62,1887_Hervieu_L'Inconnu_A.txt,"Les particularités de ce spectacle , dans lequel je m' attardai , achevèrent de transformer mes dispositions primitives .","le NCs de ce NCmod , dans lequel je se PRES , VASP de INF DETPOSS NCo ADJ ."
63,1887_Hervieu_L'Inconnu_A.txt,J' eus l' intuition qu' un mobile d' ordre supérieur m' amenait cette visiteuse .,je avoir le NCo que un NCmod de NCmod ADJ lui VIMP ce NCs .
64,1887_Hervieu_L'Inconnu_A.txt,"Et , sans affecter un excès d' humanité en ce genre d' occurrences , on conviendra que pour demeurer intraitable , il ne faudrait pas avoir sous les yeux ce mandarin inconnu qu' on serait toujours prêt , selon le paradoxe , à sacrifier en Chine , rien qu' en levant un petit doigt , ni même discerner le bout de sa babouche , ou le mur seulement derrière lequel on le saurait .","et , sans VSENT un NCo de NCmod en ce NC de NCmod , on VF que pour INF ADJ , il ne VCOND pas avoir sous le NCCOR ce NCo ADJ que on être ADVTEMPS ADJ , selon le NC , à INF en NP , rien que en PPRES un ADJ NCCOR , ni même VCOG le NCo de DETPOSS NCmod , ou le NC seulement ADVLIEU lequel on le VCOND ."
65,1887_Hervieu_L'Inconnu_A.txt,"J' ordonnai donc , hélas !","je VF donc , ADJ !"
66,1887_Hervieu_L'Inconnu_A.txt,d' introduire cette dame .,de INF ce NCo .
67,1887_Hervieu_L'Inconnu_A.txt,"Celle qui pénétra dans le cabinet de rédaction où je me trouvais seul , était fort élégante , et embaumait .","celui qui VF dans le NC de NCmod où je me VIMP ADJ , être fort ADJ , et VIMP ."
68,1887_Hervieu_L'Inconnu_A.txt,"Son aspect très brun était d' une femme de trente ans , petite , assez grasse ; mais avec une taille exactement ronde , et bien centrale .","DETPOSS NCs très ADJCOL être de un NC de NUM NCT , ADJ , ADV ADJ ; mais avec un NC ADVINT ADJ , et bien ADJ ."
69,1887_Hervieu_L'Inconnu_A.txt,"Loin d' être laid , son visage était pourtant autre chose que joli .","ADVLIEU de être ADJ , DETPOSS NCCOR être pourtant autre chose que PPAS ."
70,1887_Hervieu_L'Inconnu_A.txt,"La dimension de les yeux était telle qu' on ne distinguait guère que leur noir et leur blanc parmi toute la pâleur étrange , ou plutôt étrangère , si je puis m' exprimer ainsi , d' un teint mat .","le NCs de le NCCOR être tel que on ne VCOG guère que lui NC et lui ADJCOL parmi tout le NCmod ADJ , ou plutôt ADJ , si je puis lui INF ainsi , de un NC ADJ ."
