id,titre,phrase,motifs_phrase
1,1891_Huysmans_La-bas_A.txt,"Joris-Karl Huysmans Là-bas Chapitre 1 Tu y crois si bien à ces idées -là , mon cher , que tu as abandonné l' adultère , l' amour , l' ambition , tous les sujets apprivoisés de le roman moderne , pour écrire l' histoire de Gilles de Rais - et , après un silence , il ajouta: - Je ne reproche à le naturalisme ni ses termes de pontons , ni son vocabulaire de latrines et d' hospices , car ce serait injuste et ce serait absurde ; d' abord , certains sujets les hèlent , puis avec de les gravats d' expressions et de le brai de mots , l' on peut exhausser d' énormes et de puissantes oeuvres , l' Assommoir , de Zola , le prouve; non , la question est autre ; ce que je reproche à le naturalisme , ce n' est pas le lourd badigeon de son gros style , c' est l' immondice de ses idées ; ce que je lui reproche , c' est d' avoir incarné le matérialisme dans la littérature , d' avoir glorifié la démocratie de l' art !","NP NP ADVLIEU NC NUM je y VCOG si bien à ce NC ADVLIEU , DETPOSS NC , que je avoir PPAS le NCo , le NCSENT , le NCSENT , tout le NC PPAS de le NC ADJ , pour INF le NCo de NP de NP - et , PHASE un NC , il ajouta: - je ne PRES à le NC ni DETPOSS NC de NCmod , ni DETPOSS NC de NCmod et de NC , car ce être ADJ et ce être ADJ ; de NC , certain NCs le PRES , puis avec de le NC de NCmod et de le NC de NCmod , l' on pouvoir INF de NC et de ADJ NC , le NP , de NP , le prouve; non , le NCs être autre ; ce que je PRES à le NC , ce ne être pas le ADJ NC de DETPOSS ADJ NCmod , ce être le NC de DETPOSS NCmod ; ce que je lui PRES , ce être de avoir PPAS le NCo dans le NC , de avoir PPAS le NCo de le NCmod !"
2,1891_Huysmans_La-bas_A.txt,"Oui , tu diras ce que tu voudras , mon bon , mais , tout de même , quelle théorie de cerveau mal famé , quel miteux et étroit système !","oui , je ADJ ce que je ADJ , DETPOSS NC , mais , tout de même , quel NC de NCCOR mal PPAS , quel ADJ et ADJ NC !"
3,1891_Huysmans_La-bas_A.txt,"Vouloir se confiner dans les buanderies de la chair , rejeter le suprasensible , dénier le rêve , ne pas même comprendre que la curiosité de l' art commence là où les sens cessent de servir !","vouloir se INF dans le NC de le INF , INF le NCo , INF le NCo , ne pas même VCOG que le NCSENT de le NCmod VASP ADVLIEU où le NCs VASP de INF !"
4,1891_Huysmans_La-bas_A.txt,"Tu lèves les épaules , mais voyons , qu' a -t -il donc vu , ton naturalisme , dans tous ces décourageants mystères qui nous entourent ?","je ADJ le NCCOR , mais VCOG , que avoir t il donc VCOG , DETPOSS NCo , dans tout ce ADJ NC qui nous PRES ?"
5,1891_Huysmans_La-bas_A.txt,Rien .,rien .
6,1891_Huysmans_La-bas_A.txt,"- Quand il s' est agi d' expliquer une passion quelconque , quand il a fallu sonder une plaie , déterger même le plus bénin de les bobos de l' âme , il a tout mis sur le compte de les appétits et de les instincts .","- quand il se être PPAS de VDIC un NCSENT ADJ , quand il avoir PPAS INF un NCo , INF même le plus ADJ de le NCmod de le NCmod , il avoir tout mettre sur le NC de le NCmod et de le NC ."
7,1891_Huysmans_La-bas_A.txt,"Rut et coup de folie , ce sont là ses seules diathèses .","NC et NC de NCmod , ce être ADVLIEU DETPOSS ADJ NC ."
8,1891_Huysmans_La-bas_A.txt,"En somme , il n' a fouillé que de les dessous de nombril et banalement divagué dès qu' il s' approchait de les aines ; c' est un herniaire de sentiments , un bandagiste d' âme et voilà tout !","en NC , il ne avoir PPAS que de le NC de NCCOR et ADVMAN PPAS dès que il se VIMP de le NC ; ce être un NC de NCSENT , un NC de NCmod et voilà tout !"
9,1891_Huysmans_La-bas_A.txt,"Puis , vois -tu , Durtal , il n' est pas qu' inexpert et obtus , il est fétide , car il a prôné cette vie moderne atroce , vanté l' américanisme nouveau de les moeurs , abouti à l' éloge de la force brutale , à l' apothéose de le coffre-fort .","puis , ADJ tu , NP , il ne être pas que PPAS et obtus , il être ADJ , car il avoir PPAS ce NCo ADJ ADJ , PPAS le NCo ADJ de le NCmod , PPAS à le NC de le NCSENT ADJ , à le NC de le NCmod ."
10,1891_Huysmans_La-bas_A.txt,"Par un prodige d' humilité , il a révéré le goût nauséeux de les foules , et , par cela même , il a répudié le style , rejeté toute pensée altière , tout élan vers le surnaturel et l' au-delà .","par un NC de NCSENT , il avoir VSENT le NCo ADJ de le NCmod , et , par cela même , il avoir PPAS le NCo , PPAS tout NCo ADJ , tout NC vers le NCmod et le ADV ."
