id,titre,phrase,motifs_phrase
1,1881_Lemmonier_un-mâle_N.txt,Camille Lemonnier Un mâle Roman Postface de Jean-Pierre Leduc-Adine à J. Barbey d' Aurevilly CAMILLE LEMONNIER I Une fraîcheur monta de la terre et tout à coup le silence de la nuit fut rompu .,NP NP un NC NC ADV de NP NP à NP NP de NP NP NP NUM un NCs VPS de le NC et tout à NC le NCo de le NCT être PPAS .
2,1881_Lemmonier_un-mâle_N.txt,"Un accord lent , sourd , sortit de l' horizon , courut sur le bois , traîna de proche en proche , puis mourut dans un froissement de jeunes feuilles : l' énorme silence recommença .","un NCs ADJ , NC , VPS de le NC , VPS sur le NC , VPS de ADJ en ADJ , puis VPS dans un NC de ADJ NCmod : le ADJ NCs VPS ."
3,1881_Lemmonier_un-mâle_N.txt,Il y eut alors dans l' air comme une volonté de s' anéantir dans les profondeurs de le sommeil .,il y avoir alors dans le NCMAN comme un NC de se INF dans le NC de le NCmod .
4,1881_Lemmonier_un-mâle_N.txt,Les hêtres reprirent leur immobilité engourdie .,le NCs VPS lui NCo PPAS .
5,1881_Lemmonier_un-mâle_N.txt,"Un calme noya les feuillages , les herbes , la vie qui s' attardait dans l' ombre pâle .","un NCSENT VPS le NCo , le NC , le NC qui se VIMP dans le NC ADJ ."
6,1881_Lemmonier_un-mâle_N.txt,Pour un instant seulement .,pour un NC seulement .
7,1881_Lemmonier_un-mâle_N.txt,"De nouveau , les rumeurs s' élevèrent , plus hautes cette fois .","de ADJ , le NCs se VPS , plus ADJ ce fois ."
8,1881_Lemmonier_un-mâle_N.txt,"La rigidité de les formes dormantes fut secouée d' un frisson qui s' étendit , se posa sur les choses comme un attouchement de mains éparses , et la terre trembla .","le NCspas de le NCmod ADJ être PPAS de un NCSENT qui se PRES , se VPS sur le chose comme un NCmod de NCCOR ADJ , et le NCs VPS ."
9,1881_Lemmonier_un-mâle_N.txt,Le matin descendait .,le NCT VIMP .
10,1881_Lemmonier_un-mâle_N.txt,"De les pointes d' arbres émergèrent dans un commencement de clarté ; une pâleur envahit le ciel ; elle grandit , fut comme une échappée sur le jour qui attendait de l' autre côté de la nuit .","de le NCs de NCmod VPS dans un NC de NCmod ; un NCs PRES le NCo ; il VPS , être comme un NC sur le NCT qui VIMP de le autre NC de le NCT ."
11,1881_Lemmonier_un-mâle_N.txt,Une musique lointaine et solennelle ronflait à présent dans l' épaisseur de les taillis .,un NCs ADJ et ADJ VIMP à NC dans le NC de le NCmod .
12,1881_Lemmonier_un-mâle_N.txt,La laiteuse clarté bientôt s' épandit comme une eau après que les vannes sont levées .,le ADJ NCs bientôt se PRES comme un NC PHASE que le NCspas être PPAS .
13,1881_Lemmonier_un-mâle_N.txt,"Elle coulait entre les branches , filtrait dans les feuillées , dévalait les pentes herbues , faisant déborder lentement l' obscurité .","il VIMP entre le NC , NC dans le NCmod , VIMP le NCo ADJ , faire INF ADV le NCo ."
