id,titre,phrase,motifs_phrase
1,Zola/1866_Le_voeu_d_une_morte._clean.txt,La chambre se trouvait à peine éclairée par la clarté pâle de le crépuscule .,le NCs se VIMP à NCSENT PPAS par le NC ADJ de le NCmod .
2,Zola/1866_Le_voeu_d_une_morte._clean.txt,"Les rideaux de les fenêtres , à demi écartés , laissaient voir les branches hautes de les arbres , que rougissaient les derniers rayons de le soleil .","le NCs de le NCmod , à ADJ NCmod , VIMP VCOG le NCo ADJ de le NCmod , que VIMP le ADJ NCs de le NCmod ."
3,Zola/1866_Le_voeu_d_une_morte._clean.txt,"En bas , sur le boulevard de les Invalides , de les enfants jouaient , et leurs rires aigus montaient , adoucis et caressants .","en NC , sur le NC de le NCmod , de le NCs VIMP , et DETPOSS NCMAN ADV VIMP , NC et NC ."
4,Zola/1866_Le_voeu_d_une_morte._clean.txt,Le printemps qui suivit les terribles journées de l' insurrection de février eut de les fraîcheurs pénétrantes .,le NCs qui VPS le ADJ NCT de le NCmod de MOIS avoir de le NC ADJ .
5,Zola/1866_Le_voeu_d_une_morte._clean.txt,Les tièdes soirées de mai gardent ainsi parfois les frissons de l' hiver .,le ADJ NCs de MOIS PRES ainsi ADVTEMPS le NCSENT de le NCmod .
6,Zola/1866_Le_voeu_d_une_morte._clean.txt,De les souffles frais agitaient les rideaux et apportaient les roulements lointains de les voitures .,de le NCs ADJ VIMP le NCo et VIMP le NCo ADJ de le NCmod .
7,Zola/1866_Le_voeu_d_une_morte._clean.txt,"Ici , tombait une mélancolie .","ADVLIEU , VIMP un NCSENT ."
8,Zola/1866_Le_voeu_d_une_morte._clean.txt,"Les meubles , vagues dans l' ombre , tachaient de noir les tentures claires ; le tapis , à rosaces bleues , pâlissait peu à peu .","le NCs , NC dans le NCmod , VIMP de NC le NCs ADJ ; le NC , à NCmod ADJCOL , VIMP peu à peu ."
9,Zola/1866_Le_voeu_d_une_morte._clean.txt,La nuit avait déjà envahi le plafond et les coins de la pièce .,le NCT avoir déjà PPAS le NCo et le NC de le NCmod .
10,Zola/1866_Le_voeu_d_une_morte._clean.txt,"Il n' y avait plus qu' une longue traînée blanche , qui partait d' une de les fenêtres et venait éclairer d' une lueur blafarde le lit , sur lequel madame de Rionne râlait , dans les angoisses de la mort .","il ne y avoir plus que un ADJ NCs ADJCOL , qui VIMP de un de le NCmod et venir INF de un NC ADJ le NC , sur lequel madame de NP VDIC , dans le NCSENT de le NCmod ."
11,Zola/1866_Le_voeu_d_une_morte._clean.txt,"À cette heure dernière , dans cette douceur naissante de le printemps , cette chambre , où se mourait une jeune femme , avait comme une pitié navrée et recueillie .","à ce NCT ADJ , dans ce NC ADJ de le NCmod , ce NC , où se VIMP un ADJ NCo , avoir comme un VSENT PPAS et PPAS ."
12,Zola/1866_Le_voeu_d_une_morte._clean.txt,"L' ombre s' y faisait transparente ; le silence y prenait une tristesse indicible ; les bruits de le dehors s' y changeaient en murmures de regrets , et il semblait qu' on y entendait de les voix lointaines qui se lamentaient .","le NCs se y faire NCo ; le NCs y VIMP un NCSENT ADJ ; le NCs de le NCmod se y VIMP en NC de NCSENT , et il sembler que on y VCOG de le NCMAN ADJ qui se VIMP ."
13,Zola/1866_Le_voeu_d_une_morte._clean.txt,"Blanche de Rionne , la tête appuyée sur de les oreillers , se tenait assise , les yeux grands ouverts , regardant l' ombre .","ADJ de NP , le NCCOR PPAS sur de le NCmod , se VIMP NC , le NCCOR ADJ ADJ , VCOG le NCo ."
