id,titre,phrase,motifs_phrase
1,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"Lorsqu' on sort de Plassans par la porte de Rome , située à le sud de la ville , on trouve , à droite de la route de Nice , après avoir dépassé les premières maisons de le faubourg , un terrain vague désigné dans le pays sous le nom d' aire Saint-Mittre .","lorsque on PRES de NP par le NC de NP , PPAS à le NC de le NCmod , on PRES , à NC de le NCmod de NP , PHASE avoir PPAS le ADJ NCo de le NCmod , un NC ADJ PPAS dans le NC sous le NC de NCmod NP ."
2,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"L' aire Saint-Mittre est un carré long , d' une certaine étendue , qui s' allonge à le ras de le trottoir de la route , dont une simple bande d' herbe usée la sépare .","le NCs NP être un NC ADJ , de un ADJ NC , qui se PRES à le NC de le NCmod de le NCmod , dont un ADJ NC de NCmod ADJ le PRES ."
3,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"D' un côté , à droite , une ruelle , qui va se terminer en cul-de-sac , la borde d' une rangée de masures ; à gauche et à le fond , elle est close par deux pans de muraille rongés de mousse , au-dessus desquels on aperçoit les branches hautes de les mûriers de le Jas-Meiffren , grande propriété qui a son entrée plus bas dans le faubourg .","de un NC , à NCmod , un NC , qui aller se VASP en NC , le NC de un NCmod de NCmod ; à NC et à le NC , il être ADJ par NUM NC de NCmod VSENT de NCmod , ADVLIEU ADJ on PRES le NCo ADJ de le NCmod de le NP , ADJ NC qui avoir DETPOSS NCo plus ADJ dans le NCmod ."
4,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"Ainsi fermée de trois côtés , l' aire est comme une place qui ne conduit nulle part et que les promeneurs seuls traversent .","ainsi PPAS de NUM NC , le NCs être comme un NC qui ne PRES ADJ NCo et que le NCs ADJ PRES ."
5,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"Anciennement , il y avait là un cimetière placé sous la protection de saint Mittre , un saint provençal fort honoré dans la contrée .","ADVTEMPS , il y avoir ADVLIEU un NCo PPAS sous le NC de NCmod NP , un NC ADJ fort VSENT dans le NC ."
6,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"Les vieux de Plassans , en 1851 , se souvenaient encore d' avoir vu debout les murs de ce cimetière , qui était resté fermé pendant de les années .","le NCs de NP , en NUM , se VIMP encore de avoir VCOG ADV le NCo de ce NCmod , qui être PPAS PPAS PHASE de le NCT ."
7,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"La terre , que l' on gorgeait de cadavres depuis plus d' un siècle , suait la mort , et l' on avait dû ouvrir un nouveau champ de sépultures à l' autre bout de la ville .","le NCs , que l' on VIMP de NC depuis plus de NUM NCT , VIMP le NCo , et l' on avoir devoir INF un ADJ NCo de NCmod à le autre NC de le NCmod ."
8,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"Abandonné , l' ancien cimetière s' était épuré à chaque printemps , en se couvrant d' une végétation noire et drue .","NP , le ADJ NC se être PPAS à chaque NC , en se PPRES de un NC ADJ et ADJ ."
9,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"Ce sol gras , dans lequel les fossoyeurs ne pouvaient plus donner un coup de bêche sans arracher quelque lambeau humain , eut une fertilité formidable .","ce NCs ADJ , dans lequel le NCs ne pouvoir plus INF un NCo de NCmod sans INF quelque NCo ADJ , avoir un NCo ADJ ."
10,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"De la route , après les pluies de mai et les soleils de juin , on apercevait les pointes de les herbes qui débordaient les murs ; en dedans , c' était une mer d' un vert sombre , profonde , piquée de fleurs larges , d' un éclat singulier .","de le NC , PHASE le NC de MOIS et le NC de MOIS , on VIMP le NCo de le NCmod qui VIMP le NCo ; en NC , ce être un NC de un ADJCOL ADJ , ADJ , PPAS de NC ADJ , de un NCmod ADJ ."
11,Zola/1871_1_La_fortune_des_Rougon._clean.txt,"On sentait en dessous , dans l' ombre de les tiges pressées , le terreau humide qui bouillait et suintait la sève .","on sentir en NC , dans le NC de le NCmod PPAS , le NC ADJ qui VIMP et VIMP le NCo ."
