id,titre,phrase,motifs_phrase
1,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Le président était encore debout , à le milieu de le léger tumulte que son entrée venait de produire .","le NCs être encore ADV , à le milieu de le NCmod PRES que DETPOSS NCs venir de INF ."
2,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Il s' assit , en disant à demi-voix , négligemment : La séance est ouverte .","il se PRES , en VDIC à NUM , ADVMAN : le NCspas être PPAS ."
3,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Et il classa les projets de loi , placés devant lui , sur le bureau .","et il VPS le NCo de NCmod , PPAS ADVLIEU lui , sur le NC ."
4,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"À sa gauche , un secrétaire , myope , le nez sur le papier , lisait le procès-verbal de la dernière séance , d' un balbutiement rapide que pas un député n' écoutait .","à DETPOSS NC , un NCs , NC , le NCCOR sur le NCmod , VIMP le NCo de le ADJ NCmod , de un NC ADJ que pas un NCs ne VCOG ."
5,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Dans le brouhaha de la salle , cette lecture n' arrivait qu' à les oreilles de les huissiers , très dignes , très corrects , en face de les poses abandonnées de les membres de la Chambre .","dans le NC de le NCmod , ce NCs ne VIMP que à le NCCOR de le NCmod , très ADJ , très ADJ , en NC de le NC PPAS de le NC de le NCmod ."
6,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,Il n' y avait pas cent députés présents .,il ne y avoir pas NUM NCo ADJ .
7,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Les uns se renversaient à demi sur les banquettes de velours rouge , les yeux vagues , sommeillant déjà .","le un se VIMP à ADJ sur le NC de NCmod ADJCOL , le NCCOR ADJ , PPRES déjà ."
8,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"D' autres , pliés à le bord de leurs pupitres , comme sous l' ennui de cette corvée d' une séance publique , battaient doucement l' acajou de le bout de leurs doigts .","un autre , PPAS à le NC de DETPOSS NCmod , comme sous le NCSENT de ce NCmod de un NCmod ADJ , VIMP ADVMAN le NCo de le NCmod de DETPOSS NCCOR ."
9,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Par la baie vitrée qui taillait dans le ciel une demi-lune grise , tout le pluvieux après-midi de mai entrait , tombant d' aplomb , éclairant régulièrement la sévérité pompeuse de la salle .","par le NC ADJ qui VIMP dans le NC un NCo ADJ , tout le ADJ NCT de MOIS VIMP , PPRES de NC , PPRES ADVTEMPS le NCo ADJ de le NCmod ."
10,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"La lumière descendait les gradins en une large nappe rougie , d' un éclat sombre , allumée çà et là d' un reflet rose , à les encoignures de les bancs vides ; tandis que , derrière le président , la nudité de les statues et de les sculptures arrêtait de les pans de clarté blanche .","le NCs VIMP le NCo en un ADJ NC PPAS , de un NC ADJ , PPAS ADV et ADVLIEU de un NC ADJCOL , à le NCmod de le NCmod ADJ ; PHASE que , ADVLIEU le NC , le NCs de le NCmod et de le NC VIMP de le NC de NCmod ADJCOL ."
11,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Un député , à le troisième banc , à droite , était resté debout , dans l' étroit passage .","un NC , à le ADJ NC , à NCmod , être PPAS ADV , dans le ADJ NC ."
12,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Il frottait de la main son rude collier de barbe grisonnante , l' air préoccupé .","il VIMP de le NCCOR DETPOSS ADJ NCo de NCCOR ADJ , le NCMAN VSENT ."
13,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Et , comme un huissier montait , il l' arrêta et lui adressa une question à demi-voix .","et , comme un NC VIMP , il le VPS et lui VPS un NCo à NCmod ."
14,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Non , monsieur Kahn , répondit l' huissier , monsieur le président de le Conseil d' État n' est pas encore arrivé .","non , monsieur NP , VDIC le NCo , monsieur le NCspas de le NCmod de NP ne être pas encore PPAS ."
15,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Alors , M. Kahn s' assit .","alors , monsieur NP se PRES ."
16,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Puis , se tournant brusquement vers son voisin de gauche : Dites donc , Béjuin , demanda -t -il , est -ce que vous avez vu Rougon , ce matin ?","puis , se PPRES ADV vers DETPOSS NC de NCmod : VDIC donc , NP , VPS t il , être ce que vous avoir VCOG NP , ce NCT ?"
17,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"la tête , les paupières battantes , la tête ailleurs .","le NCCOR , le NCCOR ADJ , le NCCOR ADVLIEU ."
18,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,Il avait tiré la planchette de son pupitre .,il avoir PPAS le NCo de DETPOSS NCmod .
19,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Il faisait sa correspondance , sur de le papier bleu , à entête commercial , portant ces mots : Béjuin et Cie , cristallerie de Saint-Florent. Rougon ?","il faire DETPOSS NCo , sur de le NC ADJCOL , à NC ADJ , PPRES ce NCo : NP et NP , NC de NP NP ?"
20,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,répéta -t -il .,VPS t il .
21,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Non , je ne l' ai pas vu .","non , je ne le avoir pas VCOG ."
22,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,Je n' ai pas eu le temps de passer à le Conseil d' État .,je ne avoir pas avoir le temps de INF à le NC de NP .
23,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,Et il se remit posément à sa besogne .,et il se PRES ADVMAN à DETPOSS NC .
24,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"Il consultait un carnet , il écrivait sa deuxième lettre , sous le bourdonnement confus de le secrétaire , qui achevait la lecture de le procès-verbal .","il VIMP un NCo , il VIMP DETPOSS ADJ NCo , sous le NC ADJ de le NCmod , qui VASP le NCo de le NCmod ."
25,Zola/1876_6_Son_Excellence_Eugene_Rougon._clean.txt,"dont le grand nez bien fait trahissait une origine juive , restait maussade .","dont le ADJ NCCOR bien faire VIMP un NCo ADJ , VIMP NCo ."
