id,titre,phrase,motifs_phrase
1,Zola/1878_8_Une_page_d_amour._clean.txt,"La veilleuse , dans un cornet bleuâtre , brûlait sur la cheminée , derrière un livre , dont l' ombre noyait toute une moitié de la chambre .","le NCs , dans un NCmod ADJCOL , VIMP sur le NC , ADVLIEU un NC , dont le NCs VIMP tout un NCo de le NCmod ."
2,Zola/1878_8_Une_page_d_amour._clean.txt,"C' était une calme lueur qui coupait le guéridon et la chaise longue , baignait les gros plis de les rideaux de velours , azurait la glace de l' armoire de palissandre , placée entre les deux fenêtres .","ce être un NCSENT NCs qui VIMP le NCo et le NC ADJ , VIMP le ADJ NCo de le NCmod de NCmod , VIMP le NCo de le NCmod de INF , PPAS entre le NUM NC ."
3,Zola/1878_8_Une_page_d_amour._clean.txt,"L' harmonie bourgeoise de la pièce , ce bleu de les tentures , de les meubles et de le tapis , prenait à cette heure nocturne une douceur vague de nuée .","le NCs ADJ de le NCmod , ce ADJCOL de le NCmod , de le NC et de le NC , VIMP à ce NCT ADJ un NCo NC de NCmod ."
4,Zola/1878_8_Une_page_d_amour._clean.txt,"Et , en face de les fenêtres , de le côté de l' ombre , le lit , également tendu de velours , faisait une masse noire , éclairée seulement de la pâleur de les draps .","et , en NC de le NCmod , de le NCmod de le NCmod , le NCs , également PPAS de NC , faire un NCo ADJ , PPAS seulement de le NC de le NCmod ."
5,Zola/1878_8_Une_page_d_amour._clean.txt,"Hélène , les mains croisées , dans sa tranquille attitude de mère et de veuve , avait un léger souffle .","NP , le NCCOR PPAS , dans DETPOSS NC NC de NCmod et de NC , avoir un ADJ NCo ."
6,Zola/1878_8_Une_page_d_amour._clean.txt,"À le milieu de le silence , la pendule sonna une heure .","à le milieu de le NCmod , le NCs VPS un NCT ."
7,Zola/1878_8_Une_page_d_amour._clean.txt,Les bruits de le quartier étaient morts .,le NCspas de le NCmod être PPAS .
8,Zola/1878_8_Une_page_d_amour._clean.txt,"Sur ces hauteurs de le Trocadéro , Paris envoyait seul son lointain ronflement .","sur ce NC de le NP , NP VIMP ADJ DETPOSS ADJ NCo ."
9,Zola/1878_8_Une_page_d_amour._clean.txt,"Le petit souffle d' Hélène était si doux , qu' il ne soulevait pas la ligne chaste de sa gorge .","le ADJ NCs de NP être si ADJ , que il ne VIMP pas le NCo ADJ de DETPOSS NCCOR ."
10,Zola/1878_8_Une_page_d_amour._clean.txt,"Elle sommeillait d' un beau sommeil , paisible et fort , avec son profil correct et ses cheveux châtains puissamment noués , la tête penchée , comme si elle se fût assoupie en écoutant .","il VIMP de un ADJ NC , ADJ et fort , avec DETPOSS NC ADJ et DETPOSS NCCOR ADJCOL ADVINT ADJ , le NCCOR PPAS , comme si il se être PPAS en NC ."
11,Zola/1878_8_Une_page_d_amour._clean.txt,"À le fond de la pièce , la porte d' un cabinet grande ouverte trouait le mur d' un carré de ténèbres .","à le NC de le NCmod , le NCs de un NCmod ADJ ADJ VIMP le NCo de un NCmod de NCmod ."
12,Zola/1878_8_Une_page_d_amour._clean.txt,Mais pas un bruit ne montait .,mais pas un NCs ne VIMP .
13,Zola/1878_8_Une_page_d_amour._clean.txt,La demie sonna .,le NC sonner .
14,Zola/1878_8_Une_page_d_amour._clean.txt,"Le balancier avait un battement affaibli , dans cette force de le sommeil qui anéantissait la chambre entière .","le NCs avoir un NCo ADJ , dans ce NCSENT de le NCmod qui VIMP le NCo ADJ ."
15,Zola/1878_8_Une_page_d_amour._clean.txt,"La veilleuse dormait , les meubles dormaient ; sur le guéridon , près d' une lampe éteinte , un ouvrage de femme dormait .","le NCs VIMP , le NCs VIMP ; sur le NC , ADVLIEU de un NC ADJ , un NCs de NCmod VIMP ."
16,Zola/1878_8_Une_page_d_amour._clean.txt,"Hélène , endormie , gardait son air grave et bon .","NP , NC , VIMP DETPOSS NCMAN ADJ et ADJ ."
17,Zola/1878_8_Une_page_d_amour._clean.txt,"Quand deux heures sonnèrent , cette paix fut troublée , un soupir sortit de les ténèbres de le cabinet .","quand NUM NCT VPS , ce NCspas être VSENT , un NCs VPS de le NC de le NCmod ."
18,Zola/1878_8_Une_page_d_amour._clean.txt,"Puis , il y eut un froissement de linge , et le silence recommença .","puis , il y avoir un NCo de NCmod , et le NCs VPS ."
19,Zola/1878_8_Une_page_d_amour._clean.txt,"Maintenant , une haleine oppressée s' entendait .","ADVT , un NCs ADJ se VCOG ."
