id,titre,phrase,motifs_phrase
1,Zola/1887_15_La_terre._clean.txt,"Jean , ce matin-là , un semoir de toile bleue noué sur le ventre , en tenait la poche ouverte de la main gauche , et de la droite , tous les trois pas , il y prenait une poignée de blé , que d' un geste , à la volée , il jetait .","NP , ce matin-là , un NC de NCmod ADJCOL PPAS sur le NCCOR , en VIMP le NCo PPAS de le NCCOR ADJ , et de le NC , tout le NUM pas , il y VIMP un NCo de NCmod , que de un NC , à le NCmod , il VIMP ."
2,Zola/1887_15_La_terre._clean.txt,"Ses gros souliers trouaient et emportaient la terre grasse , dans le balancement cadencé de son corps ; tandis que , à chaque jet à le milieu de la semence blonde toujours volante , on voyait luire les deux galons rouges d' une veste d' ordonnance , qu' il achevait d' user .","DETPOSS ADJ NCs VIMP et VIMP le NCo ADJ , dans le NC PPAS de DETPOSS NCCOR ; PHASE que , à chaque NC à le milieu de le NCmod ADJCOL ADVTEMPS ADJ , on VCOG INF le NUM NCo ADJCOL de un NCmod de NCmod , que il VASP de INF ."
3,Zola/1887_15_La_terre._clean.txt,"Seul , en avant , il marchait , l' air grandi; et , derrière , pour enfouir le grain , une herse roulait lentement , attelée de deux chevaux , qu' un charretier poussait à longs coups de fouet réguliers , claquant au-dessus de leurs oreilles .","ADJ , en PHASE , il VIMP , le NCMAN grandi; et , ADVLIEU , pour INF le NCo , un NCs VIMP ADV , PPAS de NUM NC , que un NCs VIMP à ADJ NC de fouet NCmod , PPRES ADVLIEU de DETPOSS NCCOR ."
4,Zola/1887_15_La_terre._clean.txt,"La parcelle de terre , d' une cinquantaine d' ares à peine , à le lieu-dit de les Cornailles , était si peu importante , que M. Hourdequin , le maître de la Borderie , n' avait pas voulu y envoyer le semoir mécanique , occupé ailleurs .","le NCs de NCmod , de un NC de NCmod à NCSENT , à le NCmod de le NP , être si peu ADJ , que monsieur NP , le NC de le NP , ne avoir pas vouloir y INF le NCo ADJ , PPAS ADVLIEU ."
5,Zola/1887_15_La_terre._clean.txt,"Jean , qui remontait la pièce de le midi à le nord , avait justement devant lui , à deux kilomètres , les bâtiments de la ferme .","NP , qui VSENT le NCo de le NCmod à le NC , avoir ADVMAN ADVLIEU lui , à NUM NC , le NCo de le NCmod ."
6,Zola/1887_15_La_terre._clean.txt,"Arrivé à le bout de le sillon , il leva les yeux , regarda sans voir , en soufflant une minute .","PPAS à le NC de le NCmod , il VPS le NCCOR , VCOG sans VCOG , en PPRES un NCT ."
7,Zola/1887_15_La_terre._clean.txt,"C' étaient de les murs bas , une tache brune de vieilles ardoises , perdue à le seuil de la Beauce , dont la plaine , vers Chartres , s' étendait .","ce être de le NCs ADJ , un NC ADJ de NCmod ADJ , PPAS à le NC de le NP , dont le NC , vers NP , se VIMP ."
8,Zola/1887_15_La_terre._clean.txt,"Sous le ciel vaste , un ciel couvert de la fin d' octobre , dix lieues de cultures étalaient en cette saison les terres nues , jaunes et fortes , de les grands carrés de labour , qui alternaient avec les nappes vertes de les luzernes et de les trèfles ; et cela sans un coteau , sans un arbre , à perte de vue , se confondant , s' abaissant , derrière la ligne d' horizon , nette et ronde comme sur une mer .","sous le NC ADJ , un NCs ADJ de le NCmod de MOIS , NUM NC de NCmod VIMP en ce NC le NCo ADJ , ADJCOL et fort , de le ADJ NC de NCmod , qui VIMP avec le NC ADJCOL de le NCmod et de le NC ; et cela sans un NCmod , sans un NCmod , à NCmod de NCmod , se PPRES , se PPRES , ADVLIEU le NC de NCmod , NC et NC comme sur un NC ."
9,Zola/1887_15_La_terre._clean.txt,"De le côté de l' ouest , un petit bois bordait seul le ciel d' une bande roussie .","de le NC de le NCmod , un ADJ NCs VIMP ADJ le NCo de un NCmod PPAS ."
10,Zola/1887_15_La_terre._clean.txt,"À le milieu , une route , la route de Châteaudun à Orléans , d' une blancheur de craie , s' en allait toute droite pendant quatre lieues , déroulant le défilé géométrique de les poteaux de le télégraphe .","à le milieu , un NC , le NC de NP à NP , de un NC de NCmod , se en aller tout NCs PHASE NUM NC , PPRES le NCo ADJ de le NCmod de le NCmod ."
