id,titre,phrase,motifs_phrase
1,Zola/1901_2_Travail._clean.txt,"Dans sa promenade à le hasard , Luc Froment , en sortant de Beauclair , avait remonté la route de Brias , qui suit la gorge où coule le torrent de la Mionne , entre les deux promontoires de les monts Bleuses .","dans DETPOSS NC à le NCmod , NP NP , en PPRES de NP , avoir VSENT le NCo de NP , qui PRES le NCCOR où PRES le NCs de le NP , entre le NUM NC de le NCmod NP ."
2,Zola/1901_2_Travail._clean.txt,"Et , comme il arrivait devant l' Abîme , nom que portent dans le pays les Aciéries Qurignon , il aperçut , à l' angle de le pont de bois , peureusement rasées contre le parapet , deux figures noires et chétives .","et , comme il VIMP ADVLIEU le NP , NC que PRES dans le NC le NP NP , il VPS , à le NC de le NCmod de NCmod , ADVMAN PPAS contre le NC , NUM NCCOR ADJ et ADJ ."
3,Zola/1901_2_Travail._clean.txt,Son cœur se serra .,DETPOSS NCs se VF .
4,Zola/1901_2_Travail._clean.txt,"C' était une femme à l' air très jeune , pauvrement vêtue , la tête à demi cachée sous un lainage en loques ; et c' était un enfant , de six ans environ , à peine couvert , la face pâle , qui se tenait dans ses jupes .","ce être un NC à le NCMAN très ADJ , ADVMAN PPAS , le NCCOR à ADJ PPAS sous un NC en NCmod ; et ce être un NC , de NUM NCT environ , à NCSENT ADJ , le NC ADJ , qui se VIMP dans DETPOSS NC ."
5,Zola/1901_2_Travail._clean.txt,"Tous les deux , les yeux fixés sur la porte de l' usine , attendaient , immobiles , avec la patience morne de les désespérés .","tout le NC , le NCCOR PPAS sur le NC de le NCmod , VIMP , ADJ , avec le NCSENT ADJ de le NCmod ."
6,Zola/1901_2_Travail._clean.txt,"Luc s' était arrêté , regardant lui aussi .","NP se être PPAS , VCOG lui aussi ."
7,Zola/1901_2_Travail._clean.txt,"Il allait être six heures , le jour baissait déjà , par cette humide et lamentable soirée de le milieu de septembre .","il aller être NUM NCT , le NCT VIMP déjà , par ce NC et ADJ NCT de le milieu de MOIS ."
8,Zola/1901_2_Travail._clean.txt,"On était à le samedi , et depuis le jeudi , la pluie n' avait pas cessé .","on être à le ADVT , et depuis le ADVT , le NCs ne avoir pas VASP ."
9,Zola/1901_2_Travail._clean.txt,"Elle ne tombait plus , mais un vent impétueux continuait à chasser dans le ciel de les nuages de suie , de les haillons d' où filtrait un crépuscule sale et jaune , d' une tristesse de mort .","il ne VIMP plus , mais un NCs ADJ VIMP à INF dans le NC de le NCmod de NCmod , de le NC de où VCOND un NCs ADJ et ADJCOL , de un NCSENT de NCmod ."
10,Zola/1901_2_Travail._clean.txt,"La route , sillonnée de rails , à les gros pavés disjoints par les continuels charrois , roulait un fleuve de boue noire , toutes les poussières délayées de les houillères prochaines de Brias , dont les tombereaux défilaient sans cesse .","le NCs , PPAS de NC , à le ADJ NCmod PPAS par le ADJ NC , VIMP un NCo de NCmod ADJ , tout le NC PPAS de le NC ADJ de NP , dont le NCs VIMP sans NC ."
11,Zola/1901_2_Travail._clean.txt,"Et ces poussières de charbon , elles avaient noirci de leur deuil la gorge entière , elles ruisselaient en flaques sur l' amas lépreux de les bâtiments de l' usine , elles semblaient salir jusqu' à ces nuages sombres qui passaient sans fin , ainsi que de les fanées .","et ce NCs de NCmod , il avoir ADV de lui NC le NCCOR ADJ , il VIMP en NC sur le NC ADJ de le NCmod de le NCmod , il VIMP INF jusque à ce NC ADJ qui VIMP sans NC , ainsi que de le NC ."
12,Zola/1901_2_Travail._clean.txt,"Une mélancolie de désastre soufflait avec le vent , on eût dit que ce crépuscule frissonnant et louche apportait la fin d' un monde .","un NCSENT de NCmod VSENT avec le NC , on avoir VDIC que ce NCs ADJ et ADJ VIMP le NCo de un NCmod ."
13,Zola/1901_2_Travail._clean.txt,"Comme Luc s' était arrêté à quelques pas de la jeune femme et de l' enfant , il entendit ce dernier qui disait , d' un air avisé et décidé déjà de petit homme : Écoute donc , ma grande , veux -tu que je lui parle , moi ?","comme NP se être PPAS à quelque pas de le ADJ NCmod et de le NC , il VCOG ce NCo qui VDIC , de un NCMAN PPAS et PPAS déjà de ADJ NC : NP donc , DETPOSS ADJ , vouloir il que je lui PRES , soi ?"
14,Zola/1901_2_Travail._clean.txt,Peut-être que ça le mettrait moins en colère .,peut-être que ça le mettre moins en NCSENT .
15,Zola/1901_2_Travail._clean.txt,"Mais la femme répondit : Non , non , frérot , ce n' est pas de les affaires pour les gamins .","mais le NCs VDIC : non , non , NC , ce ne être pas de le NC pour le NCmod ."
16,Zola/1901_2_Travail._clean.txt,"Et ils se remirent à attendre , silencieux , de leur air de résignation inquiète .","et il se VPS à INF , ADJ , de lui NCMAN de NCmod ADJ ."
17,Zola/1901_2_Travail._clean.txt,Luc regardait l' Abîme .,NP VCOG le NP .
18,Zola/1901_2_Travail._clean.txt,"Il l' avait visité , par une curiosité d' homme de le métiers lorsqu' il avait une première fois traversé Beauclair , à le dernier printemps .","il le avoir PPAS , par un NCSENT de NCmod de le NCmod lorsque il avoir un ADJ fois NC NP , à le ADJ NCmod ."
